iso,name
rom,rom
es_419,"أسبانية أمريكا اللاتينية"
en_US,"إنجليزية الولايات المتحدة"
eo,اسبرانتو
arc,الآرامية
sam,"الآرامية السومارية"
ain,الآينوية
ab,الأبخازية
cch,الأتسام
ace,الأتشينيزية
ada,الأدانجمية
udm,الأدمرت
ady,الأديجه
az,الأذرية
arp,الأراباهو
an,الأراجونية
arw,الأراواكية
ur,الأردية
hy,الأرمينية
arn,الأروكانية
rup,الأرومانيان
as,الأسامية
es,الأسبانية
es_ES,"الأسبانية الأيبيرية"
ast,الأسترية
et,الأستونية
sco,الأسكتلندية
ug,الأغورية
aa,الأفارية
av,الأفاريكية
af,الأفريقية
afh,الأفريهيلية
ae,الأفستية
akk,الأكادية
ak,الأكانية
ach,الأكولية
sq,الألبانية
tut,"الألطائية - أخرى"
alt,"الألطائية الجنوبية"
de,الألمانية
nds,"الألمانية السفلى"
gsw,"الألمانية السويسرية"
de_CH,"الألمانية العليا السويسرية"
goh,"الألمانية العليا القديمة"
gmh,"الألمانية العليا الوسطى"
de_AT,"الألمانية النمساوية"
ale,الأليوتية
umb,الأمبندو
am,الأمهرية
anp,الأنجيكا
id,الأندونيسية
awa,الأوادية
oj,الأوجيبوا
om,الأورومو
or,الأورييا
osa,الأوساج
map,الأوسترونيسيان
os,الأوسيتيك
uk,الأوكرانية
oc,الأوكيتانية
ga,الأيرلندية
sga,"الأيرلندية القديمة"
mga,"الأيرلندية الوسطى"
is,الأيسلاندية
ay,الأيمارا
en_CA,"الإنجليزية الكندية"
lad,الاسباعبرية
efi,الافيك
eka,الاكاجك
elx,الامايت
ie,الانترلينج
en,الانجليزية
en_AU,"الانجليزية الأسترالية"
en_GB,"الانجليزية البريطانية"
ang,"الانجليزية القديمة"
enm,"الانجليزية الوسطى"
inh,الانجوشية
uz,الاوزباكية
iba,الايبان
ig,الايجبو
ijo,الايجو
io,الايدو
ira,الايرانية
it,الايطالية
ilo,الايلوكو
smn,"الاينارى سامى"
ik,الاينبياك
iu,الاينكتيتت
ewo,الايوندو
ee,الايوي
pap,البابيامينتو
btk,الباتاكية
bas,الباسا
ba,الباشكيرية
pau,البالوان
pi,البالية
bm,البامبارا
pam,البامبانجا
bnt,البانتو
pag,البانجاسينان
bad,الباندا
bug,البجينيزية
bra,البراجية
ber,البربرية
pt,البرتغالية
pt_PT,"البرتغالية الأيبيرية"
pt_BR,"البرتغالية البرازيلية"
pro,"البروفانسية القديمة"
bua,البرياتية
br,البريتونية
ps,البشتونية
bat,"البلطيقية - أخرى"
bg,البلغارية
bal,البلوشية
byn,البلينية
pa,البنجابية
bn,البنغالية
pal,البهلوية
bho,البهوجبرية
my,البورمية
bs,البوسنية
nb,"البوكمالية النرويجية"
pl,البولندية
pon,البوهنبيايان
bej,البيجا
bi,البيسلامية
bik,البيكولية
be,البيلوروسية
bem,البيمبا
bin,البينية
bh,البيهارية
tl,التاغالوغية
tmh,التاماشيك
tum,التامبوكا
ta,التاميلية
ty,التاهيتية
th,التايلاندية
bo,التبتية
tt,التتارية
tk,التركمانية
tr,التركية
ota,"التركية العثمانية"
tn,التسوانية
tsi,التسيمشيان
chg,التشاجاتاى
ch,التشامورو
cv,التشفاش
chk,التشكيزية
chb,التشيبشا
cs,التشيكية
tli,التلينغيتية
tvl,التوفالو
tpi,"التوك بيسين"
tkl,التوكيلاو
tw,التوي
tet,التيتم
tig,التيجر
ti,التيجرينيا
ter,التيرينو
tiv,التيف
te,التيلجو
tem,التيمن
gaa,الجا
gl,الجاليكية
lg,الجاندا
jv,الجاوية
gay,الجايو
gba,الجبيا
root,الجذر
grb,الجريبو
gon,الجندى
kaj,الجو
gn,الجوارانى
ka,الجورجية
gor,الجورونتالو
jrb,"الجيدو العربى"
jpr,"الجيدو الفارسى"
gez,الجيز
hit,الحثية
km,الخميرية
kho,الخوتانيز
khi,"الخويسان - أخرى"
dar,الدارجوا
dak,الداكوتا
da,الدانماركية
dyu,الدايلا
dra,"الدرافيدين - أخرى"
din,الدنكا
doi,الدوجرى
dgr,الدوجريب
day,الدياك
del,الديلوير
dua,الديولا
rap,الرابانى
raj,الراجاسثانية
rar,الراروتونجانى
rn,الرندى
rm,الرهايتو-رومانس
ru,الروسية
roa,"الرومانسية - أخرى"
ro,الرومانية
zap,الزابوتيك
znd,الزاند
za,الزهيونج
zu,الزولو
dz,الزونخاية
zun,الزونية
zen,الزيناجا
sas,الساساك
sm,الساموائية
sma,"السامي الجنوبى"
se,"السامي الشمالى"
sem,"السامية - أخرى"
sat,السانتالى
sg,السانجو
sad,السانداوى
srn,"السرانان تونجو"
sc,السردينية
srr,السرر
syr,السريانية
si,السريلانكية
sms,"السكولت سامى"
den,السلافية
sla,"السلافية - أخرى"
cel,"السلتية - أخرى"
sk,السلوفاكية
sl,السلوفانية
sa,السنسكريتية
ss,السواتى
sw,السواحلية
st,"السوتو الجنوبية"
nso,"السوتو الشمالية"
sog,السوجدين
su,السودانية
sus,السوسو
suk,السوكوما
sux,السومارية
ts,السونجا
son,السونجهاى
snk,السونينك
sv,السويدية
ceb,السيبيونو
ii,"السيتشيون يى"
sid,السيدامو
bla,السيكسيكية
sel,السيلكب
sd,السيندى
shn,الشانية
chy,الشايان
cho,الشوكتو
sn,الشونا
chp,الشيباوايان
chr,الشيروكى
ce,الشيشانية
chn,"الشينوك جارجون"
sr,الصربية
dsb,"الصربية السفلى"
hsb,"الصربية العليا"
scn,الصقلية
art,"الصناعية - أخرى"
so,الصومالية
zh,الصينية
zh_Hant,"الصينية التقليدية"
sit,"الصينية التيبتية - أخرى"
zh_Hans,"الصينية المبسطة"
tg,الطاجيكية
he,العبرية
ar,العربية
gu,الغوجاراتية
gd,"الغيلية الأسكتلندية"
paa,"الغينية - أخرى"
fa,الفارسية
peo,"الفارسية القديمة"
fo,الفارويز
fat,الفانتى
fan,الفانج
vai,الفاى
fr,الفرنسية
fr_CH,"الفرنسية السويسرية"
fro,"الفرنسية القديمة"
fr_CA,"الفرنسية الكندية"
frm,"الفرنسية الوسطى"
fy,الفريزيان
frs,"الفريزينية الشرقية"
frr,"الفريزينية الشمالية"
fur,الفريلايان
fil,الفلبينية
ff,الفلة
phi,"الفليبينية - أخرى"
fi,الفنلندية
vot,الفوتيك
fon,الفون
vi,الفيتنامية
fj,الفيجية
ve,الفيندا
phn,الفينيقية
kab,القبيلية
got,القوطية
cau,"القوقازية - أخرى"
ky,القيرغستانية
kbd,الكاباردايان
ca,الكاتالوينية
kac,الكاتشين
cad,الكادو
kaa,الكارا-كالباك
krc,الكاراتشاي-بالكار
car,الكاريبية
kar,الكاريين
kk,الكازاخستانية
kha,الكازية
csb,الكاشبايان
ks,الكاشميرية
kl,الكالاليست
xal,الكالميك
kam,الكامبا
kn,الكانادا
kr,الكانيوري
kpe,الكبيل
kut,الكتيناي
ku,الكردية
kro,الكرو
hr,الكرواتية
cr,الكرى
mus,الكريك
krl,الكريلية
crp,"الكرييولى و اللغات المبسطة الأخرى للتفاهم بين الشعوب - أخرى"
cpe,"الكرييولى و اللغات المبسطة الأخرى للتفاهم بين الشعوب على أساس الأنجليزية"
cpp,"الكرييولى و اللغات المبسطة الأخرى للتفاهم بين الشعوب على أساس البرتغالية"
cpf,"الكرييولى و اللغات المبسطة الأخرى للتفاهم بين الشعوب على أساس الفرنسية"
cus,"الكشيتيك - أخرى"
tlh,الكلينجون
kum,الكميك
co,الكورسيكية
kw,الكورنية
kfo,الكورو
ko,الكورية
kos,الكوسراين
kv,الكومي
kg,الكونغو
kok,الكونكانية
kaw,الكوي
