iso,name
ab,абхазская
av,аварская
oj,аджыбве
ady,адыгейская
az,азербайджанская
ay,аймара
akk,акадзкая
sq,албанская
ale,алеуцкая
tut,"алтайская мова"
am,амхарская
en,англійская
en_GB,"англійская (Вялікабрытанія)"
en_US,"англійская (ЗША)"
en_AU,"англійская (аўстрал.)"
en_CA,"англійская (канад.)"
ar,арабская
an,арагонская
arc,арамейская
hy,армянская
as,асамская
os,асецінская
ast,астурыйская
afa,"афра-азіяцкая мова"
af,афрыкаанс
aus,аўстралійская
map,аўстранезійская
bg,балгарская
eu,баскская
bs,баснійская
ba,башкірская
be,беларуская
bn,бенгальская
br,брэтонская
bua,бурацкая
bh,біхары
vi,в'етнамская
vo,валапюк
cy,валійская
hu,венгерская
nl,галандская
gl,галісійская
ka,грузінская
el,грэцкая
gn,гуарані
gu,гуяраці
da,дацкая
sgn,"знакавая мова"
zu,зулу
kk,казахская
kn,каннада
ko,карэйская
ca,каталонская
cau,"каўказская мова"
cel,"кельцкая мова"
qu,кечуа
tlh,клінгон
cop,копцкая
ku,курдская
cus,"кушыцкая мова"
sit,"кітайска-тыбецкая мова"
zh,кітайская
lo,лаоская
lv,латышская
la,лацінская
luo,луо
ln,лінгала
lt,літоўская
mk,македонская
ms,малайская
ml,малаяламская
mo,малдаўская
mg,мальгашская
mt,мальтыйская
mn,мангольская
man,мандынга
mr,маратхі
mas,масаі
men,мендэ
tai,"мова таі"
tup,"мова тупі"
sai,"мова індзейцаў Паўднёвай Амерыкі"
nai,"мова індзейцаў Паўночнай Амерыкі"
cai,"мова індзейцаў Цэнтральнай Амерыкі"
lol,монга
mos,мосі
nog,нагайская
no,нарвежская
nn,"нарвежская (нюнорск)"
nb,"нарвэская букмал"
und,"невядомая мова"
ne,непальская
nub,"нубійская мова"
de,нямецкая
de_AT,"нямецкая (аўстр.)"
de_CH,"нямецкая (швейц.)"
or,орыя
pa,панджабі
pt,партугальская
pt_BR,"партугальская (бразіл.)"
pl,польская
oc,правансальская
ps,пушту
raj,раджастханская
ro,румынская
ru,руская
rm,рэта-раманская
so,самалійская
sa,санскрыт
zap,сапатэкаў
sem,"семіцкая мова"
sh,сербска-харвацкая
sr,сербская
sk,славацкая
sl,славенская
sla,"славянская мова"
zh_Hans,"спрошчаная кітайская"
ang,стараанглійская
grc,старагрэцкая
non,старанарвежская
peo,стараперсідская
pro,стараправансальская
fro,старафранцузская
egy,стараэгіпецкая
sga,стараірландская
sw,суахілі
su,суданская
si,сінгальская
sd,сіндхі
fil,тагальская
tg,таджыкская
th,тайская
ta,тамільская
tt,татарская
zh_Hant,"традыцыйная кітайская"
tyv,тувінская
tk,туркменская
tr,турэцкая
ti,тыгрынья
te,тэлугу
uz,узбекская
ug,уйгурская
uk,украінская
ur,урду
fa,фарсі
fo,фарэрская
nl_BE,фламандская
fr,французская
fr_CA,"французская (канад.)"
fr_CH,"французская (швейц.)"
fy,фрызская
fi,фінская
phn,фінікійская
hr,харвацкая
xh,хоса
hi,хіндзі
ce,чачэнская
cv,чувашская
chb,чыбча
cs,чэшская
gd,"шатландская гэльская"
sv,шведская
art,"штучная мова"
sux,шумерская
eo,эсперанта
et,эстонская
jv,яванская
sah,якуцкая
ja,японская
yi,ідыш
id,інданезійская
ia,інтэрлінгва
ie,інтэрлінгве
ga,ірландская
is,ісландская
es,іспанская
es_419,"іспанская (лацінаамер.)"
it,італьянская
he,іўрыт
