iso,name
gaa,གཱ་སྐད།
gu,གུཇ་རཱཏི་སྐད།
it,དབྱི་ཏ་་ལའི་མི།
ne,ནེ་པ་ལི
pt_BR,"པ་ཞའི་མི།  ཕི་ཐོ་ཡའི་མི།"
bo,པོད་སྐད་
pt,ཕི་ཐོ་ཡའི།
und,"མིའི་ཤེས་རྟོགས་མ་བྱུང་བ། ཡང་ན་ཆད་ལྷག་ཅན་གྱི་སྐད་བརྡ།"
es,ཞི་པན་ཡའི།
zza,ཟ་ཟཱ་སྐད།
zun,ཟུ་ནི་སྐད།
zu,ཟུ་ལུ་སྐད།
zen,ཟེ་ན་གཱ་སྐད།
de,འཇར་མན་གྱི།
ja,རི་པིན་སྐད་
zh,རྒྱ་སྐད་
dz,རྫོང་ཁ
la,ལེ་ཊིན་སྐད།
zh_Hans,"སྟབས་བརྡའི།  ཀྲུང་གོའི།"
zh_Hant,སྲོལ་རྒྱུན་གྱི།
hi,ཧིན་དི
fr,ཧྥ་རན་སིའི་།
en,ཨིང་ལིཤ་སྐད།
en_CA,"ཨིང་ལིཤ་སྐད། (ཁེ་ན་ཌ་)"
en_GB,"ཨིང་ལིཤ་སྐད། (རྦི་རི་ཊིཤ་)"
en_US,"ཨིང་ལིཤ་སྐད། (ཨ་རི་)"
ru,ཨུ་རུ་སུ་སྐད་
