afrikaans (af)
albanski (sq)
amharski (am)
arapski (ar)
armenski (hy)
asameski (as)
azerbejdžanski (az)
bantu (xh)
baskijski (eu)
bengalski (bn)
bihari (bh)
bjeloruski (be)
bosanski (bs)
bretonac (br)
bugarski (bg)
danski (da)
engleski (en)
esperanto (eo)
estonski (et)
farski (fo)
filipinski (fil)
finski (fi)
francuski (fr)
frizijski (fy)
galicijski (gl)
gruzijski (ka)
grčki (el)
guarani (gn)
gudžarati (gu)
hebrejski (he)
hindu (hi)
holandski (nl)
hrvatski (hr)
indijski (or)
indonezijski (id)
interlingua (ia)
irski (ga)
islandski (is)
japanski (ja)
javanski (jv)
jidiš (yi)
kambodžanski (km)
kannada (kn)
katalonski (ca)
kineski (zh)
kirgiski (ky)
klingonski (tlh)
koreanski (ko)
kurdski (ku)
laothian (lo)
latinski (la)
latvijski (lv)
litvanski (lt)
makedonski (mk)
malajalamski (ml)
malajski (ms)
malteški (mt)
marati (mr)
mađarski (hu)
međujezični (ie)
mongolski (mn)
n/a (ln)
nepalski (ne)
nepoznati ili nevažeći jezik (und)
njemački (de)
norveški (no)
norveški (novonorveški) (nn)
oksitanski (oc)
pakistanski (ps)
pendžabi (pa)
perzijski (fa)
poljski (pl)
portugalski (pt)
portugalski (Brazil) (pt_BR)
portugalski (Portugal) (pt_PT)
rumunski (ro)
ruski (ru)
sanskrit (sa)
sesoto (st)
sindi (sd)
sinhaleski (si)
slovački (sk)
slovenački (sl)
somalski (so)
srpski (sr)
srpsko-hrvatski (sh)
sudanski (su)
svahili (sw)
tajlandski (th)
talijanski (it)
tamilski (ta)
telugu (te)
tibetanski (bo)
tigrinya (eritrejski) (ti)
turkmenski (tk)
turski (tr)
twi (tw)
uighur (ug)
ukrajinski (uk)
urdu (ur)
uzbekistanski (uz)
velški (cy)
vijetnamski (vi)
zulu (zu)
češki (cs)
škotski gelski (gd)
španjolski (es)
švedski (sv)
