ሀንጋሪኛ (hu)
ሃውሳኛ (ha)
ሊቱአኒያን (lt)
ሊንጋላኛ (ln)
ላቲንኛ (la)
ላትቪያን (lv)
ላውስኛ (lo)
ልቤኒኛ (sq)
ሐንድኛ (hi)
ማላያላምኛ (ml)
ማላይኛ (ms)
ማላጋስኛ (mg)
ማልቲስኛ (mt)
ማራዚኛ (mr)
ማከዶኒኛ (mk)
ማዮሪኛ (mi)
ሞልዳቫዊና (mo)
ሞንጎላዊኛ (mn)
ሩንዲኛ (rn)
ራሽኛ (ru)
ሮማኒያን (ro)
ሮማንስ (rm)
ሰርቢኛ (sr)
ሱማልኛ (so)
ሱዳንኛ (su)
ሲንድሂኛ (sd)
ሲዳምኛ (sid)
ሳሞአኛ (sm)
ሳንስክሪትኛ (sa)
ሳንጎኛ (sg)
ስሎቪኛ (sl)
ስሎቫክኛ (sk)
ስንሃልኛ (si)
ስዊድንኛ (sv)
ስዋሂሊኛ (sw)
ስዋቲኛ (ss)
ስፓኒሽ (es)
ሶዞኛ (st)
ሾናኛ (sn)
በንጋሊኛ (bn)
ቡልጋሪኛ (bg)
ቡርማኛ (my)
ቢሃሪ (bh)
ቢስላምኛ (bi)
ባስኪርኛ (ba)
ባስክኛ (eu)
ቤላራሻኛ (be)
ብሊን (byn)
ብሬቶንኛ (br)
ቪትናምኛ (vi)
ቮላፑክኛ (vo)
ተሉጉኛ (te)
ቱርክመንኛ (tk)
ቱርክኛ (tr)
ታሚልኛ (ta)
ታታርኛ (tt)
ታይኛ (th)
ታጂኪኛ (tg)
ታጋሎገኛ (tl)
ትበትንኛ (bo)
ትዊኛ (tw)
ትግረ (tig)
ትግርኛ (ti)
ቶንጋ (to)
ቻይንኛ (zh)
ቼክኛ (cs)
ናኡሩ (na)
ኔፓሊኛ (ne)
ኖርዌጂያን (no)
አማርኛ (am)
አርመናዊ (hy)
አሳሜዛዊ (as)
አብሐዚኛ (ab)
አዜርባይጃንኛ (az)
አያማርኛ (ay)
አይሪሽ (ga)
አይስላንድኛ (is)
አፋርኛ (aa)
አፍሪቃንስኛ (af)
ኡርዱኛ (ur)
ኡዊግሁርኛ (ug)
ኡዝበክኛ (uz)
ኢንቴርሊንጓ (ia)
ኤስቶኒአን (et)
ኤስፐራንቶ (eo)
እስኮትስ ጌልክኛ (gd)
እኑክቲቱትኛ (iu)
እኑፒያቅኛ (ik)
እንተርሊንግወ (ie)
እንዶኒሲኛ (id)
እንግሊዝኛ (en)
ኦሪያኛ (or)
ኦሮምኛ (om)
ኦኪታንኛ (oc)
ኩርድሽኛ (ku)
ኪርጊዝኛ (ky)
ኪንያርዋንድኛ (rw)
ካላሊሱትኛ (kl)
ካሽሚርኛ (ks)
ካታላንኛ (ca)
ካናዳኛ (kn)
ካዛክኛ (kk)
ክመርኛ (km)
ክሮሽያንኛ (hr)
ኮሪያኛ (ko)
ኮርሲካኛ (co)
ኵቿኛ (qu)
ወልሽ (cy)
ዎሎፍኛ (wo)
ዐርቢኛ (ar)
ዕብራስጥ (he)
ዙሉኛ (zu)
ዞሳኛ (xh)
ዡዋንግኛ (za)
ዩክረኒኛ (uk)
ይዲሻዊኛ (yi)
ዮሩባዊኛ (yo)
ደች (nl)
ዴኒሽ (da)
ድዞንግኻኛ (dz)
ጀርመን (de)
ጃቫንኛ (jv)
ጃፓንኛ (ja)
ጉጃርቲኛ (gu)
ጊዮርጊያን (ka)
ጋለጋኛ (gl)
ግሪክኛ (el)
ግዕዝኛ (gez)
ጓራኒኛ (gn)
ጣሊያንኛ (it)
ጽዋናዊኛ (tn)
ጾንጋኛ (ts)
ፈረንሳይኛ (fr)
ፊኒሽ (fi)
ፊጂኛ (fj)
ፋሮኛ (fo)
ፍሪስኛ (fy)
ፐርሲያኛ (fa)
ፑሽቶኛ (ps)
ፓንጃቢኛ (pa)
ፖሊሽ (pl)
ፖርቱጋሊኛ (pt)
