iso,name
ab,abkhaz
akk,accadi
ach,acoli
ada,adangme
ady,adigué
afh,afrihili
af,afrikaans
ay,aimara
ain,ainu
sq,albanès
de,alemany
de_AT,"alemany austríac"
gsw,"alemany suís"
ale,aleuta
goh,"alt alemany antic"
gmh,"alt alemany mitjà"
de_CH,"alt alemany suís"
hsb,"alt sòrab"
alt,"altaic meridional"
wal,ameto
am,amhàric
anp,angika
en,anglès
en_US,"anglès americà"
ang,"anglès antic"
en_AU,"anglès australià"
en_GB,"anglès britànic"
en_CA,"anglès canadenc"
enm,"anglès mitjà"
an,aragonès
arc,arameu
sam,"arameu samarità"
arp,arapaho
arw,arauac
arn,araucà
hy,armeni
rup,aromanès
root,arrel
as,assamès
ast,asturià
ace,atjeh
cch,atsam
ae,avèstic
awa,awadhi
nds,"baix alemany"
dsb,"baix sòrab"
ba,baixkir
ban,balinès
bal,balutxi
bm,bambara
bai,bamileké
bad,banda
bnt,bantu
bas,basa
eu,basc
btk,batak
bej,beja
bem,bemba
bn,bengalí
ber,berber
bho,bhojpuri
bik,bicol
be,bielorús
bh,bihari
byn,bilin
bin,bini
my,birmà
bi,bislama
bla,blackfoot
bs,bosnià
bra,braj
br,bretó
bug,bugui
bua,buriat
bg,búlgar
kab,cabilenc
cad,caddo
ks,caixmiri
csb,caixubi
xal,calmuc
krl,carelià
car,carib
ca,català
ceb,cebuano
ch,chamorro
chr,cherokee
chp,chipewyan
cho,choctaw
chk,chuuk
cop,copte
ko,coreà
co,cors
cr,cree
mus,creek
hr,croat
kw,còrnic
day,daiak
dak,dakota
da,danès
dar,darguà
del,delaware
din,dinka
dv,divehi
doi,dogri
dgr,dogrib
dua,duala
dz,dzongka
efi,efik
egy,"egipci antic"
eka,ekajuk
elx,elamita
sco,escocès
cu,"eslau eclesiàstic"
sk,eslovac
sl,eslovè
es,espanyol
es_ES,"espanyol d'Espanya"
es_419,"espanyol d'Hispanoamèrica"
eo,esperanto
et,estonià
ee,ewe
ewo,ewondo
fan,fang
fat,fanti
phn,fenici
fo,feroès
fj,fijià
fil,filipí
fi,finès
nl_BE,flamenc
fon,fon
fr,francès
fro,"francès antic"
fr_CA,"francès canadenc"
frm,"francès mitjà"
fr_CH,"francès suís"
frs,"frisó occidental"
fy,"frisó oriental"
frr,"frisó septentrional"
fur,friülà
ff,ful
gaa,ga
gl,gallec
cy,gal·lès
lg,ganda
gay,gayo
gd,"gaèlic escocès"
mga,"gaèlic irlandès mitjà"
gba,gbaya
ka,georgià
gil,gilbertès
gon,gondi
gor,gorontalo
grb,grebo
el,grec
grc,"grec antic"
kl,grenlandès
gn,guaraní
gez,gueez
gu,gujarati
gwi,gwichin
got,gòtic
hai,haida
ht,haitià
ha,haussa
haw,hawaià
he,hebreu
hz,herero
hil,hiligainon
him,himachali
hi,hindi
