iso,name
af,Affricaneg
sq,Albaneg
de,Almaeneg
am,Amhareg
ar,Arabeg
hy,Armeneg
as,Asameg
az,Azerbaijani
eu,Basgeg
be,Belarwsiyn
bn,"Bengali; Bangla"
bh,Bihari
bs,Bosnieg
bg,Bwlgareg
km,Cambodieg
ca,Catalaneg
ko,Corëeg
hr,Croateg
ku,Cwrdeg
cy,Cymraeg
da,Daneg
it,Eidaleg
eo,Esperanto
et,Estoneg
fo,Ffaroeg
fi,Ffineg
fr,Ffrangeg
fy,Ffrisieg
vi,Fietnameg
gd,"Gaeleg yr Alban"
gl,Galiseg
ka,Georgeg
el,Groeg
gn,Guarani
gu,Gwjarati
ga,Gwyddeleg
he,Hebraeg
hi,Hindi
hu,Hwngareg
yi,Iddew-Almaeneg
id,Indonesieg
ia,Interlingua
ie,Interlingue
nl,Iseldireg
is,Islandeg
jv,Jafanaeg
kn,Kannada
tlh,Klingon
ky,Kyrgyz
lo,Laoeg
lv,Latfieg
ln,Lingala
lt,Lithwaneg
la,Lladin
br,Llydaweg
mk,Macedoneg
ms,Malai
ml,Malayalam
mt,Malteseg
mr,Marathi
mn,Mongoleg
ne,Nepali
no,Norwyeg
nn,"Norwyeg (Nynorsk)"
oc,Ocsitaneg
or,Oriya
ps,Pashto
fa,Persieg
pt,Portiwgaleg
pa,Pwnjabi
pl,Pwyleg
ro,Rwmaneg
ru,Rwsieg
en,Saesneg
sa,Sansgrit
es,Sbaeneg
sr,Serbeg
sh,Serbo-Croateg
st,Sesotheg
ja,Siapaneeg
sd,Sindhi
si,Sinhaleg
sk,Slofaceg
sl,Slofeneg
so,Somaleg
su,Sundaneg
sw,Swahili
sv,Swedeg
fil,Tagalog
ta,Tamil
te,Telugu
ti,Tigrinya
zh,Tseineeg
cs,Tsiec
tw,Twi
tr,Twrceg
tk,Tyrcmeneg
ug,Uighur
ur,Urdu
uk,Wcreineg
uz,Wsbeceg
xh,Xhosa
zu,Zwlw
und,anh
