Affricaneg (af)
Albaneg (sq)
Almaeneg (de)
Amhareg (am)
Arabeg (ar)
Armeneg (hy)
Asameg (as)
Azerbaijani (az)
Basgeg (eu)
Belarwsiyn (be)
Bengali; Bangla (bn)
Bihari (bh)
Bosnieg (bs)
Bwlgareg (bg)
Cambodieg (km)
Catalaneg (ca)
Corëeg (ko)
Croateg (hr)
Cwrdeg (ku)
Cymraeg (cy)
Daneg (da)
Eidaleg (it)
Esperanto (eo)
Estoneg (et)
Ffaroeg (fo)
Ffineg (fi)
Ffrangeg (fr)
Ffrisieg (fy)
Fietnameg (vi)
Gaeleg yr Alban (gd)
Galiseg (gl)
Georgeg (ka)
Groeg (el)
Guarani (gn)
Gwjarati (gu)
Gwyddeleg (ga)
Hebraeg (he)
Hindi (hi)
Hwngareg (hu)
Iddew-Almaeneg (yi)
Indonesieg (id)
Interlingua (ia)
Interlingue (ie)
Iseldireg (nl)
Islandeg (is)
Jafanaeg (jv)
Kannada (kn)
Klingon (tlh)
Kyrgyz (ky)
Laoeg (lo)
Latfieg (lv)
Lingala (ln)
Lithwaneg (lt)
Lladin (la)
Llydaweg (br)
Macedoneg (mk)
Malai (ms)
Malayalam (ml)
Malteseg (mt)
Marathi (mr)
Mongoleg (mn)
Nepali (ne)
Norwyeg (no)
Norwyeg (Nynorsk) (nn)
Ocsitaneg (oc)
Oriya (or)
Pashto (ps)
Persieg (fa)
Portiwgaleg (pt)
Pwnjabi (pa)
Pwyleg (pl)
Rwmaneg (ro)
Rwsieg (ru)
Saesneg (en)
Sansgrit (sa)
Sbaeneg (es)
Serbeg (sr)
Serbo-Croateg (sh)
Sesotheg (st)
Siapaneeg (ja)
Sindhi (sd)
Sinhaleg (si)
Slofaceg (sk)
Slofeneg (sl)
Somaleg (so)
Sundaneg (su)
Swahili (sw)
Swedeg (sv)
Tagalog (fil)
Tamil (ta)
Telugu (te)
Tigrinya (ti)
Tseineeg (zh)
Tsiec (cs)
Twi (tw)
Twrceg (tr)
Tyrcmeneg (tk)
Uighur (ug)
Urdu (ur)
Wcreineg (uk)
Wsbeceg (uz)
Xhosa (xh)
Zwlw (zu)
anh (und)
