iso,name
ab,abĥaza
aa,afara
af,afrikansa
ay,ajmara
tw,akana
sq,albana
am,amhara
en,angla
ar,araba
hy,armena
as,asama
az,azerbajĝana
ba,baŝkira
be,belorusa
bn,bengala
bh,bihara
my,birma
bi,bislamo
bs,bosnia
pt_BR,brazilportugala
br,bretona
bg,bulgara
rn,burunda
ts,conga
tn,cvana
da,dana
dz,dzonko
ik,eskima
eo,esperanto
et,estona
eu,eŭska
fo,feroa
fil,filipina
fi,finna
fj,fiĝia
fr,franca
fy,frisa
gd,gaela
gl,galega
de,germana
el,greka
kl,gronlanda
gu,guĝarata
gn,gvarania
ha,haŭsa
he,hebrea
hi,hinda
es,hispana
hu,hungara
id,indonezia
ia,interlingvao
iu,inuita
ga,irlanda
is,islanda
it,itala
ja,japana
jv,java
yi,jida
yo,joruba
kn,kanara
ka,kartvela
ca,kataluna
kk,kazaĥa
ks,kaŝmira
qu,keĉua
cy,kimra
ky,kirgiza
tlh,klingona
km,kmera
ko,korea
co,korsika
hr,kroata
xh,ksosa
ku,kurda
la,latino
lv,latva
lo,laŭa
ln,lingala
lt,litova
mk,makedona
mg,malagasa
ms,malaja
ml,malajalama
mt,malta
mi,maoria
mr,marata
mn,mongola
na,naura
nl,nederlanda
ne,nepala
no,norvega
nn,novnorvega
ie,okcidentalo
oc,okcitana
or,orijo
om,oroma
pa,panĝaba
ps,paŝtua
fa,persa
pl,pola
pt,portugala
pt_PT,portugalportugala
rm,romanĉa
rw,ruanda
ro,rumana
ru,rusa
sm,samoa
sg,sangoa
sa,sanskrito
sr,serba
sh,serbo-Kroata
sd,sinda
si,sinhala
sk,slovaka
sl,slovena
so,somala
st,sota
su,sunda
sw,svahila
ss,svazia
sv,sveda
tl,tagaloga
th,taja
ta,tamila
tt,tatara
tg,taĝika
te,telugua
bo,tibeta
ti,tigraja
to,tongaa
tr,turka
tk,turkmena
ug,ujgura
uk,ukraina
ur,urduo
uz,uzbeka
vi,vjetnama
vo,volapuko
wo,volofa
zu,zulua
cs,ĉeĥa
zh,ĉina
za,ĝuanga
sn,ŝona
