Austraalia keeled (aus)
Inari saami (smn)
Lule saami (smj)
Nuubia keeled (nub)
Samaaria aramea (sam)
Sichuani jii (ii)
abhaasi (ab)
adangme (ada)
adõgee (ady)
afari (aa)
afrihili (afh)
afrikaani (af)
aimara (ay)
ainu (ain)
akadi (akk)
akani (ak)
akoli (ach)
alamsaksa (nds)
alamsorbi (dsb)
albaania (sq)
alemanni (gsw)
aleuudi (ale)
algonkini keeled (alg)
altai (alt)
ambo (kj)
amhari (am)
angika (anp)
apatši keeled (apa)
araabia (ar)
aragoni (an)
aramea (arc)
arapaho (arp)
araukaani (arn)
aravaki (arw)
armeenia (hy)
aromuuni (rup)
aserbaidžaani (az)
assami (as)
astuuria (ast)
atapaski keeled (ath)
atsam (cch)
atšehi (ace)
austroneesia keeled (map)
avaari (av)
avadhi (awa)
avesta (ae)
bali (ban)
bambara (bm)
bamileke keeled (bai)
banda (bad)
bantu (bnt)
basa (bas)
baski (eu)
bataki (btk)
baškiiri (ba)
bedža (bej)
belau (pau)
belutši (bal)
bemba (bem)
bengali (bn)
berberi (ber)
bhodžpuri (bho)
bhutani (dz)
bihaari (bh)
bikoli (bik)
bilini (byn)
birma (my)
bislama (bi)
bosnia (bs)
bradži (bra)
bretooni (br)
bugi (bug)
bulgaaria (bg)
burjaadi (bua)
dajaki (day)
dargi (dar)
delavari (del)
dinka (din)
djula (dyu)
dogri (doi)
dogribi (dgr)
duala (dua)
edo (bin)
eelami (elx)
eesti (et)
ekadžuki (eka)
ersa (myv)
esperanto (eo)
etioopia (gez)
eve (ee)
evondo (ewo)
fangi (fan)
fanti (fat)
fidži (fj)
filipino (fil)
foiniikia (phn)
foni (fon)
friuuli (fur)
fulbe (ff)
fääri (fo)
gaa (gaa)
gaeli (gd)
gajo (gay)
galeegi (gl)
ganda (lg)
gbaja (gba)
gondi (gon)
gooti (got)
gorontalo (gor)
grebo (grb)
gruusia (ka)
grööni (kl)
guaranii (gn)
gudžarati (gu)
gvitšini (gwi)
haida (hai)
haiti (ht)
hausa (ha)
havai (haw)
heebrea (he)
herero (hz)
heti (hit)
hiina (zh)
hiina keel - lihtsustatud (zh_Hans)
hiina keel - traditsiooniline (zh_Hant)
hiligainoni (hil)
himtšali (him)
hindi (hi)
hispaania (es)
hmongi (hmn)
hollandi (nl)
horvaadi (hr)
hupa (hup)
ibani (iba)
ibibio (efi)
ibo (ig)
idafriisi (frs)
ido (io)
idžo (ijo)
iiri (ga)
iloko (ilo)
indoneesia (id)
inglise (en)
inglise (USA) (en_US)
inguši (inh)
injupiaki (ik)
interlingua (ia)
interlingue (ie)
inuktituti (iu)
irokeesi keeled (iro)
islandi (is)
itaalia (it)
jaapani (ja)
jaava (jv)
jakuudi (sah)
jao (yao)
japi (yap)
jidiši (yi)
jju (kaj)
joruba (yo)
jupiki keeled (ypk)
juudiaraabia (jrb)
juudipärsia (jpr)
kaavi (kaw)
kabardi-tšerkessi (kbd)
kabiili (kab)
kado (cad)
kalmõki (xal)
kamba (kam)
kannada (kn)
kanuri (kr)
karakalpaki (kaa)
karatšai-balkaari (krc)
kareni (kar)
kariibi (car)
karjala (krl)
kasahhi (kk)
katalaani (ca)
katšini (kac)
kašmiiri (ks)
kašuubi (csb)
keskhollandi (dum)
keskiiri (mga)
keskinglise (enm)
keskprantsuse (frm)
keskülemsaksa (gmh)
ketšua (qu)
khasi (kha)
khmeeri (km)
kikuju (ki)
kirgiisi (ky)
kiribati (gil)
kirikuslaavi (cu)
klingoni (tlh)
koltasaami (sms)
komi (kv)
kongo (kg)
konkani (kok)
koosa (xh)
kopti (cop)
korea (ko)
korni (kw)
koro (kfo)
korsika (co)
kosrae (kos)
kpelle (kpe)
kreeka (el)
krii (cr)
krimmitatari (crh)
kruu (kro)
kumõki (kum)
kurdi (ku)
kutenai (kut)
kõmri (cy)
ladiino (lad)
ladina (la)
lahnda (lah)
lamba (lam)
lao (lo)
leedu (lt)
lesgi (lez)
letseburgi (lb)
limburgi (li)
lingala (ln)
lojbani (jbo)
lozi (loz)
luba (lu)
luisenjo (lui)
lulua (lua)
lunda (lun)
luo (luo)
lušei (lus)
läti (lv)
läänefriisi (fy)
lõunandebele (nr)
lõunasaami (sma)
lõunasotho (st)
madura (mad)
magali (mag)
maia keeled (myn)
maithili (mai)
makassari (mak)
makedoonia (mk)
malagassi (mg)
malai (ms)
malajalami (ml)
maldiivi (dv)
malinke (man)
malta (mt)
mandari (mdr)
mandžu (mnc)
manipuri (mni)
manobo keeled (mno)
maoori (mi)
marathi (mr)
mari (chm)
marvari (mwr)
maršalli (mh)
masai (mas)
maskogi (mus)
mbundu (kmb)
mende (men)
mikmaki (mic)
minangkabau (min)
miranda (mwl)
mittekeeleline (zxx)
mitu keelt (mul)
mohoogi (moh)
mokša (mdf)
moldova (mo)
mongo (lol)
mongoli (mn)
more (mos)
motu (ho)
muinasegiptuse (egy)
munda keel (mun)
mustlaskeel (rom)
muu Altai (tut)
muu Filipiini (phi)
muu Hiina-Tiibeti (sit)
muu India (inc)
muu Iraani (ira)
muu Kaukaasia (cau)
muu Kesk-Ameerika indiaani (cai)
muu Lõuna-Ameerika indiaani (sai)
muu Nigeri-Kordofani (nic)
muu Niiluse-Sahara (ssa)
muu Paapua (paa)
muu Põhja-Ameerika indiaani (nai)
muu afroaasia (afa)
muu balti (bat)
muu draviidi keel (dra)
muu germaani (gem)
muu indoeuroopa (ine)
muu keldi (cel)
muu khoisani (khi)
muu kuši keel (cus)
muu moni-khmeeri (mkh)
muu romaani (roa)
muu saami (smi)
muu semi (sem)
muu slaavi (sla)
muu soomeugri (fiu)
muu tai keel (tai)
muu tehiskeel (art)
muud inglispõhjalised kreool- ja pidžinkeeled (cpe)
muud kreool- ja pidžinkeeled (crp)
muud portugalipõhjalised kreool- ja pidžinkeeled (cpp)
muud prantsuspõhjalised kreool- ja pidžinkeeled (cpf)
mänksi (gv)
määramata (und)
nahua (nah)
napoli (nap)
nauru (na)
navaho (nv)
ndonga (ng)
nepali (ne)
nevari (new)
niasi (nia)
niue (niu)
njamvesi (nym)
njandža (ny)
njoro (nyo)
nkole (nyn)
nkoo (nqo)
nogai (nog)
norra (no)
norra bokmål (nb)
norra nynorsk (nn)
nzima (nzi)
odžibvei (oj)
oksitaani (oc)
oraoni (kru)
oria (or)
oromo (om)
oseidži (osa)
osmanitürgi (ota)
osseedi (os)
otomi keeled (oto)
paali (pi)
pahlavi (pal)
pampanga (pam)
pandžabi (pa)
pangasinani (pag)
papiamento (pap)
pedi (nso)
poola (pl)
poonpei (pon)
portugali (pt)
praakriti keeled (pra)
prantsuse (fr)
puštu (ps)
pärsia (fa)
põhjafriisi (frr)
põhjandebele (nd)
põhjasaami (se)
radžastani (raj)
rapanui (rap)
rarotonga (rar)
retoromaani (rm)
rootsi (sv)
ruanda (rw)
rumeenia (ro)
rundi (rn)
saki (kho)
saksa (de)
sališi keeled (sal)
samoa (sm)
sandave (sad)
sango (sg)
sanskriti (sa)
santali (sat)
sapoteegi (zap)
sardiinia (sc)
sasaki (sas)
sebu (ceb)
serbia (sr)
serbia-horvaadi (sh)
sereri (srr)
sidamo (sid)
siksika (bla)
sindhi (sd)
singali (si)
sitsiilia (scn)
siuu (dak)
siuu keeled (sio)
sleivi (den)
slovaki (sk)
sloveeni (sl)
sogdi (sog)
somaali (so)
songai (son)
soninke (snk)
soome (fi)
sorbi keeled (wen)
sranani (srn)
suahiili (sw)
sukuma (suk)
sumeri (sux)
sunda (su)
sunji (zun)
susu (sus)
suulu (zu)
svaasi (ss)
sölkupi (sel)
süüria (syr)
taani (da)
tadžiki (tg)
tagalogi (tl)
tahiti (ty)
tai (th)
tamašeki (tmh)
tamili (ta)
tatari (tt)
telugu (te)
temne (tem)
tereno (ter)
tetumi (tet)
tigree (tig)
tigrinja (ti)
tiibeti (bo)
tivi (tiv)
tlingiti (tli)
tokelau (tkl)
tonga (to)
tsonga (ts)
tsvana (tn)
tumbuka (tum)
tupii keeled (tup)
tuvalu (tvl)
tvii (tw)
tyap (kcg)
tõva (tyv)
türgi (tr)
türkmeeni (tk)
tšagatai (chg)
tšami keeled (cmc)
tšamorro (ch)
tšehhi (cs)
tšerokii (chr)
tšetšeeni (ce)
tšibtša (chb)
tšimši keeled (tsi)
tšinuki žargoon (chn)
tšipevai (chp)
tšitonga (tog)
tšokto (cho)
tšuangi (za)
tšuugi (chk)
tšuvaši (cv)
udmurdi (udm)
ugariti (uga)
uiguuri (ug)
ukraina (uk)
umbundu (umb)
ungari (hu)
urdu (ur)
usbeki (uz)
uusmelaneesia (tpi)
vadja (vot)
vai (vai)
vakaši keeled (wak)
valgevene (be)
vallooni (wa)
vanaiiri (sga)
vanainglise (ang)
vanakreeka (grc)
vananevari (nwc)
vanaprantsuse (fro)
vanaprovansi (pro)
vanapärsia (peo)
vanapõhjala (non)
vanaülemsaksa (goh)
varai (war)
vašo (was)
venda (ve)
vene (ru)
vietnami (vi)
viipekeeled (sgn)
volamo (wal)
volapüki (vo)
volofi (wo)
zande (znd)
zenaga (zen)
üksikkeeled (mis)
ülemsorbi (hsb)
šaieeni (chy)
šani (shn)
šona (sn)
šoti (sco)
