afrikaans (af)
albaniera (sq)
alemanera (de)
amharikera (am)
arabiera (ar)
armeniera (hy)
assamera (as)
azerbaijanera (az)
bengalera (bn)
bielorrusiera (be)
bihariera (bh)
bosniera (bs)
bretoiera (br)
bulgariera (bg)
daniera (da)
errumaniera (ro)
errusiera (ru)
eskoziar gaelikoa (gd)
eslovakiera (sk)
esloveniera (sl)
espainiera (es)
esperantoa (eo)
estoniera (et)
euskara (eu)
faroera (fo)
finlandiera (fi)
frantsesera (fr)
frisiarra (fy)
gaelikoa (ga)
galegoa (gl)
galesera (cy)
georgiera (ka)
greziera (el)
guaraniera (gn)
gujaratera (gu)
hebreera (he)
hindia (hi)
hungariera (hu)
indonesiera (id)
ingelera (en)
ingelesa (AEB) (en_US)
ingelesa (Australia) (en_AU)
ingelesa (Erresuma Batua) (en_GB)
interlingua (ia)
interlingue (ie)
islandiera (is)
italiera (it)
japoniera (ja)
javera (jv)
kannada (kn)
katalana (ca)
khemerera (km)
kirgizera (ky)
klingonera (tlh)
koreera (ko)
kroaziera (hr)
kurduera (ku)
laosera (lo)
latina (la)
letoniera (lv)
lingala (ln)
lituaniera (lt)
malayalamera (ml)
malaysiera (ms)
maltera (mt)
marathera (mr)
mazedoniera (mk)
mongoliera (mn)
nederlandera (nl)
nepalera (ne)
norvegiera (no)
norvegiera berria (nn)
okzitaniera (oc)
oriya (or)
paxtuera (ps)
pertsiera (fa)
poloniera (pl)
portugalera (pt)
portugesa (Brasil) (pt_BR)
portugesa (Potugal) (pt_PT)
punjabera (pa)
sanskritoa (sa)
serbiera (sr)
serbokroaziera (sh)
sesothoera (st)
sindhia (sd)
sinhala (si)
somaliera (so)
suediera (sv)
sundanera (su)
swahili (sw)
tagalo (fil)
tagalog (tl)
tamilera (ta)
telugua (te)
thailandiera (th)
tigrinya (ti)
turkiera (tr)
turkmeniera (tk)
twia (tw)
txekiera (cs)
txinera (zh)
txinera (soildua) (zh_Hans)
txinera (tradizionala) (zh_Hant)
uigurrera (ug)
ukrainera (uk)
urdu (ur)
uzbekera (uz)
vietnamera (vi)
xhosa (xh)
yiddishera (yi)
zuluera (zu)
