abhaasi (ab)
aceh (ace)
adangme (ada)
adyge (ady)
afar (aa)
afrihili (afh)
afrikaans (af)
afro-aasialainen kieli (afa)
aimara (ay)
ainu (ain)
akan (ak)
akkadi (akk)
alasaksa (nds)
alasorbi (dsb)
albania (sq)
aleutti (ale)
algonkin-kieli (alg)
altai (alt)
altailainen kieli (tut)
amerikanenglanti (en_US)
amerikanespanja (es_419)
amhara (am)
angika (anp)
apaššikieli (apa)
arabia (ar)
aragonia (an)
aramea (arc)
arapaho (arp)
araukaani (arn)
arawak (arw)
armenia (hy)
aromania (rup)
assami (as)
asturia (ast)
athabasca-kieli (ath)
atsam (cch)
atšoli (ach)
australialainen kieli (aus)
australianenglanti (en_AU)
austronesialainen kieli (map)
avaari (av)
avesta (ae)
awadhi (awa)
azeri (az)
bali (ban)
balttilainen kieli (bat)
bambara (bm)
bamileke-kieli (bai)
banda (bad)
bantukieli (bnt)
basa (bas)
baski (eu)
batak (btk)
baškiiri (ba)
bedža (bej)
belutši (bal)
bemba (bem)
bengali (bn)
berberikieli (ber)
bhodžpuri (bho)
bihari (bh)
bikol (bik)
bilin (byn)
bini (bin)
bislama (bi)
blisskieli (zbl)
bosnia (bs)
bradž (bra)
brasilianportugali (pt_BR)
bretoni (br)
britannianenglanti (en_GB)
bugi (bug)
bulgaria (bg)
burjaatti (bua)
burma (my)
caddo (cad)
cebuano (ceb)
cherokee (chr)
cheyenne (chy)
chinook-jargon (chn)
chipewyan (chp)
choctaw (cho)
chuuk (chk)
cree (cr)
creek (mus)
dajakki (day)
dakota (dak)
dargi (dar)
delaware (del)
dinka (din)
divehi (dv)
djula (dyu)
dogri (doi)
dogrib (dgr)
dravidakieli (dra)
duala (dua)
dzongkha (dz)
efik (efi)
ei kielellistä sisältöä (zxx)
ekajuk (eka)
elami (elx)
englanti (en)
englantiin perustuva kreoli- tai pidgin-kieli (cpe)
ersä (myv)
espanja (es)
espanjanespanja (es_ES)
esperanto (eo)
etelä-ndebele (nr)
eteläamerikkalainen intiaanikieli (sai)
eteläsaame (sma)
eteläsotho (st)
ewe (ee)
ewondo (ewo)
fang (fan)
fanti (fat)
farsi (fa)
fidži (fj)
filipino (fil)
filippiiniläinen kieli (phi)
flaami (nl_BE)
foinikia (phn)
fon (fon)
friuli (fur)
fulani (ff)
fääri (fo)
ga (gaa)
gaeli (gd)
gajo (gay)
galicia (gl)
ganda (lg)
gbaja (gba)
georgia (ka)
germaaninen kieli (gem)
ge’ez (gez)
gondi (gon)
gootti (got)
gorontalo (gor)
grebo (grb)
guarani (gn)
gudžarati (gu)
gwitšin (gwi)
haida (hai)
haiti (ht)
hausa (ha)
havaiji (haw)
heetti (hit)
heprea (he)
herero (hz)
hiligaino (hil)
himatšali (him)
hindi (hi)
hiri-motu (ho)
hmong (hmn)
hollanti (nl)
hupa (hup)
iban (iba)
ido (io)
idžo (ijo)
igbo (ig)
iiri (ga)
iloko (ilo)
inarinsaame (smn)
indoarjalainen kieli (inc)
indoeurooppalainen kieli (ine)
indonesia (id)
inguuši (inh)
interlingua (ia)
interlingue (ie)
inuktitut (iu)
inupiatun (ik)
iranilainen kieli (ira)
irokeesikieli (iro)
islanti (is)
italia (it)
itäfriisi (frs)
itävallansaksa (de_AT)
jaava (jv)
jakuutti (sah)
jao (yao)
japani (ja)
japi (yap)
jiddiš (yi)
jju (kaj)
joruba (yo)
jupikkikieli (ypk)
juuri (root)
juutalaisarabia (jrb)
juutalaispersia (jpr)
kabardi (kbd)
kabyyli (kab)
kachin (kac)
kalaallisut (kl)
kalmukki (xal)
kamba (kam)
kanadanenglanti (en_CA)
kanadanranska (fr_CA)
kannada (kn)
kanuri (kr)
karakalpakki (kaa)
karatšai-balkaari (krc)
karen (kar)
karibi (car)
karjala (krl)
katalaani (ca)
katanganluba (lu)
kaukasialainen kieli (cau)
kavi (kaw)
kazakki (kk)
kašmiri (ks)
kašubi (csb)
keinotekoinen kieli (art)
kelttiläinen kieli (cel)
keski-iiri (mga)
keskiamerikkalainen intiaanikieli (cai)
keskienglanti (enm)
keskihollanti (dum)
keskiranska (frm)
keskiyläsaksa (gmh)
ketšua (qu)
khasi (kha)
khmer (km)
khoisan-kieli (khi)
khotani (kho)
kiina (zh)
kikuju (ki)
kimbundu (kmb)
kirgiisi (ky)
kiribati (gil)
kirkkoslaavi (cu)
klassinen newari (nwc)
klingon (tlh)
koltansaame (sms)
komi (kv)
kongo (kg)
konkani (kok)
kopti (cop)
korea (ko)
korni (kw)
korsika (co)
kosrae (kos)
kpelle (kpe)
kreikka (el)
kreoli- tai pidgin-kieli (crp)
krimintataari (crh)
kroatia (hr)
kru-kieli (kro)
kuanjama (kj)
kumykki (kum)
kurdi (ku)
kurukh (kru)
kutenai (kut)
kuušilainen kieli (cus)
kymri (cy)
ladino (lad)
lahnda (lah)
lamba (lam)
lao (lo)
latina (la)
latvia (lv)
lezgi (lez)
liettua (lt)
limburg (li)
lingala (ln)
lojban (jbo)
lozi (loz)
luiseño (lui)
