Afrikaans (af)
Albanian (sq)
Aleman (de)
Amharic (am)
Arabic (ar)
Armenian (hy)
Assamese (as)
Azerbaijani (az)
Basque (eu)
Belarusian (be)
Bengali; Bangla (bn)
Bihari (bh)
Bosnian (bs)
Breton (br)
Bulgarian (bg)
Catalan (ca)
Croatian (hr)
Czech (cs)
Danish (da)
Eslobak (sk)
Eslobenyan (sl)
Espanyol (es)
Esperanto (eo)
Estonian (et)
Faroeso (fo)
Filipino (fil)
Finnish (fi)
Galician (gl)
Georgian (ka)
Griyego (el)
Guarani (gn)
Gujarati (gu)
Hebreo (he)
Hindu (hi)
Hungarian (hu)
Icelandic (is)
Indonesian (id)
Ingles (en)
Ingles (UK) (en_GB)
Ingles (US) (en_US)
Interlingua (ia)
Interlingue (ie)
Intsik (Pinadali) (zh_Hans)
Intsik (Tradisyunal) (zh_Hant)
Irish (ga)
Italyano (it)
Japanese (ja)
Javanese (jv)
Kannada (kn)
Khmer (km)
Kirghiz (ky)
Klingon (tlh)
Korean (ko)
Kurdish (ku)
Lao (lo)
Latin (la)
Latvian (lv)
Lingala (ln)
Lithuanian (lt)
Macedonian (mk)
Malay (ms)
Malayalam (ml)
Maltese (mt)
Marathi (mr)
Mongolian (mn)
Nepali (ne)
Norwegian (no)
Norwegian Nynorsk (nn)
Occitan (oc)
Olandes (nl)
Oriya (or)
Pashto (ps)
Persian (fa)
Polish (pl)
Portuges (pt)
Portuges (Brasil) (pt_BR)
Pranses (fr)
Prisian (fy)
Punjabi (pa)
Rhaeto-Romance (rm)
Romanian (ro)
Ruso (ru)
Sanskrit (sa)
Scots Gaelic (gd)
Serbiran (sr)
Serbo-Croatian (sh)
Sesoto (st)
Sindhi (sd)
Sinhalese (si)
Somali (so)
Suwiso (sv)
Swahili (sw)
Taga Sundan (su)
Tagalog (tl)
Tamil (ta)
Telugu (te)
Thai (th)
Tigrinya (ti)
Turkmen (tk)
Turko (tr)
Twi (tw)
Uighur (ug)
Ukranian (uk)
Urdu (ur)
Uzbeko (uz)
Vietnamese (vi)
Welsh (cy)
Wolof (wo)
Xhosa (xh)
Yiddish (yi)
Zulu (zu)
und (und)
zh (zh)
