afríska (af)
albanskt (sq)
amhariskt (am)
arabiskt (ar)
armenskum (hy)
assamesiskt (as)
azerbaijaniskt (az)
baskiskt (eu)
belarussiskt (be)
bengaliskt (bn)
bihariskt (bh)
bosniskt (bs)
bretonskt (br)
bulgarskum (bg)
danskt (da)
enskt (en)
esperanto (eo)
estlendskt (et)
finskt (fi)
franskt (fr)
frisiskt (fy)
føroyskt (fo)
galliskt (gl)
georgiskt (ka)
grikskt (el)
guarani (gn)
gujariti (gu)
hebraiskt (he)
hindi (hi)
hollendskt (nl)
indonesiskum (id)
interlingua (ia)
interlingue (ie)
italskt (it)
japanskt (ja)
javanesiskt (jv)
jiddiskt (yi)
kambodjanskt (km)
kannada (kn)
katalanskt (ca)
kekkiskt (cs)
kinesískt (zh)
klingonskt (tlh)
koreanskt (ko)
kroatiskum (hr)
kurdiskt (ku)
kyrgyz (ky)
laothian (lo)
latviskt (lv)
latín (la)
lingala (ln)
litavskt (lt)
makedonskt (mk)
malay (ms)
malayalam (ml)
maltesiskt (mt)
marathiskt (mr)
mongoliskt (mn)
nepalskt (ne)
norskt (no)
norskt bokmál (nb)
nýnorskt (nn)
occitan (oc)
oriya (or)
pashto (ps)
persiskt (fa)
polskt (pl)
portugisiskt (pt)
punjabi (pa)
romanskt (ro)
russiskt (ru)
sanskrit (sa)
serbiskum (sr)
serbokroatiskt (sh)
sesotho (st)
sindhi (sd)
sinhalesiskt (si)
skotskt gæliskt (gd)
slovakiskum (sk)
slovenskum (sl)
somaliskt (so)
spanskt (es)
sulu (zu)
sundanesiskt (su)
svenskt (sv)
swahili (sw)
tagalog (fil)
tamilskt (ta)
telugu (te)
thailendskt (th)
tigrinya (ti)
turkiskt (tr)
turkmenskt (tk)
twi (tw)
týskt (de)
uighur (ug)
ukrainskt (uk)
ungarskt (hu)
urdu (ur)
uzbekiskt (uz)
valisiskt (cy)
vietnamesiskt (vi)
xhosa (xh)
írskt (ga)
íslendskt (is)
