iso,name
aa,afar
af,afrikaans
sq,albanês
am,amaric
an,aragonês
arc,aramaic
ar,arap
hy,armen
as,assamês
ast,asturian
map,austronesian
av,avar
ae,avestan
ay,aymarà
az,azerbaijani
nds,"bas todesc"
eu,basc
bn,bengalês
be,bielorùs
bs,bosniac
br,breton
bg,bulgar
ca,catalan
cs,cec
ce,cecen
ch,chamorro
zh,cinês
zh_Hans,"cinês semplificât"
zh_Hant,"cinês tradizionâl"
cop,coptic
ko,corean
kw,cornualiês
co,cors
hr,cravuat
cr,cree
ku,curd
da,danês
he,ebraic
eo,esperanto
et,eston
fo,faroês
fi,finlandês
fj,fizian
fr,francês
fy,frisian
ff,fulah
fur,furlan
ga,"gaelic irlandês"
gd,"gaelic scozês"
gl,galizian
cy,galês
ja,gjaponês
ka,gjeorgjian
got,gotic
el,grêc
ht,haitian
hi,hindi
io,ido
und,indeterminade
id,indonesian
en,inglês
iu,inuktitut
ik,inupiaq
is,islandês
kl,kalaallisut
kn,kannada
kk,kazac
km,khmer
lad,ladin
la,latin
apa,"lenghe Apache"
cel,"lenghe celtiche"
gem,"lenghe gjermaniche"
ine,"lenghe indo-europeane"
roa,"lenghe romanze"
sla,"lenghe sclave"
myn,"lenghis Maya"
aus,"lenghis australianis"
mul,"lenghis multiplis"
mis,"lenghis variis"
lv,leton
li,limburghês
ln,lingala
lt,lituan
lb,lussemburghês
mk,macedon
ml,malayalam
mt,maltês
ms,malês
gv,manx
mi,maori
mr,marathi
mwl,mirandês
mo,moldâf
mn,mongul
nap,napoletan
nv,navajo
ne,nepalês
no,norvegjês
nb,"norvegjês bokmål"
nn,"norvegjês nynorsk"
oc,ocitan
nl,olandês
hu,ongjarês
os,osetic
pap,papiamento
ps,pashto
fa,persian
pl,polac
pt,portughês
pt_BR,"portughês brasilian"
pa,punjabi
qu,quechua
ro,romen
rm,rumanç
ru,rus
se,"sami setentrionâl"
sm,samoan
sa,sanscrit
sc,sardegnûl
den,sclâf
cu,"sclâf de glesie"
sco,scozês
sr,serp
scn,sicilian
si,sinalês
sd,sindhi
sk,slovac
sl,sloven
so,somal
es,spagnûl
sux,sumeric
sv,svedês
sw,swahili
tl,tagalog
tg,tagic
ty,tahitian
it,talian
ta,tamil
tt,tartar
te,telegu
tet,tetum
th,thai
bo,tibetan
de,todesc
tr,turc
ota,"turc otoman"
uk,ucrain
ur,urdu
uz,uzbec
wa,valon
egy,"vieri egjizian"
fro,"vieri francês"
grc,"vieri grêc"
ang,"vieri inglês"
sga,"vieri irlandês"
non,"vieri norvegjês"
peo,"vieri persian"
pro,"vieri provenzâl"
vi,vietnamite
yi,yiddish
zu,zulu
