Abcáisis (ab)
Afracáinis (af)
Airméinis (hy)
Aivéistis (ae)
Albáinis (sq)
Amarais (am)
Araibis (ar)
Asaimis (as)
Asarbaiseáinis (az)
Baiscíris (ba)
Bascais (eu)
Bealarúisis (be)
Beangáilis (bn)
Bihairis (bh)
Boisnis (bs)
Breatnais (cy)
Briotáinis (br)
Bulgáiris (bg)
Burmais (my)
Béarla (en)
Caismíris (ks)
Cambóidis (km)
Cannadais (kn)
Casachais (kk)
Catalóinis (ca)
Ceatsuais (qu)
Cirgeasais (ky)
Coirdis (ku)
Cornais (kw)
Corsaicis (co)
Craíais (cr)
Cróitis (hr)
Cóiréis (ko)
Cósais (xh)
Danmhairgis (da)
Eabhrais (he)
Eastóinis (et)
Esperanto (eo)
Faróis (fo)
Fidsis (fj)
Fionlainnis (fi)
Fraincis (fr)
Freaslainnis Iartharach (fy)
Gaeilge (ga)
Gaeilge na hAlban (gd)
Gailísis (gl)
Gearmáinis (de)
Giúdais (yi)
Gréigis (el)
Guaráinis (gn)
Gúisearáitis (gu)
Haváíais (haw)
Hiondúis (hi)
Ido (io)
Indinéisis (id)
Interlingua (ia)
Interlingue (ie)
Inupiaq (ik)
Iodáilis (it)
Ionúitis (iu)
Ioruais (no)
Ioruais Bokmål (nb)
Ioruais Nynorsk (nn)
Iávais (jv)
Klingon (tlh)
Laidin (la)
Laitvis (lv)
Laosais (lo)
Leitseabuirgis (lb)
Liotuáinis (lt)
Macadóinis (mk)
Mailéalaimis (ml)
Malaeis (ms)
Malagásais (mg)
Maltais (mt)
Mannainis (gv)
Maorais (mi)
Maraitis (mr)
Moldáivis (mo)
Mongóilis (mn)
Navachóis (nv)
Neipealais (ne)
Nárúis (na)
Ocatáinis (oc)
Ollainnis (nl)
Oraisis (or)
Paistis (ps)
Peirsis (fa)
Polainnis (pl)
Portaingéilis (pt)
Portaingéilis Bhrasaíleach (pt_BR)
Portaingéilis Ibéireach (pt_PT)
Puinseáibis (pa)
Rómáinis (ro)
Rúisis (ru)
Sairdínis (sc)
Samóis (sm)
Sanscrait (sa)
Seapáinis (ja)
Seicis (cs)
Seirbea-Chróitis (sh)
Seirbis (sr)
Seoirsis (ka)
Sindis (sd)
Siolóinis (si)
Sisinis (ce)
Slavais na hEaglaise (cu)
Slóivéinis (sl)
Slóvaicis (sk)
Somáilis (so)
Spáinnis (es)
Sualainnis (sv)
Sundais (su)
Suvaisis (cv)
Svahaílis (sw)
Sáimis Thuaidh (se)
Sínis (zh)
Sínis Shimplithe (zh_Hans)
Sínis Thraidisiúnta (zh_Hant)
Sótais Dheisceartach (st)
Súlúis (zu)
Tagálaigis (tl)
Taihítis (ty)
Tamailis (ta)
Tatarais (tt)
Teanga Anaithnid nó Neamhbhailí (und)
Teileagúis (te)
Tibéadais (bo)
Tigrinis (ti)
Tuircis (tr)
Tuircméinis (tk)
Tvís (tw)
Téalainnis (th)
Ungáiris (hu)
Urdais (ur)
Vallúnais (wa)
Vítneamais (vi)
aa (aa)
fil (fil)
ln (ln)
ug (ug)
Íoslainnis (is)
Óiséitis (os)
Úcráinis (uk)
Úisbéicis (uz)
