iso,name
af,Afirkanci
am,Amharic
hy,Armeniyanci
as,Asamisanci
az,Azerbaijanci
gl,Bagalike
hi,Bahinde
sl,Basulabe
sk,Basulake
tr,Baturke
xh,Bazosa
zu,Bazule
be,Belarushiyanci
bh,Bihari
bs,Bosniyanci
bg,Bulgeriyan
br,Buretananci
sq,"D'an/'Yar Kabilar Albaniya"
eo,"D'an/'Yar Kabilar Andalus"
ne,"D'an/'Yar Kabilar Nepal"
ta,"D'an/'Yar Kabilar Tamil"
te,"D'an/'Yar Kabilar Telug"
ga,"Dan Ailan"
bn,"Dan Bengal"
fil,"Dan Filifin"
la,"Dan Kabilar Latin"
ms,"Dan Kabilar Male"
mk,"Dan Masedoniya"
uk,"Dan Ukirain"
pa,"Dan/'Yar Garin Punjab"
eu,"Dan/'Yar Kabilar Bas"
kn,"Dan/'Yar Kabilar Kannada"
da,Danish
fr,Faranshi
fo,Faroese
pt_BR,"Fotigis (Burazil)"
el,Girkanci
gu,Gujarati
gn,Guwaraniyanci
ha,Haoussa
ar,"Harshen Larabci"
mt,"Harshen Maltis"
sw,"Harshen Suwahili"
hu,Hongeriyanci
id,Indonesiyan
ie,Intagulanci
et,Istoniyanci
it,Italiyanci
ja,Jafananci
de,Jamusanchi
jv,Javanisanci
ka,Jojiyanci
vi,"K'abilan Biyetnam"
fy,"K'abilan Firsi"
mr,"K'abilan Marathi"
gd,"K'abilan Scots Gaelic"
ml,"Kabilar Maleyalam"
cy,"Kabilar Welsh"
km,Kambodiyanci
ca,Kataloniyanci
ky,Kirgizanci
tlh,Klingon
ku,Kurdanci
hr,Kuroshiyan
sh,Kuroweshiyancin-Sabiya
lo,Laothian
lv,Latbiyanci
ln,Lingala
lt,Lituweniyanci
mn,Mongolian
es,"Mutanen Espanya"
or,Oriyanci
oc,Ositanci
ps,Pashtanci
fa,Persian
ru,Rashanci
ro,Romaniyanci
sr,Sabiyan
st,Sesotanci
sd,Sindiyanci
si,Sinhalanci
so,Somaali
su,Sundanese
th,Tayanci
ti,Tigriyanci
tw,Tiwiniyanci
tk,Tukmenistanci
en,Turanci
ug,Ugiranci
ur,Urdu
uz,Uzbek
he,Yahudanci
ia,"Yare Tsakanin Kasashe"
cs,"Yaren Jamhuriyar Cek"
nn,"Yaren Kasar Norway"
pt_PT,"Yaren Kasar Portugal"
fi,"Yaren mutanen Finland"
nl,"Yaren mutanen Holland"
is,"Yaren mutanen Iceland"
ko,"Yaren mutanen Koriya"
no,"Yaren mutanen Norway"
pl,"Yaren mutanen Poland"
pt,"Yaren mutanen Portugal"
sv,"Yaren mutanen Sweden"
sa,sanskrit
