iso,name
ik,ik
ab,אבחזית
ae,אבסטן
ady,אדיגית
uga,אוגריתית
awa,אוואדית
uz,אוזבקית
ug,אויגהור
map,אוסטרונזית
oc,אוקסיטנית
uk,אוקראינית
ur,אורדו
or,אוריה
az,אזרית
ig,איגבו
io,אידו
it,איטלקית
ay,איימארית
inh,אינגושית
ine,"אינדו-אירופית אחרת"
id,אינדונזית
cai,"אינדיאנית מרכז אמריקאית אחרת"
nai,"אינדיאנית צפון אמריקאית אחרת"
ain,אינו
iu,אינוקטיטוט
ie,אינטרלינגה
is,איסלנדית
ga,אירית
sga,"אירית עתיקה"
mga,"אירית תיכונה"
akk,אכדית
sq,אלבנית
am,אמהרית
en,אנגלית
en_AU,"אנגלית אוסטרלית"
en_US,"אנגלית אמריקנית"
en_GB,"אנגלית בריטית"
ang,"אנגלית עתיקה"
en_CA,"אנגלית קנדית"
enm,"אנגלית תיכונה"
as,אסאמית
et,אסטונית
ast,אסטורית
eo,אספרנטו
aa,אפארית
afh,אפריהילי
af,אפריקאנס
ak,אקאן
rup,ארומנית
arc,ארמית
sam,"ארמית שומרונית"
hy,ארמנית
bal,באלוצ'י
bg,בולגרית
bs,בוסנית
my,בורמזית
bej,בז'ה
bh,ביהארי
bi,ביסלמה
be,בלארוסית
ban,בלינזית
bn,בנגלית
bnt,בנטו
eu,בסקית
ber,ברברית
br,ברטונית
ba,בשקירית
wo,ג'ולוף
gd,"גאלית סקוטית"
gn,גוארני
gu,גוג'ראטית
gon,גונדי
got,גותית
ka,גיאורגית
gl,גליציאנית
gez,געז
gem,"גרמאנית אחרת"
de,גרמנית
de_AT,"גרמנית אוסטרית"
gsw,"גרמנית שוויצרית"
nds,"גרמנית תחתית"
doi,דוגרי
dz,דזונקה
dv,דיבהי
del,דלאוור
da,דנית
dak,דקוטה
ha,האוסה
ht,האיטית
ho,"הארי מוטו"
haw,הוואית
nl,הולנדית
dum,"הולנדית תיכונה"
hu,הונגרית
hi,הינדי
cy,וולשית
ve,וונדה
vi,ויאטנמית
zap,זאפוטק
zu,זולו
zen,זנאגה
hit,חיתית
tg,טג'יקית
tl,טגלוג
ty,טהיטית
tw,טווי
to,טונגאית
tr,טורקית
ota,"טורקית עותומנית"
tk,טורקמנית
tt,טטרית
crh,"טטרית של קרים"
bo,טיבטית
ti,טיגרינאית
te,טלוגו
ta,טמילית
ts,טסונגה
jv,יאוונית
yap,יאפזית
el,יוונית
grc,"יוונית עתיקה"
yo,יורובה
yi,יידיש
ja,יפנית
ku,כורדית
lo,לאית
lad,לדינו
lb,לוקסמבורגית
lv,לטבית
la,לטינית
lt,ליטאית
ln,לינגלה
zxx,"ללא תוכן לשוני"
mag,מאגאהית
mi,מאורית
myn,מאיה
mai,מאיטילית
gv,מאנית
mas,מאסאית
mo,מולדבית
mn,מונגולית
ml,מלאיאלם
ms,מלאית
mg,מלגשית
mt,מלטית
mni,מניפורית
mul,"מספר שפות"
egy,"מצרית עתיקה"
mk,מקדונית
mr,מרטהי
nah,נאהואטל
na,נאורית
nv,נבחו
nwc,"נווארית קלאסית"
nn,"נורבגית חדשה - נינורשק"
no,נורווגית
ne,נפאלית
nap,נפוליטנית
sat,סאנטלי
su,סודנית
sw,סווהילית
so,סומלית
syr,סורית
sid,סידמו
sd,סינדהית
si,סינהלה
zh,סינית
zh_Hans,"סינית (מפושטת)"
zh_Hant,"סינית מסורתית"
ss,סיסוואטי
scn,סיציליאנית
den,סלאבית
cu,"סלאבית כנסייתית עתיקה"
sl,סלובנית
sk,סלובקית
sm,סמואית
sa,סנסקריט
st,ססות'ו
es,ספרדית
es_ES,"ספרדית איברית"
es_419,"ספרדית לטינו־אמריקאית"
sco,סקוטית
sh,סרבו-קרואטית
sr,סרבית
sc,סרדינית
he,עברית
elx,עילמית
ar,ערבית
jrb,"ערבית יהודית"
fo,פארואזית
ps,פאשטו
pl,פולנית
pt_BR,"פורטוגזית ברזילאית"
pt,פורטוגלית
fj,פיג'ית
fil,פיליפינית
phi,"פיליפינית אחרת"
fi,פינית
nl_BE,פלמית
pa,פנג'אבית
phn,פניקית
fy,פריזית
frr,"פריזית צפונית"
fa,פרסית
jpr,"פרסית יהודית"
peo,"פרסית עתיקה"
chg,צ'אגאטאי
ce,צ'צ'נית
chr,צ'רוקי
tn,צוואנה
fr,צרפתית
fro,"צרפתית עתיקה"
fr_CA,"צרפתית קנדית"
fr_CH,"צרפתית שוויצרית"
frm,"צרפתית תיכונה"
cs,צ׳כית
cad,קאדו
kl,קאלאליסוטית
ceb,קבואנו
kab,קבילה
cop,קופטית
ko,קוריאנית
kw,קורנית
co,קורסיקנית
kk,קזחית
ca,קטלאנית
rw,קינירואנדה
ky,קירגיזית
rn,קירונדי
tlh,קלינגון
km,קמרית
kn,קנאדה
xh,קסוסה
hr,קרואטית
ks,קשמירית
raj,ראג'סטן
rom,רומאנית
ro,רומנית
ru,רוסית
sv,שוודית
sux,שומרית
aus,"שפה אוסטרלית"
sai,"שפה אינדיאנית דרום אמריקאית"
ira,"שפה איראנית"
apa,"שפה אפאצ׳ית"
afa,"שפה אפרו-אסייתית"
und,"שפה לא ידועה או לא תקפה"
art,"שפה מלאכותית אחרת"
sit,"שפה סינו־טיבטית"
sla,"שפה סלאבית"
cau,"שפה קווקזית"
cel,"שפה קלטית"
crp,"שפה קראולית או פידג'אנית"
mis,"שפה שונה"
sem,"שפה שמית"
bat,"שפות בלטיות"
nub,"שפות נבטיות"
smi,"שפות סאמיות אחרות"
sgn,"שפת סימנים"
th,תאי
ia,‏אינטרלינגואה
vo,‏וולאפיק
nb,"‏נורבגית ספרותית"
non,"‏נורדית עתיקה"
