abhaski (ab)
achinese (ace)
acoli (ach)
adangme (ada)
adigejski (ady)
afarski (aa)
afrihili (afh)
afrikaans (af)
ainu (ain)
akanski (ak)
akkadian (akk)
albanski (sq)
aleutski (ale)
algonquian (alg)
altajski (tut)
amharik (am)
angika (anp)
apaški (apa)
aragonski (an)
aramejski (arc)
arapaho (arp)
arapski (ar)
araukanski (arn)
arawak (arw)
armenski (hy)
aromunski (rup)
asamski (as)
asturijski (ast)
athapascan (ath)
atsam (cch)
australski (aus)
austrijski njemački (de_AT)
austronezijski (map)
avarski (av)
avestan (ae)
awadhi (awa)
aymara (ay)
azerbajdžanski (az)
balinezijski (ban)
baltički (bat)
baluchi (bal)
bambara (bm)
bamileke (bai)
banda (bad)
bantu (bnt)
basa (bas)
baskijski (eu)
batak (btk)
baškirski (ba)
beja (bej)
bemba (bem)
bengalski (bn)
berberski (ber)
bez jezičnog sadržaja (zxx)
bhojpuri (bho)
bihari (bh)
bikol (bik)
bini (bin)
bislama (bi)
bjeloruski (be)
blin (byn)
blissymbols (zbl)
bosanski (bs)
braj (bra)
brazilski portugalski (pt_BR)
bretonski (br)
bugarski (bg)
buginski (bug)
buriat (bua)
burmanski (my)
caddo (cad)
cebuano (ceb)
chagatai (chg)
chamic (cmc)
chamorro (ch)
chibcha (chb)
chinook žargon (chn)
chipewyan (chp)
choctaw (cho)
chuukese (chk)
chuvash (cv)
cree (cr)
creek (mus)
crkvenoslavenski (cu)
cvana (tn)
dakota jezik (dak)
danski (da)
dargwa (dar)
dayak (day)
delavarski (del)
dinka (din)
divehi (dv)
dogri (doi)
dogrib (dgr)
donjonjemački (nds)
dravidski (dra)
duala (dua)
dyula (dyu)
dzongkha (dz)
efik (efi)
ekajuk (eka)
elamitski (elx)
engleski (en)
engleski (američki) (en_US)
engleski (australski) (en_AU)
engleski (britanski) (en_GB)
engleski - na osnovi kreolskog ili pidgin (cpe)
engleski, srednji (enm)
esperanto (eo)
estonijski (et)
ewe (ee)
ewondo (ewo)
fang (fan)
fanti (fat)
faroanski (fo)
fenički (phn)
fidžijski (fj)
filipino (fil)
filipinski (phi)
finski (fi)
flamanski (nl_BE)
fon (fon)
francuski (fr)
francuski - na osnovi kreolskog ili pidgin (cpf)
francuski, srednji (frm)
friulski (fur)
frizijski (fy)
fulah (ff)
ga (gaa)
galicijski (gl)
ganda (lg)
gayo (gay)
gbaya (gba)
germanski (gem)
gilbertski (gil)
gondi (gon)
gornjolužički (hsb)
gornjonjemački (švicarski) (de_CH)
gorontalo (gor)
gothic (got)
grebo (grb)
gruzijski (ka)
grčki (el)
guarani (gn)
gujarati (gu)
gwich'in (gwi)
haidi (hai)
hausa (ha)
havajski (haw)
hebrejski (he)
herero (hz)
hetitski (hit)
hiligaynon (hil)
himachali (him)
hindu (hi)
hiri motu (ho)
hmong (hmn)
hrvatski (hr)
hupa (hup)
iban (iba)
iberski španjolski (es_ES)
ido (io)
igbo (ig)
ijo (ijo)
iloko (ilo)
inari sami (smn)
indijski (inc)
indoeuropski (ine)
indonezijski (id)
ingušetski (inh)
interligua (ie)
interlingua (ia)
inuktitut (iu)
inupiaq (ik)
iranski (ira)
irokeški (iro)
irski (ga)
irski, srednji (mga)
islandski (is)
istočnofrizijski (frs)
jakutski (sah)
japanski (ja)
japski (yap)
javanski (jv)
jezik južnoameričkih Indijanaca (sai)
jezik sjevernoameričkih Indijanaca (nai)
jezik srednjoameričkih Indijanaca (cai)
jidiš (yi)
joruba (yo)
judejsko-arapski (jrb)
judejsko-perzijski (jpr)
južni altai (alt)
južni ndebele (nr)
južni sami (se)
kabardian (kbd)
kabyle (kab)
kachin (kac)
kaje (kaj)
kalaallisut (kl)
kalmyk (xal)
kamba (kam)
kanadski engleski (en_CA)
kanadski francuski (fr_CA)
kannada (kn)
kanuri (kr)
kara-kalpak (kaa)
karachay-balkar (krc)
karelijski (krl)
karen (kar)
karipski (car)
katalonski (ca)
kavkaski (cau)
kawi (kaw)
kazaški (kk)
kašmirski (ks)
kašupski (csb)
keltski (cel)
khasi (kha)
khotanese (kho)
kikuyu (ki)
kimbundu (kmb)
kineski (zh)
kineski (pojednostavljeni) (zh_Hans)
kineski (tradicionalni) (zh_Hant)
kinyarwanda (rw)
kirgiški (ky)
klasični newari (nwc)
klasični sirski (syc)
klingonski (tlh)
kmerski (km)
književni norveški (nb)
kojsanski (khi)
komi (kv)
kongo (kg)
konkani (kok)
koptski (cop)
korejski (ko)
korijenski (root)
kornski (kw)
koro (kfo)
korzički (co)
kpelle (kpe)
kreolski (ht)
kreolski ili pidgin (crp)
kreolski ili pidgin na osnovi portugalskog (cpp)
krimski turski (crh)
kru (kro)
kuanyama (kj)
kumyk (kum)
kurdski (ku)
kuruški (kru)
kutenai (kut)
kušitski (cus)
ladino (lad)
lahnda (lah)
lamba (lam)
laoski (lo)
latinski (la)
latvijski (lv)
lezgiški (lez)
limburgish (li)
lingala (ln)
litvanski (lt)
lojban (jbo)
lozi (loz)
luba-katanga (lu)
luba-lulua (lua)
luiseno (lui)
luksemburški (lb)
lule sami (smj)
lunda (lun)
luo (luo)
lushai (lus)
lužički (wen)
lužičkosrpski (dsb)
madurski (mad)
magahi (mag)
maithili (mai)
majanski (myn)
makasar (mak)
makedonski (mk)
malajski (ms)
malayalam (ml)
malgaški (mg)
malteški (mt)
mandar (mdr)
mandingo (man)
mandžurski (mnc)
manipurski (mni)
manobo (mno)
manx (gv)
maorski (mi)
marathi (mr)
mari (chm)
marwari (mwr)
maršalski (mh)
masajski (mas)
mađarski (hu)
mende (men)
micmac (mic)
minangkabau (min)
mirandski (mwl)
mkh (mkh)
mohawk (moh)
moksha (mdf)
moldavski (mo)
mongo (lol)
mongolski (mn)
mordvinski (myv)
mossi (mos)
munda (mun)
n'ko (nqo)
nahuatl (nah)
napolitanski (nap)
naurski (kos)
nauru (na)
navajo (nv)
ndonga (ng)
nepalski (ne)
nepoznati ili nevažeći jezik (und)
newari (new)
nias (nia)
nigersko-kordofanski (nic)
nilo-saharski (ssa)
niujski (niu)
nizozemski (nl)
nizozemski, srednji (dum)
njemački (de)
njemački, srednji visoki (gmh)
nogajski (nog)
norveški (no)
novonorveški (nn)
nubijski (nub)
nyamwezi (nym)
nyanja (ny)
nyankole (nyn)
nyasa tonga (tog)
nyoro (nyo)
nzima (nzi)
ojibwa (oj)
okcitanski (oc)
orijski (or)
oromo (om)
osage (osa)
osetski (os)
ostali afričko-azijski (afa)
ostali jezici (mis)
otomijski (oto)
pahlavi (pal)
palauanski (pau)
pali (pi)
pampanga (pam)
pangasinan (pag)
papiamento (pap)
papuanski (paa)
paštu (ps)
perzijski (fa)
pohnpeian (pon)
poljski (pl)
portugalski (pt)
portugalski (iberijski) (pt_PT)
prakrit (pra)
punjabi (pa)
quechua (qu)
rajasthani (raj)
rapa nui (rap)
rarotonški (rar)
retoromanski (rm)
romanski (roa)
romski (rom)
rumunjski (ro)
rundi (rn)
ruski (ru)
salishan (sal)
samarijanski aramejski (sam)
sami (smi)
samoanski (sm)
sandawe (sad)
sango (sg)
sanskrtski (sa)
santali (sat)
sardski (sc)
sasak (sas)
selkupski (sel)
semitic (sem)
serer (srr)
sesotski (st)
shan (shn)
shona (sn)
sichuan yi (ii)
sicilijski (scn)
sidamo (sid)
siksika (bla)
sindhi (sd)
singaleški (si)
sino-tibetski (sit)
siouan (sio)
sirijski (syr)
sjeverni ndebele (nd)
sjeverni sami (sma)
sjeverni sotho (nso)
sjevernofrizijski (frr)
skolt sami (sms)
slave (den)
slavenski (sla)
slovački (sk)
slovenski (sl)
sogdien (sog)
somalski (so)
songhai (son)
soninke (snk)
sranan tongo (srn)
srpski (sr)
srpsko-hrvatski (sh)
staroegipatski (egy)
staroengleski (ang)
staroetiopski (gez)
starofrancuski (fro)
starogrčki (grc)
staroirski (sga)
staronjemački, visoki (goh)
staronorveški (non)
staroperzijski (peo)
staroprovansalski (pro)
sukuma (suk)
sumerski (sux)
sundanski (su)
susu (sus)
svahili (sw)
svati (ss)
tagalog (tl)
tahićanski (ty)
tajik (tg)
tajlandski (th)
tajski (tai)
talijanski (it)
tamashek (tmh)
tamilski (ta)
tatarski (tt)
telugu (te)
temne (tem)
tereno (ter)
tetum (tet)
tibetanski (bo)
tigrinya (ti)
tigriški (tig)
tiv (tiv)
tlingit (tli)
tok pisin (tpi)
tokelaunski (tkl)
tonga (to)
tsimshian (tsi)
tsonga (ts)
tumbuka (tum)
tupi (tup)
turkmenski (tk)
turski (tr)
turski - otomanski (ota)
tuvaluanski (tvl)
tuvinian (tyv)
twi (tw)
tyap (kcg)
udmurtski (udm)
ugaritski (uga)
ugro-finski jezik (fiu)
uighur (ug)
ukrajinski (uk)
umbundu (umb)
umjetni jezik (art)
urdu (ur)
uzbečki (uz)
vai (vai)
valonski (wa)
velški (cy)
venda (ve)
vijetnamski (vi)
više jezika (mul)
volapük (vo)
votic (vot)
wakashan (wak)
walamo (wal)
waray (war)
washo (was)
wolof (wo)
xhosa (xh)
yao (yao)
yupik (ypk)
zande (znd)
zapotec (zap)
zazaki (zza)
zenaga (zen)
zhuang (za)
znakovni jezik (sgn)
zulu (zu)
zuni (zun)
čejenski (chy)
čeroki (chr)
čečenski (ce)
češki (cs)
škotski (sco)
škotski-galski (gd)
španjolski (es)
španjolski (latinoamerički) (es_419)
švedski (sv)
švicarski francuski (fr_CH)
švicarski njemački (gsw)
