Ադրբեջաներեն (az)
Ալբաներեն (sq)
Ակվիտաներեն (oc)
Անգլերեն (en)
Ասամերեն (as)
Արաբերեն (ar)
Աֆրիկանս (af)
Բասկերեն (eu)
Բելարուսերեն (be)
Բենգալերեն (bn)
Բիհարերեն (bh)
Բոսներեն (bs)
Բուլղարերեն (bg)
Բրետոներեն (br)
Գաելյան Շոտլանդերեն (gd)
Գալիսերեն (gl)
Գերմաներեն (de)
Գուարաներեն (gn)
Գուջարատերեն (gu)
Դանիերեն (da)
Եբրայերեն (he)
Զուլուսերեն (zu)
Էսպերանտո (eo)
Էստոներեն (et)
Էրիտրերեն (ti)
Թամիլերեն (ta)
Թայերեն (th)
Թուրքերեն (tr)
Թուրքմեներեն (tk)
Իդիշ (yi)
Ինդոնեզերեն (id)
Ինտերլինգ (ie)
Ինտերլինգուա (ia)
Իռլանդերեն (ga)
Իսլանդերեն (is)
Իսպաներեն (es)
Իտալերեն (it)
Լաոսերեն (lo)
Լատիներեն (la)
Լատվերեն (lv)
Լեհերեն (pl)
Լինգալա (ln)
Լիտվերեն (lt)
Խոշերեն (xh)
Խորվաթերեն (hr)
Կամբոջերեն (km)
Կաննադա (kn)
Կատալոներեն (ca)
Կերալերեն (ml)
Կլինգոն (tlh)
Կորեերեն (ko)
Հաբեշերեն (am)
Հայերէն (hy)
Հնդկերեն (hi)
Հոլանդերեն (nl)
Հունարեն (el)
Հունգարերեն (hu)
Ղրղզերեն (ky)
Ճապոներեն (ja)
Ճավայերեն (jv)
Մալայերեն (ms)
Մալթերեն (mt)
Մակեդոներեն (mk)
Մարաթի (mr)
Մոնղոլերեն (mn)
Նեպալերեն (ne)
Նորվեգերեն (no)
Նորվեգերեն (Նյունորսկ) (nn)
Շվեդերեն (sv)
Ուզբեկերեն (uz)
Ուկրաիներեն (uk)
Ույղուրերեն (ug)
Ուրդու (ur)
Չեխերեն (cs)
Չինարեն (zh)
Պարսկերեն (fa)
Պորտուգալերեն (pt)
Ռումիներեն (ro)
Ռուսերեն (ru)
Սանսկրիտերեն (sa)
Սեսոտո (st)
Սերբա-Խորվաթերեն (sh)
Սերբերեն (sr)
Սինդհի (sd)
Սինհալերեն (si)
Սլովակերեն (sk)
Սլովեներեն (sl)
Սոմալերեն (so)
Սուահիլի (sw)
Սունդաներեն (su)
Վալերեն (cy)
Վիետնամերեն (vi)
Վրացերեն (ka)
Տագալերեն (fil)
Տելուգու (te)
Տուի (tw)
Փաշտուներեն (ps)
Փենջաբերեն (pa)
Քրդերեն (ku)
Օրիսերեն (or)
Ֆարվերեն (fo)
Ֆիններեն (fi)
Ֆրանսերեն (fr)
Ֆրիսերեն (fy)
