Assamese (as)
Cambodiano (km)
Interlingue (ie)
Klingon (tlh)
Uyghur (ug)
afrikaans (af)
albanese (sq)
amharico (am)
anglese (en)
anglese (RU) (en_GB)
anglese (SUA) (en_US)
arabe (ar)
armeniano (hy)
azerbaidzhani (az)
basco (eu)
bengali (bn)
bielorusso (be)
bihari (bh)
bosniaco (bs)
breton (br)
bulgaro (bg)
catalano (ca)
checo (cs)
coreano (ko)
croato (hr)
danese (da)
espaniol (es)
esperanto (eo)
estoniano (et)
faroese (fo)
finnese (fi)
francese (fr)
frisiano (fy)
gallego (gl)
gallese (cy)
georgiano (ka)
germano (de)
greco (el)
guarani (gn)
gujarati (gu)
hebreo (he)
hindi (hi)
hungaro (hu)
indonesiano (id)
interlingua (ia)
irlandese (ga)
islandese (is)
italiano (it)
japonese (ja)
javanese (jv)
kannada (kn)
kirghizo (ky)
kurdo (ku)
laotiano (lo)
latino (la)
letton (lv)
lingala (ln)
lithuano (lt)
macedone (mk)
malay (ms)
malayalam (ml)
maltese (mt)
marathi (mr)
mongolico (mn)
nederlandese (nl)
nepalese (ne)
norvegiano (no)
norvegiano (nynorsk) (nn)
occitano (oc)
oriya (or)
pashto (ps)
persiano (fa)
polonese (pl)
portugese (pt)
punjabi (pa)
romaniano (ro)
russo (ru)
sanscrito (sa)
scoto gaelic (gd)
serbo (sr)
serbocroate (sh)
sesotho (st)
sindhi (sd)
sinhalese (si)
slovaco (sk)
sloveno (sl)
somali (so)
sundanese (su)
svedese (sv)
swahili (sw)
tagalog (fil)
tamil (ta)
telugu (te)
thai (th)
tigrinya (ti)
turco (tr)
turkmeno (tk)
twi (tw)
ukrainiano (uk)
urdu (ur)
uzbeco (uz)
vietnamese (vi)
xhosa (xh)
yiddish (yi)
zulu (zu)
