iso,name
ab,Abkhaz
ace,Aceh
ach,Acoli
ada,Adangme
ady,Adyghe
aa,Afar
afh,Afrihili
af,Afrikaans
afa,"Afro-Asiatik (Lainnya)"
ain,Ainu
ak,Akan
akk,Akkadien
sq,Albanian
ale,Aleut
alt,"Altai Selatan"
tut,"Altaic Lain"
am,Amharik
anp,Angika
ar,Arab
an,Aragon
arc,Aram
sam,"Aramaic Samaritan"
arp,Arapaho
arn,Araucan
arw,Arawak
hy,Armenia
rup,Aromanian
as,Assam
ast,Astur
cch,Atsam
map,Austronesia
av,Avarik
ae,Avestan
awa,Awadhi
ay,Aymara
az,Azerbaijan
alg,"Bahasa Algonquia"
cmc,"Bahasa Chamic"
id,"Bahasa Indonesia"
iro,"Bahasa Iroquoia"
sgn,"Bahasa Isyarat"
mis,"Bahasa Lain-lain"
mno,"Bahasa Manobo"
myn,"Bahasa Mayan"
mun,"Bahasa Munda"
nub,"Bahasa Nubia"
oc,"Bahasa Occit"
oto,"Bahasa Otomia"
pra,"Bahasa Prakrit"
sal,"Bahasa Salisha"
smi,"Bahasa Sami Lain"
wen,"Bahasa Serbia"
sio,"Bahasa Siouan"
und,"Bahasa Tidak Dikenal atau Tidak Valid"
tup,"Bahasa Tupi"
wak,"Bahasa Wakasha"
ypk,"Bahasa Yupik"
apa,"Bahasa-bahasa Apache"
ath,"Bahasa-bahasa Athapaska"
aus,"Bahasa-bahasa Australia"
bai,"Bahasa-bahasa Bamileke"
ban,Balin
bat,"Baltik (Lainnya)"
bal,Baluchi
bm,Bambara
bad,Banda
bnt,Bantu
bas,Basa
ba,Bashkir
eu,Basque
btk,Batak
mul,"Beberapa Bahasa"
bej,Beja
nl,Belanda
dum,"Belanda Menengah"
be,Belarusia
bem,Bemba
bn,Bengal
ber,Berber
bho,Bhojpuri
bh,Bihari
bik,Bikol
bin,Bini
bi,Bislama
byn,Blin
bs,Bosnia
bra,Braj
br,Breton
art,"Buatan (Lainnya)"
bug,Bugis
bg,Bulgaria
bua,Buriat
my,Burma
cad,Caddo
ca,Catalan
ceb,Cebuano
cs,Ceko
cel,"Celtic (Lainnya)"
chg,Chagatai
ch,Chamorro
ce,Chechen
chr,Cherokee
chy,Cheyenne
chb,Chibcha
chp,Chipewyan
cho,Choctaw
cu,"Church Slavic"
chk,Chuuke
cv,Chuvash
zh,Cina
zh_Hans,"Cina Sederhana"
zh_Hant,"Cina Tradisional"
kw,Cornish
cr,Cree
mus,Creek
cus,"Cushitic Lain"
dak,Dakota
dar,Dargwa
day,Dayak
del,Delaware
da,Denmark
din,Dinka
dv,Divehi
doi,Dogri
dgr,Dogrib
dra,"Dravidia Lain"
dua,Duala
dyu,Dyula
dz,Dzongkha
efi,Efik
eka,Ekajuk
elx,Elamite
myv,Erzya
eo,Esperanto
et,Estonian
ee,Ewe
ewo,Ewondo
fan,Fang
fat,Fanti
fo,Faro
fj,Fiji
fil,Filipina
phi,"Filipina (Lainnya)"
fi,Finlandia
fiu,"Finno - Ugria Lain"
nl_BE,Flemish
fon,Fon
fy,Frisi
frs,"Frisia Timur"
frr,"Frisia Utara"
fur,Friuli
ff,Fulah
gaa,Ga
gd,"Gaelik Skotlandia"
gl,Gallegan
lg,Ganda
gay,Gayo
gba,Gbaya
gez,Geez
ka,Georgian
gil,Gilbert
gon,Gondi
gor,Gorontalo
got,Gothik
grb,Grebo
gn,Guarani
gu,Gujarati
gwi,Gwich'in
hai,Haida
ht,Haiti
ha,Hausa
haw,Hawaii
hz,Herero
hil,Hiligaynon
him,Himachali
hi,Hindi
ho,"Hiri Motu"
hit,Hittite
hmn,Hmong
hu,Hungaria
hup,Hupa
iba,Iban
he,Ibrani
is,Icelandic
io,Ido
ig,Igbo
ijo,Ijo
ilo,Iloko
smn,"Inari Sami"
cai,"India Amerika Tengah (Lainnnya)"
sai,"Indian Amerika Selatan Lain"
nai,"Indian Amerika Utara Lain"
inc,"Indic Lain"
ine,"Indo-Eropa Lain"
en,Inggris
en_GB,"Inggris (British)"
en_US,"Inggris A.S."
en_AU,"Inggris Australia"
en_CA,"Inggris Kanada"
ang,"Inggris Kuno (kl.450-1100)"
enm,"Inggris, Abad Pertengahan (1100-1500)"
inh,Ingush
ia,Interlingua
ie,Interlingue
iu,Inuktitut
ik,Inupiaq
ira,"Iran Lain"
ga,Irlandia
mga,"Irlandia Abad Pertengahan (900-1200)"
sga,"Irlandia Lama"
it,Italian
ja,Japanese
chn,"Jargon Chinook"
jv,Jawa
de,Jerman
de_AT,"Jerman Austria"
goh,"Jerman Kuno (kl.750-1050)"
nds,"Jerman Rendah"
gsw,"Jerman Swiss"
de_CH,"Jerman Tinggi Swiss"
gmh,"Jerman, Abad Pertengahan (kl.1050-1500)"
gem,"Jermanik (Lainnya)"
kaj,Jju
jrb,Judeo-Arab
jpr,Judeo-Persia
kbd,Kabardian
kab,Kabyle
kac,Kachin
kl,Kalaallisut
xal,Kalmyk
kam,Kamba
kn,Kannada
kr,Kanuri
kaa,Kara-Kalpak
krc,Karachay-Balkar
krl,Karelian
kar,Karen
car,Karib
ks,Kashmir
csb,Kashubian
cau,"Kaukasia (Lainnya)"
kaw,Kawi
kk,Kazakh
kha,Khasi
km,Khmer
khi,"Khoisa Lain"
kho,Khotan
ki,Kikuyu
kmb,Kimbundu
rw,Kinyarwanda
ky,Kirghiz
