その他の混成語・混合語 (crp)
その他の言語 (mis)
アイスランド語 (is)
アイヌ語 (ain)
アイマラ語 (ay)
アイルランド語 (ga)
アカン語 (ak)
アサパスカン語族 (ath)
アストゥリアス語 (ast)
アゼルバイジャン語 (az)
アタパスカ語 (hup)
アダングメ語 (ada)
アチェー語 (ace)
アチョリ語 (ach)
アッカド語 (akk)
アッサム語 (as)
アディゲ語 (ady)
アパッチ語族 (apa)
アファル語 (aa)
アフリカーンス語 (af)
アフリヒリ語 (afh)
アブハズ語 (ab)
アムハラ語 (am)
アメリカ英語 (en_US)
アラウカン語 (arn)
アラゴン語 (an)
アラパホー語 (arp)
アラビア語 (ar)
アラム語 (arc)
アラワク語 (arw)
アルゴンキアン語族 (alg)
アルタイ諸語 (tut)
アルバニア語 (sq)
アルメニア語 (hy)
アルーマニア語 (rup)
アレウト語 (ale)
アワディー語 (awa)
アンギカ語 (anp)
アヴァル語 (av)
アヴェスタ語 (ae)
イギリス英語 (en_GB)
イジョー語 (ijo)
イタリア語 (it)
イディッシュ語 (yi)
イド語 (io)
イナリ・サーミ語 (smn)
イヌクウティトット語 (iu)
イヌピアック語 (ik)
イバン語 (iba)
イボ語 (ig)
イラン語 (ira)
イロカノ語 (ilo)
イロコイ語族 (iro)
イングシ語 (inh)
インターリングア語 (ia)
インターリング語 (ie)
インドネシア語 (id)
インド諸語 (inc)
ウイグル語 (ug)
ウェールズ語 (cy)
ウォロフ語 (wo)
ウガリト語 (uga)
ウクライナ語 (uk)
ウズベク語 (uz)
ウドムルト語 (udm)
ウルドゥー語 (ur)
ウンブンドゥ語 (umb)
エウェ語 (ee)
エウォンド語 (ewo)
エカジュク語 (eka)
エストニア語 (et)
エスペラント語 (eo)
エフィック語 (efi)
エラム語 (elx)
エルジャ語 (myv)
オスマントルコ語 (ota)
オセト語 (os)
オセージ語 (osa)
オック語 (oc)
オトミ語族 (oto)
オブジワ語 (oj)
オランダ語 (nl)
オリヤー語 (or)
オロモ語 (om)
オーストラリア語族 (aus)
オーストロネシア諸語 (map)
カウィ語 (kaw)
