iso,name
hr,ក្រូអាទៀន
tlh,ខ្លិងសុន
ti,ទីរិនយា
tw,ទ្វី
nn,ន័រវេ
ps,បាស្តូ
bs,ប៊ូស្នៀរ
br,ប្រីស្តុន
fil,ពីលីពីន
ru,ភាសាรัរូស្ស៉ី
ca,ភាសាកាតាឡាន
kk,ភាសាកាហ្សាក់ស្តង់់
kn,ភាសាកិណាដា
ko,ភាសាកូរ៉េ
qu,ភាសាកេទ្ជូអា
el,ភាសាក្រិច
km,ភាសាខ្មែរ
ky,ភាសាគៀរហ្គីស្តង់
xh,ភាសាឃសា
ku,ភាសាឃឺដ
zh,ភាសាចិន
za,ភាសាចួង
cs,ភាសាឆេក
ja,ភាសាជប៉ុន
da,ភាសាដាណឺម៉ាក
tg,ភាសាតាដហ្ស៉ីគីស្តង់
tt,ភាសាតាតារ
ta,ភាសាតាមីល
to,ភាសាតុងហ្គោ
te,ភាសាតេលូហ្គូ
th,ភាសាថៃ
bo,ភាសាទីបេ
tk,ភាសាទួគមេនីស្តង់
tr,ភាសាទួរគី
ne,ភាសានេប៉ាល់
no,ភាសាន័រវែស
bm,ភាសាបាម្បារា
fr,ភាសាបារាំង
eu,ភាសាបាស្កេ
bh,ភាសាបិហារ
bn,ភាសាបេន្កាលី
be,ភាសាបេឡារុស្ស
pl,ភាសាប៉ូឡូញ
bg,ភាសាប៊ុលហ្ការី
dz,ភាសាប៊ូតាន
pa,ភាសាពូនយ៉ាប៊ី
pt,ភាសាព័រទុយហ្កាល់
mg,ភាសាម៉ាដាហ្កាសការ
mr,ភាសាម៉ារាធី
ms,ភាសាម៉ាលេស៉ី
mt,ភាសាម៉ាល់តា
mk,ភាសាម៉ាសេដូនី
ml,ភាសាម៉ាឡាឡាយ៉ាន
mn,ភាសាម៉ុងហ្គោលី
mo,ភាសាម៉ុលដាវី
mi,ភាសាម៉ោរី
yo,ភាសាយរូបា
yi,ភាសាយីឌីហ្ស
jv,ភាសាយ៉ាវា
rn,ភាសារូន្ឌី
ro,ភាសារូម៉ានី
lt,ភាសាលីទុយអានី
vi,ភាសាវៀតណាម
sm,ភាសាសាមូអា
so,ភាសាសូម៉ាលី
sa,ភាសាសំស្ក្រឹត
sd,ភាសាស៉ីន្ដី
sv,ភាសាស៊ុយអែដ
sk,ភាសាស្លូវ៉ាគី
sl,ភាសាស្លូវ៉ានី
sw,ភាសាស្វាហ៉ីលី
hu,ភាសាហុងគ្រី
nl,ភាសាហុល្លង់
he,ភាសាហេប្រិ
hi,ភាសាហ៉ិនឌី
gl,ភាសាហ្កាលីស៉ី
gu,ភាសាហ្កុយ៉ារាទី
gn,ភាសាហ្កួរ៉ានី
ga,ភាសាហ្កែលិគ
gd,"ភាសាហ្កែលិគ [gd]"
fi,ភាសាហ្វាំងឡង់
ka,ភាសាហ្សកហ្ស៉ី
zu,ភាសាហ្ស៉ូលូ
lv,ភាសាឡាតវីយ៉ា
la,ភាសាឡាតំាង
lo,ភាសាឡាវ
en,ភាសាអង់គ្លេស
hy,ភាសាអារមេនី
ar,ភាសាអារ៉ាប់
an,ភាសាអារ៉ាហ្គោន
sq,ភាសាអាល់បានី
de,ភាសាអាល្លឺម៉ង់
ae,ភាសាអាវែស្តង់
az,ភាសាអាហ៊្សែរបែហ្សង់
aa,ភាសាអាហ្វារ
af,ភាសាអាហ្វ្រីកាអាន
ay,ភាសាអីម៉ារ៉ា
or,ភាសាអូរីយ៉ា
et,ភាសាអេស្តូនី
es,ភាសាអេស្ប៉ាញ
eo,ភាសាអេស្ពេរ៉ាន្ទោ
is,ភាសាអ៉ីស្លង់
it,ភាសាអ៊ីតាលី
uk,ភាសាអ៊ុយក្រែន
ur,ភាសាអ៊ូរ្ឌូ
uz,ភាសាអ៊ូហ្សបេគីស្តង់
id,ភាសាឥណ្ឌូនេស៊ី
su,ភាំសាស៊ូដង់
fa,ភឺសៀន
ln,លីនកាឡា
cy,វេល
si,សីនហាលិស
sh,សើបូក្រូទៀន
sr,សើបៀន
st,សេសូដូ
fy,ហ្រីសង់
fo,ហ្វារូស
fj,ហ្វ៉ីហ្ស៉ី
ia,អីនធើលីង
oc,អូសីតាន់
am,អំហារិក
