iso,name
ar,erebî
ja,japonî
ku,kurdî
en,îngilîzî
as,"ئا سسامی (زوبان)"
az,ئازه‌ربایجانی
sq,ئاڵبانی
de,ئاڵمانی
hy,"ئه رمه نی"
ie,"ئه نته ر لينگ (زوبان)"
af,ئه‌فریكای
am,ئه‌مهه‌رینجی
ug,ئويخووری
ur,ئۆردو‌و
or,ئۆرییا
uz,ئۆزبه‌كی
oc,ئۆسیتانی
uk,ئۆكراینی
it,ئیتالی
ga,ئیرله‌ندی
et,ئیستۆنی
is,ئیسله‌ندی
es,ئیسپانی
ia,ئینترلینگوی
eo,ئێسپیرانتۆ
id,ئێه‌ندونیزی
eu,باسكی
br,برێتونی
bn,به‌نگلادێشی
bs,بۆسنی
bg,بۆلگاری
bh,بیهاری
be,بێلاڕووسی
ta,تامیلی
fil,تاگالۆگی
th,تایله‌ندی
tk,تروكمانی
te,ته‌لۆگوی
tr,توركی
tw,توی
ti,تیگرینیای
jv,جاڤانی
da,دانماركی
zu,زولو
sa,سانسکريت
xh,سسوسا
sk,سلۆڤاكی
sl,سلۆڤێنی
sr,سه‌ربی
sw,سواهیلی
su,سودانی
sv,سویدی
sd,سيندی(زوبان)
so,سۆمالی
si,سینهه‌لی
sh,سێربۆكرواتی
st,سێسۆتۆ
fa,فارسی
fy,فریسی
fo,فه‌رئۆیی
fr,فه‌رانسی
fi,فینله‌ندی
ca,كاتالۆنی
hr,كرواتی
ky,كرگیزی
tlh,كلینگۆن
kn,كه‌نه‌دایی
ko,كۆری
la,لاتینی
lo,لاو‏ى
ln,لينگالا
lt,لیتوانی
lv,لێتۆنی
mr,ماراتی
mk,ماكێدۆنی
ml,مالایلام
ms,مالیزی
mt,ماڵتایی
mn,مه‌نگۆلی
no,نۆروێژی
ne,نێپالی
hu,"هه‌نگاری (مه‌جاری)"
nl,هۆڵه‌ندی
he,هیبرێ
hi,هیندی
cy,وێلزی
ps,په‌شتوو
pa,په‌نجابی
pt_BR,"پورتوگاڵی (برازیل)"
pt_PT,"پورتوگاڵی (پورتوگاڵ)"
pt,پۆرتۆگالی
pl,"پۆڵۆنیایی (له‌هستانی)"
cs,چه‌كی
ru,ڕووسی
ro,ڕۆمانی
vi,ڤیه‌تنامی
km,"کامبۆجی (زوبان)"
gl,گالیسی
gd,"گه‌لیكی سكۆتله‌ندی"
gu,گوجاراتی
gn,گووارانی
ka,گۆرجستانی
yi,یوددی
el,یۆنانی
