erebî (ar)
japonî (ja)
kurdî (ku)
îngilîzî (en)
ئا سسامی (زوبان) (as)
ئازه‌ربایجانی (az)
ئاڵبانی (sq)
ئاڵمانی (de)
ئه رمه نی (hy)
ئه نته ر لينگ (زوبان) (ie)
ئه‌فریكای (af)
ئه‌مهه‌رینجی (am)
ئويخووری (ug)
ئۆردو‌و (ur)
ئۆرییا (or)
ئۆزبه‌كی (uz)
ئۆسیتانی (oc)
ئۆكراینی (uk)
ئیتالی (it)
ئیرله‌ندی (ga)
ئیستۆنی (et)
ئیسله‌ندی (is)
ئیسپانی (es)
ئینترلینگوی (ia)
ئێسپیرانتۆ (eo)
ئێه‌ندونیزی (id)
باسكی (eu)
برێتونی (br)
به‌نگلادێشی (bn)
بۆسنی (bs)
بۆلگاری (bg)
بیهاری (bh)
بێلاڕووسی (be)
تامیلی (ta)
تاگالۆگی (fil)
تایله‌ندی (th)
تروكمانی (tk)
ته‌لۆگوی (te)
توركی (tr)
توی (tw)
تیگرینیای (ti)
جاڤانی (jv)
دانماركی (da)
زولو (zu)
سانسکريت (sa)
سسوسا (xh)
سلۆڤاكی (sk)
سلۆڤێنی (sl)
سه‌ربی (sr)
سواهیلی (sw)
سودانی (su)
سویدی (sv)
سيندی(زوبان) (sd)
سۆمالی (so)
سینهه‌لی (si)
سێربۆكرواتی (sh)
سێسۆتۆ (st)
فارسی (fa)
فریسی (fy)
فه‌رئۆیی (fo)
فه‌رانسی (fr)
فینله‌ندی (fi)
كاتالۆنی (ca)
كرواتی (hr)
كرگیزی (ky)
كلینگۆن (tlh)
كه‌نه‌دایی (kn)
كۆری (ko)
لاتینی (la)
لاو‏ى (lo)
لينگالا (ln)
لیتوانی (lt)
لێتۆنی (lv)
ماراتی (mr)
ماكێدۆنی (mk)
مالایلام (ml)
مالیزی (ms)
ماڵتایی (mt)
مه‌نگۆلی (mn)
نۆروێژی (no)
نێپالی (ne)
هه‌نگاری (مه‌جاری) (hu)
هۆڵه‌ندی (nl)
هیبرێ (he)
هیندی (hi)
وێلزی (cy)
په‌شتوو (ps)
په‌نجابی (pa)
پورتوگاڵی (برازیل) (pt_BR)
پورتوگاڵی (پورتوگاڵ) (pt_PT)
پۆرتۆگالی (pt)
پۆڵۆنیایی (له‌هستانی) (pl)
چه‌كی (cs)
ڕووسی (ru)
ڕۆمانی (ro)
ڤیه‌تنامی (vi)
کامبۆجی (زوبان) (km)
گالیسی (gl)
گه‌لیكی سكۆتله‌ندی (gd)
گوجاراتی (gu)
گووارانی (gn)
گۆرجستانی (ka)
یوددی (yi)
یۆنانی (el)
