Кыргыз (ky)
азербайжанча (az)
албанча (sq)
англисче (en)
арабча (ar)
африкаанча (af)
бангладешче (bn)
беларусча (be)
бихариче (bh)
болгарияча (bg)
боснияча (bs)
бретон (br)
венгрияча (hu)
вьетнамча (vi)
голландча (nl)
грекче (el)
грузинче (ka)
гуараш (gn)
гужаратча (gu)
датча (da)
еврей (yi)
еврейче (he)
жаванизче (jv)
индонезияча (id)
индусча (hi)
ирландча (ga)
исландча (is)
испанча (es)
италиянча (it)
каннадача (kn)
каталанча (ca)
клингончо (tlh)
корейче (ko)
курт (ku)
кытайча (zh)
латвияча (lv)
латынча (la)
литвача (lt)
македонияча (mk)
малайаламча (ml)
малайча (ms)
малтизче (mt)
маратиче (mr)
немисче (de)
непалча (ne)
норвегияча (nn)
норвежче (no)
озбекче (uz)
ория (or)
орусча (ru)
пашто (ps)
полякча (pl)
португалча (pt)
пунжабиче (pa)
румынияча (ro)
серб-хорват (sh)
сербче (sr)
сесото (st)
сингалача (si)
словакча (sk)
словенче (sl)
суахиличе (sw)
сунданча (su)
тагалча (fil)
тайча (th)
тамилче (ta)
тви (tw)
телугуча (te)
туркчо (tr)
түркмөн (tk)
украинче (uk)
урдуча (ur)
фарзча (fa)
финче (fi)
французча (fr)
хорватча (hr)
чех тили (cs)
шведче (sv)
эстончо (et)
япончо (ja)
