Sotho ya Sidi (st)
afrikánsi (af)
afríhili (afh)
akan (ak)
bambara (bm)
belarusi (be)
bengali (bn)
breton (br)
ciluba (lua)
indu-ya-kala (sa)
interlingua (ia)
interlingue (ie)
kanada (kn)
katalani (ca)
kibulgaria (bg)
kikɔ́ngɔ (kg)
kilatini (la)
kilingoni (tlh)
kirgizi (ky)
kiswahili (sw)
lialbania (sq)
lialemani (de)
liamariki (am)
liarabu (ar)
liarmenya (hy)
liasame (as)
liazerbayani (az)
libaske (eu)
libiyari (bh)
libosinia (bs)
lidanemark (da)
liestonia (et)
lifalamá (nl)
lifalansé (fr)
lifalansé (CA) (fr_CA)
lifarose (fo)
lifilandi (fi)
lifrisi (fy)
ligaeliki (gd)
ligalicia (gl)
ligreki (el)
liguzarati (gu)
ligwarani (gn)
lihindi (hi)
likambodia (km)
likorea (ko)
likroasia (hr)
likurdi (ku)
lilao (lo)
lilativa (lv)
limalasi (ms)
limalayalami (ml)
limalta (mt)
limarati (mr)
limasedonia (mk)
limongoli (mn)
lindonesi (id)
linepali (ne)
lingála (ln)
lingɛlɛ́sa (en)
lingɛlɛ́sa (CA) (en_CA)
linovezi (no)
linovezi-nynorsk (nn)
liosita (oc)
lipoloni (pl)
lipulutugɛ́si (pt)
lipulutugɛ́si (Brazil) (pt_BR)
lipunzabi (pa)
lipɛrsi (fa)
lirlande (ga)
lirumani (ro)
lirusi (ru)
liserbia (sr)
liserbokroata (sh)
lisinalɛ́si (si)
lisindi (sd)
lisipelanto (eo)
lislanda (is)
lisolovaki (sk)
lisoloveni (sl)
lisomali (so)
lispanyola (es)
lisundanɛ́si (su)
liswédwa (sv)
litagalog (fil)
litaliano (it)
litelegu (te)
litshɛki (cs)
lituani (lt)
liukrenia (uk)
liungaria (hu)
liurdu (ur)
liusibeki (uz)
livietnami (vi)
liwelesi (cy)
liyapani (ja)
liyuda (he)
lizava (jv)
lizorzi (ka)
lokótá eyébámí tɛ́ (und)
lunda (lun)
nkótá míngi (mul)
nkótá ya Bamileke (bai)
oriya (or)
pashto (ps)
sango (sg)
tamili (ta)
thai (th)
tigirinya (ti)
turk (tr)
turkmen (tk)
twi (tw)
uighur (ug)
xhosa (xh)
yiddish (yi)
zulu (zu)
