iso,name
tlh,ກລິງກອງ
kn,ກັນນາດາ
ca,ກາຕາລັງ
gl,ກາລິດ
km,ກຳປູເຈຍ
gu,ກູຊາຣາຕີ
gn,ກົວຣານີ
kl,ກຼີນແລນດິດ
el,ກເຣັກ
ks,ຄັດຊະມີລີ
kk,ຄາຊັກ
rw,ຄິນຍາວັນດາ
rn,ຄິລັນສີ
qu,ຄິວຊົວ
co,ຄໍຊິກ້າ
za,ຈວງ
zh,ຈີນ
jv,ຊວາ
sw,ຊວາຮີລີ
ka,ຊອກຊີ
ts,ຊອງກາ
su,ຊັນດານ
sm,ຊາມົວ
ss,ຊິສວາຕິ
zu,ຊູລູ
sv,ຊູແອັດ
he,ຍິວ
ja,ຍີ່ປຸ່ນ
tr,ຕວກກີ
tw,ຕວີ
tk,ຕວຽກເມນ
tl,ຕາກາລັອກ
fil,ຕາກາລ໊ອກ
tt,ຕາດ
ti,ຕີກຣິນຢາ
to,ທອງກ້າ
ta,ທະມິນ
tg,ທາຈິດ
bo,ທິເບດ
no,ນອກແວ
nn,"ນອກແວ (ນີນອກ)"
na,ນໍລູ
bs,ບອສນີ
eu,ບັສເກີ
ba,ບາສສີ
bi,ບິສລາມາ
bh,ບີຮາຣີ
bg,ບຸນກາຣີ
br,ບເຣີຕົງ
pt,ປອກຕຸຍການ
pt_BR,"ປອກຕຸຍການ (ບຣາຊີນ)"
pt_PT,"ປອກຕຸຍການ (ປອກຕຸຍການ)"
pa,ປັນຈາບ
ps,ປາສໂຕ
fr,ຝຣັ່ງ
my,ພະມ່າ
dz,ພູຖານີ
fy,ຟຣີຊຽນ
fo,ຟາໂຣ
fj,ຟິຈິ
mt,ມານຕາ
mr,ມາຣາທີ
mg,ມາລາກາຊິ
ml,ມາລາຢາລຳ
mk,ມາເຊໂດນີ
ms,ມາເລ
mn,ມົງໂກນ
yi,ຢິດດິສ
ru,ລັດເຊຍ
lv,ລັດເວຍ
lo,ລາວ
la,ລາແຕັງ
ln,ລິງກາລາ
lt,ລີທົວນີ
wo,ວູບ
gd,"ສະກັອດ ແກລິກ"
sk,ສະໂລວັກກີ
sl,ສະໂລວານີ
sa,ສັນສະກິດ
sg,ສັນໂຄ
si,ສິງຫານ
sd,ສິນທິ
vi,ຫວຽດນາມ
en,ອັງກິດ
af,ອັຟຣິກາ
as,ອັສສຳ
hy,ອາກເມນີ
sq,ອານບານີ
aa,ອາຟາ
ar,ອາຣັບ
az,ອາແຊກບາຍຊານ
am,ອຳຫາຣິກ
ie,ອິນເຕີລິງ
ia,ອິນເຕີລິງກາ
id,ອິນໂດເນເຊຍ
is,ອິສລັງ
it,ອີຕາລີ
ug,ອຸຍເຄີ
uz,ອຸດຊະເບັກກິດສະຖານ
ur,ອູຣະດູ
uk,ອູແກຣນ
oc,ອົກຊີຕານ
hu,ຮັງກາຣີ
hi,ຮິນດູ
ky,ເກຍກິສ
ko,ເກົາຫຼີ
ku,ເຄີດິສ
tn,ເຊຕະສະວານາ
cs,ເຊັກ
st,ເຊໂຊໂທ
de,ເຍຍລະມັນ
da,ເດັນມາກ
te,ເຕລູກູ
ne,ເນປານ
be,ເບລາລຸດຊີ
bn,ເບັງການ
fa,ເປີເຊຍ
mi,ເມົາລີ
rm,ເລໂຕ-ໂລແມນ
eo,ເອສເປຣັງໂຕ
et,ເອສໂຕນີ
sr,ແຊກບີ
sh,ແຊັກໂບ-ໂກຣແອັດ
fi,ແຟງລັງ
cy,ແວວ
ab,ແອບຄາເຊຍ
es,ແອສປາໂຍນ
hr,ໂກຣອາຊີ
xh,ໂຊຊາ
sn,ໂຊນາ
so,ໂຊມາລີ
pl,ໂປໂລຍ
mo,ໂມຄາເວຍ
yo,ໂຢລູບາ
ro,ໂຣມານີ
vo,ໂວລາພຸກ
ha,ໂອຊາ
or,ໂອຣີຢາ
om,ໂອໂລໂມ(ອາຟານ)
nl,ໂຮນລັງ
th,ໄທ
iu,ໄອນຸກຕິຕັກ
ik,ໄອນູປຽກ
ay,ໄອມາລາ
ga,ໄອແລນ
