iso,name
de_AT,"Austrijos vokiečių"
cai,"Centrinės Amerikos indėnų kalba"
es_ES,"Iberijos ispanų"
pt_PT,"Iberijos portugalų"
ira,Iraniečių
en_CA,"Kanados anglų"
fr_CA,"Kanados prancūzų"
es_419,"Lotynų Amerikos ispanų"
mh,"Maršalo salų"
nic,"Nigerio kordofanų kalba"
ssa,"Nilo Sacharos kalba"
nb,"Norvegijos bokmal"
zxx,"Nėra kalbinio turinio"
sai,"Pietų Amerikos indėnų kalba"
goh,"Senoji Aukštosios Vokietijos"
mga,"Vidurio Airijos"
enm,"Vidurio Anglijos"
frm,"Vidurio Prancūzijos"
dum,"Vidurio Vokietijos"
gmh,"Vidurio aukštosios Vokietijos"
ab,abchazų
ach,acoli
ada,adangmų
ady,adygėjų
aa,afarų
afh,afrihili
af,afrikanų
afa,"afroazijos kalba"
ay,aimarų
ain,ainų
ga,airių
akk,akadianų
ak,akanų
sq,albanų
ale,aleutų
alg,"algonkuanų kalba"
tut,"altaikų kalba"
am,amharų
anp,angikų
en,anglų
en_US,"anglų (amerikiečių)"
en_GB,"anglų (britų)"
en_AU,"anglų kalba (australija)"
apa,"apačių kalba"
ar,arabų
an,aragonesų
arc,aramaikų
arp,arapahų
arn,araukanų
arw,aravakų
hy,armėnų
rup,aromanių
as,asamų
ast,asturianų
ath,"athapaskanų kalba"
cch,atsamų
de_CH,"aukštoji Šveicarijos vokiečių"
aus,"australų kalba"
map,austronezų
awa,avadhi
av,avarikų
ae,avestų
az,azerbaidžaniečių
ace,ačinezų
ban,balinezų
be,baltarusių
bat,"baltų kalba"
bal,baluči
bm,bambarų
bai,"bamilekų kalba"
bad,bandų
bnt,bantų
eu,baskų
bas,basų
btk,batakų
bho,baučpuri
ba,baškirų
cu,"bažnytinė slavų"
bem,bembų
bn,bengalų
ber,berberų
day,"bidayuh kalba"
bh,biharų
bik,bikolų
bin,bini
my,birmiečių
bi,bislama
byn,blin
bs,bosnių
bra,brajų
br,bretonų
bug,buginezų
bg,bulgarų
bua,buriatų
bej,bėjų
ceb,cebuanų
za,chuang
dak,dakotų
da,danų
dar,dargva
del,delavero
din,dinkų
art,"dirbtinė kalba"
dv,divehi
doi,dogri
dgr,dogribų
dra,"dravidų kalba"
dua,dualų
dyu,dyulų
efi,efik
eka,ekajuk
elx,elamitų
nqo,enko
myv,erzyjų
eo,esperanto
et,estų
ee,eve
ewo,evondo
fan,fang
fat,fanti
fo,"farerų kalba"
fj,fidžio
phi,"filipinų kalba"
phn,finikiečių
fiu,"finougrų kalba"
nl_BE,flamandų
fon,fon
fur,frulan
ff,fulahų
gaa,ga
gay,gajo
gl,galisų
lg,ganda
gba,gbaja
gem,"germanų kalba"
gon,gondi
gor,gorontalo
got,gotų
el,graikų
grb,grebo
ka,gruzinų
gu,gudžaratų
gn,gvaranių
gwi,gvičino
gez,gyz
hai,haido
ht,haičio
ha,hausų
haw,havajų
he,hebrajų
hz,herero
hil,hiligainon
him,himačali
hi,hindi
ho,"hiri motu"
hit,hititų
hmn,hmong
hup,hupa
iba,iban
io,ido
ig,igbo
ijo,ijo
ilo,iloko
smn,"inari sami"
ine,"indoeuropiečių kalba"
id,indoneziečių
inc,"indų kalba"
inh,ingušų
ie,interkalba
ia,interlingva
iu,inukitut
ik,inupiak
iro,"irako kalba"
is,islandų
es,ispanų
it,italų
sah,jakutų
yao,jao
yap,japezų
ja,japonų
jv,javiečių
yi,jidiš
yo,joruba
kaj,ju
jrb,"judėjų arabų"
jpr,"judėjų persų"
ypk,"jupik kalba"
kbd,kabardinų
kab,kabilo
cad,kado
kl,kalalisut
xal,kalmukų
kam,kamba
kn,kanadų
kok,kankani
kr,kanuri
kaa,karakalpakų
krc,"karačiajų balkarijos"
krl,karelų
kar,karenų
car,karibų
kha,kasi
ca,katalonų
cau,"kaukaziečių kalba"
kaw,kavi
kk,kazachų
kac,kačin
ks,kašmyro
csb,kašubų
mul,"kelios kalbos"
cel,"keltų kalba"
qu,kečujų
km,khmerų
ki,kikui
kmb,kimbundu
rw,kinjarvanda
zh,kinų
zh_Hans,"kinų supaprastinta"
zh_Hant,"kinų tradicinė"
ky,kirgizų
gil,kiribati
nwc,"klasikinė nevari"
syc,"klasikinė siriečių"
khi,"koisan kalba"
kv,komi
kg,kongo
cop,koptų
kw,kornų
kfo,koro
co,korsikiečių
ko,korėjiečių
kos,kosreanų
xh,kosų
kho,kotanezų
kpe,kpele
crp,"kreolų ir pidžinų"
cpe,"kreolų ir pidžinų kalba pagal anglų"
cpp,"kreolų ir pidžinų kalba pagal portugalų"
cpf,"kreolų ir pidžinų kalba pagal prancūzų"
hr,kroatų
kro,"kru kalba"
cr,kry
mus,krykų
crh,"krymo turkų"
kj,kuaniama
kum,kumik
ku,kurdų
kru,kuruk
kut,kutenai
cus,"kušitik kalba"
lad,ladino
lam,lamba
lah,landa
lo,laosiečių
lv,latvių
pl,lenkų
lez,lezginų
lt,lietuvių
li,limburgiš
ln,lingala
lb,liuksemburgiečių
jbo,loiban
la,lotynų
loz,lozi
lu,"luba katanga"
lua,"luba lula"
lui,luiseno
smj,"lule sami"
lun,lunda
luo,luo
lus,lušai
mad,madurezų
mag,magahi
mai,maithili
myn,majanų
mak,makasaro
mk,makedonų
mg,malagasijos
ml,malajalių
ms,malajiečių
mt,maltiečių
mdr,mandar
man,mandingo
mni,manipuri
gv,manks
mno,"manobo kalba"
mnc,manču
mi,maorių
mr,maratų
chm,mari
mwr,marvari
mas,masajų
men,mende
mic,mikmak
min,minankabu
mwl,mirandezų
moh,mohok
mdf,mokša
mo,moldavų
mkh,"mon khmer kalba"
lol,mongo
mn,mongolų
mos,mosi
mun,"munda kalba"
nah,nahuatlų
nn,"naujoji norvegų"
na,naurų
nv,navajų
ng,ndongų
nap,neapoliečių
und,"nenustatyta kalba"
ne,nepalų
new,nevari
nym,niamvezi
ny,nianja
nyn,niankole
nia,nias
tog,"niasa tongos"
nyo,nioro
niu,niuenų
nog,nogų
non,norsu
no,norvegų
nub,"nubijos kalba"
nzi,nzima
oj,ojibva
nl,olandų
or,orijų
om,oromo
osa,osage
os,osetinų
ota,"osmanų turkų"
oto,"otomanų kalba"
pal,pahlavi
pau,palau
pi,pali
pam,pampanga
pa,pandžabų
pag,pangasinan
pap,papiemento
paa,"papuasų kalba"
fa,persų
alt,"pietų altajaus"
nr,"pietų ndebele"
sma,"pietų sami"
st,"pietų sesuto"
pon,ponapean
pt,portugalų
pt_BR,"portugalų (Brazilijos)"
pra,"prakrit kalba"
fr,prancūzų
oc,provansalų
ps,puštūnų
raj,radžastano
rm,"raeto romanų"
rap,rapanui
rar,rarotongan
roa,"romanų kalba"
rom,"romų kalba"
ro,rumunų
rn,rundi
ru,rusų
frs,"rytų fryzų"
root,rūt
sal,"sališan kalba"
sam,"samarėjų aramių"
sem,"samitų kalba"
smi,"samių kalba"
sm,samoa
sad,sandavi
sg,sango
sa,sanskritas
sat,santali
sc,sardiniečių
sas,sasak
sel,selkup
sga,"senoji airių"
ang,"senoji anglų"
peo,"senoji persų"
fro,"senoji prancūzų"
egy,"senovės egiptiečių"
grc,"senovės graikų"
pro,"senovės provansalų"
sr,serbų
sh,serbų-kroatų
srr,sererų
scn,siciliečių
sid,sidamo
bla,siksika
sd,sindų
si,sinhalų
sit,"sino tibeto kalba"
sio,"siouan kalba"
syr,sirų
ii,"sičuan ji"
sms,"skolt sami"
den,slave
sla,"slavų kalba"
sk,slovakų
sl,slovėnų
sog,sogdien
so,somalių
son,songhai
snk,soninke
wen,"sorbų kalba"
srn,"sranan tongo"
suk,sukuma
su,sundų
fi,suomių
sus,susu
sw,svahili
ss,svati
dz,svazilando
tg,tadžikų
tl,tagalogų
fil,tagalų
ty,taitiečių
th,tajų
tai,"tajų kalba"
tmh,tamašek
ta,tamilų
te,telugų
ter,tereno
tet,tetum
bo,tibetiečių
ti,tigrajų
tig,tigre
tem,timne
tiv,tiv
tli,tlingit
tpi,"tok pisin"
tkl,tokelau
to,tonga
tt,totorių
tsi,tsimšian
ts,tsonga
tn,tsvana
tum,tumbuka
tup,"tupi kalba"
tk,turkmėnų
tr,turkų
tvl,tuvalu
tyv,tuvių
tw,tvi
kcg,tyap
udm,udmurtų
uga,ugaritic
ug,uigūrų
uk,ukrainiečių
umb,umbundu
ur,urdų
uz,uzbekų
vai,vai
fy,"vakarų fryzų"
wak,"vakašan kalba"
wal,valamo
wa,valonų
cy,valų
war,varai
was,vašo
ve,venda
hu,vengrų
vi,vietnamiečių
hsb,"viršutinė sorbian"
de,vokiečių
vo,volapiuk
wo,volof
vot,votik
znd,zande
zap,zapotekų
zza,zaza
zen,zenaga
zu,zulų
zun,zuni
chg,čagatų
chy,čajenų
cmc,"čamikų kalba"
ch,čamorų
cs,čekų
chr,čerokių
ce,čečėnų
chb,čibča
chn,"činuk žargonas"
chp,čipvėjų
cv,čiuvašų
cho,čoktau
chk,čukesų
mis,"įvairios kalbos"
nai,"Šiaurės Amerikos indėnų kalba"
fr_CH,"Šveicarijos prancūzų"
gsw,"Šveicarijos vokiečių"
shn,šan
frr,"šiaurinių fryzų"
se,"šiaurinių samių"
nd,"šiaurės ndebelų"
nso,"šiaurės sothų"
sco,škotų
gd,"škotų (gėlų)"
sn,šona
sux,šumerų
sv,švedų
dsb,"Žemutinės Serbijos"
nds,"Žemutinės Vokietijos"
sgn,"ženklų kalba"
zbl,"„Bliss“ simbolių kalba"
tlh,"„žvaigždžių kelionių“"
