iso,name
de_AT,"Austrijas vācu"
en_AU,"Austrālijas angļu"
zxx,"Bez lingvistiska satura"
pt_BR,"Brazīlijas portugāļu"
cai,"Centrālamerikas indiāņu valodas"
sai,"Dienvidamerikas indiāņu"
smn,"Inari sāmu"
en_CA,"Kanādas angļu"
fr_CA,"Kanādas franču"
crh,"Krimas tatāru"
smj,"Luleo sāmu"
tog,"Njasas tongu valoda"
ssa,"Nīlas-Sahāras valodas"
sam,"Samārijas aramiešu"
ii,"Sičuaņas ji"
nai,"Ziemeļamerikas indiāņu valodas"
ab,abhāzu
ada,adangmu
ady,adigu
afh,afrihili
af,afrikandu
afa,"afroaziātu valodas"
aa,afāru
ay,aimaru
ain,ainu
akk,akadiešu
ak,akanu
sq,albāņu
ale,aleutu
alg,"algonkinu valodas"
tut,"altajiešu valodas"
am,amharu
anp,angika
cpe,"angliskās kreoliskās valodas un pidžinvalodas"
en,angļu
en_US,"angļu (ASV)"
apa,"apaču valodas"
an,aragoniešu
arc,aramiešu
arp,arapahu
arn,araukāņu
arw,aravaku
hy,armēņu
rup,aromūnu
ar,arābu
as,asamiešu
ast,astūriešu
ath,"atapasku valodas"
hsb,augšsorbu
map,"austronēziešu valoda"
frs,austrumfrīzu
aus,"austrāliešu valodas"
awa,avadhu
ae,avesta
av,avāru
az,azerbaidžāņu
ace,ačinu
ach,ačolu
ban,baliešu
be,baltkrievu
bat,"baltu valodas"
bm,bambaru
bai,"bamileku valoda"
bad,bandu
bnt,bantu
eu,basku
bas,basu
btk,bataku
cu,baznīcslāvu
ba,baškīru
bej,bedžu
bal,beludžu
bem,bembu
bn,bengāļu
ber,berberu
bho,bhodžpūru
bh,biharu
bik,bikolu
byn,bilinu
bin,binu
my,birmiešu
bi,bišlamā
bs,bosniešu
bra,bradžiešu
br,bretoņu
bug,bugu
bg,bulgāru
bua,burjatu
tsi,cimšiāņu
ts,congu
tn,cvanu
day,dajaku
dak,dakotu
dar,dargu
mis,"dažādas valodas"
del,delavēru
alt,dienvidaltajiešu
nr,dienvidndebelu
sma,dienvidsāmu
din,dinku
dyu,diūlu
dgr,dogribu
doi,dogru
dra,"dravīdu valodas"
dua,dualu
dz,dzongke
da,dāņu
chg,džagatajs
za,džuanu
efi,efiku
eka,ekadžuku
elx,elamiešu
myv,erzju
eo,esperanto
ewo,evondu
ee,evu
fan,fangu
fat,fantu
phn,feniķiešu
fj,fidžiešu
fil,filipīniešu
phi,"filipīniešu valoda"
nl_BE,flāmu
fon,fonu
cpf,"franciskās kreoliskās valodas un pidžinvalodas"
fr,franču
fur,friūlu
ff,fulu
fo,fēru
gaa,ga
gay,gajo
gl,galisiešu
lg,gandu
gba,gbaju
gon,"gondu valodas"
gor,gorontalu
got,gotu
grb,grebo
kl,grenlandiešu
el,grieķu
ka,gruzīnu
gu,gudžaratu
gn,gvaranu
gd,gēlu
gez,gēzu
hai,haidu
ht,haitiešu
ha,hausu
haw,havajiešu
hz,hereru
hit,hetu
hil,hiligainonu
him,himačali
hi,hindi
ho,hirimotu
hmn,hmongu
nl,holandiešu
hr,horvātu
khi,"hosjanu valodas"
kho,hotaniešu
hup,hupu
iba,ibanu
pt_PT,"ibēriešu portugāļu"
es_ES,"ibēriešu spāņu"
io,ido
ijo,idžbu
et,igauņu
ig,igbo
ilo,iloku
ine,"indoeiropiešu valodas"
id,indonēziešu
inc,"indoāriešu valodas"
inh,ingušu
ia,interlingva
ie,interlingve
ik,inupiaku
iu,inuītu
chr,irokēzu
iro,"irokēzu valodas"
ira,"irāņu valodas"
it,itāliešu
he,ivrits
sah,jakutu
yao,jao
yap,japiešu
ja,japāņu
nn,jaunnorvēģu
jv,javiešu
yi,jidišs
ypk,"jopiku valodas"
yo,jorubu
jrb,jūdarābu
jpr,jūdpersiešu
kbd,kabardiešu
kab,kabilu
cad,kadu
xal,kalmiku
kam,kambu
kn,kannadu
kr,kanuru
kaa,karakalpaku
krc,"karačaju un balkāru"
kar,karenu
krl,karēļu
car,karību
ca,katalāņu
cau,"kaukāziešu valodas"
kk,kazahu
kac,kačinu
ks,kašmiriešu
csb,kašubu
qu,kečvu
kha,khasu
km,khmeru
xh,khosu
ki,kikuju
kmb,kimbundu
ky,kirgīzu
gil,kiribatiešu
rw,kiņaruanda
nwc,"klasiskā nevaru"
syc,"klasiskā sīriešu"
tlh,klingoņu
kv,komiešu
kg,kongu
kok,konkanu
cop,koptu
ko,korejiešu
kw,korniešu
co,korsikāņu
kfo,koru
kos,kosrājiešu
kpe,kpellu
crp,"kreoliskās valodas un pidžinvalodas"
ru,krievu
cr,krī
mus,krīku
kro,krū
kum,kumiku
ku,kurdu
kru,kuruhu
kut,kutenaju
gwi,kučinu
cus,"kušītu valodas"
kj,kvaņamu
kaw,kāvi
lad,ladino
lam,lambu
lah,landu
lo,laosiešu
lv,latviešu
la,latīņu
dsb,lejassorbu
nds,lejasvācu
lez,lezgīnu
lt,lietuviešu
li,limburgiešu
ln,lingala
loz,lozu
jbo,ložbans
lu,lubakatanga
lua,lubalulva
lui,luisenu
lb,luksemburgiešu
lun,lundu
luo,luo
lus,lušeju
mad,maduriešu
mag,magahiešu
myn,"maiju valodas"
mai,maithili
mak,makasaru
mg,malagasu
ml,malajalu
ms,malajiešu
dv,maldīviešu
mt,maltiešu
mdr,mandaru
man,mandingu
mnc,mandžūru
mni,manipūru
mno,"manobu valodas"
mi,maoru
mr,maratu
chm,mariešu
mwr,marvaru
mas,masaju
mk,maķedoniešu
men,mendu
gv,meniešu
mic,mikmaku
min,minangkabavu
mwl,mirandiešu
moh,mohauku
mdf,mokšu
mo,moldāvu
mn,mongoļu
lol,mongu
mkh,"monkhmeru valodas"
mos,mosu
mun,"mundu valoda"
art,"mākslīgās valodas"
mh,māršaliešu
nqo,n-ko
na,nauruiešu
nv,navahu
nah,navatlu
ng,ndongu
nap,neapoliešu
ne,nepāliešu
new,nevaru
und,"nezināma vai nederīga valoda"
nic,"nigēriešu-kordofāņu valodas"
niu,niuāņu
nia,njasu
nog,nogaju
no,norvēģu
nb,"norvēģu bukmols"
nzi,nzemu
nub,"nūbiešu valodas"
oj,odžibvu
oc,oksitāņu
or,orisiešu
om,oromu
os,osetīnu
oto,"otomu valoda"
pau,palaviešu
pam,pampanganu
pa,pandžabu
pag,pangasinanu
pap,papjamento
paa,"papuasu valoda"
pal,pehlevi
fa,persiešu
pon,ponapiešu
cpp,"portugāliskās kreoliskās valodas un pidžinvalodas"
pt,portugāļu
pl,poļu
pra,"prākrita valoda"
ps,puštu
pi,pāli
raj,radžastāņu
rap,rapanuju
rar,rarotongiešu
rm,retoromāņu
fy,rietumfrīzu
roa,"romāņu valoda"
ro,rumāņu
rn,rundu
root,sakne
sal,"sališu valodas"
sm,samoāņu
sad,sandavu
