Afrikaans (af)
Albania (sq)
Amharic (am)
Arab (ar)
Armenia (hy)
Assam (as)
Azerbaijan (az)
Bahasa Melayu (ms)
Basque (eu)
Belanda (nl)
Belarus (be)
Benggala (bn)
Bihari (bh)
Bosnia (bs)
Brittany (br)
Bulgaria (bg)
Catalonia (ca)
Croat (hr)
Czech (cs)
Denmark (da)
Esperanto (eo)
Estonia (et)
Faroese (fo)
Finland (fi)
Frisian (fy)
Galicia (gl)
Georgia (ka)
Greek (el)
Guarani (gn)
Gujerat (gu)
Hindi (hi)
Hungary (hu)
Ibrani (he)
Iceland (is)
Indonesia (id)
Inggeris (en)
Interlingua (ia)
Interlingue (ie)
Ireland (ga)
Itali (it)
Jawa (jv)
Jepun (ja)
Jerman (de)
Kannada (kn)
Khmer (km)
Klingon (tlh)
Korea (ko)
Kurdish (ku)
Kyrgyz (ky)
Laos (lo)
Latin (la)
Latvia (lv)
Lingala (ln)
Lithuania (lt)
Macedonia (mk)
Malayalam (ml)
Malta (mt)
Marathi (mr)
Mongolia (mn)
Nepal (ne)
Norway (no)
Nynorsk Norway (nn)
Occitan (oc)
Oriya (or)
Parsi (fa)
Pashto (ps)
Perancis (fr)
Poland (pl)
Portugis (pt)
Portugis Iberia (pt_PT)
Punjabi (pa)
Romania (ro)
Rusia (ru)
Sanskrit (sa)
Scots Gaelic (gd)
Sepanyol (es)
Serbia (sr)
SerboCroatia (sh)
Sesoto (st)
Sindhi (sd)
Sinhala (si)
Slovak (sk)
Slovenia (sl)
Somali (so)
Sunda (su)
Swahili (sw)
Sweden (sv)
Tagalog (fil)
Tamil (ta)
Telugu (te)
Thai (th)
Tigrinya (ti)
Turki (tr)
Turkmen (tk)
Twi (tw)
Uighur (ug)
Ukraine (uk)
Urdu (ur)
Uzbek (uz)
Vietnam (vi)
Wales (cy)
Xhosa (xh)
Yahudi (yi)
Zulu (zu)
