iso,name
ab,abkhasisk
ace,achinesisk
ach,acoli
ada,adangme
ady,adyghe
aa,afar
afh,afrihili
af,afrikaans
afa,"afroasiatisk språk"
ain,ainu
ak,akan
akk,akkadisk
sq,albansk
ale,aleutisk
alg,"algonkinsk språk"
tut,"altaisk språk"
en_US,"amerikansk engelsk"
am,amharisk
anp,angika
mis,"annet språk"
apa,apachespråk
ar,arabisk
an,aragonsk
arc,arameisk
arp,arapaho
arn,araukansk
arw,arawak
hy,armensk
rup,aromansk
az,aserbajdsjansk
as,assamisk
ast,asturisk
ath,"athapaskansk språk"
cch,atsam
en_AU,"australsk engelsk"
aus,"australsk språk"
map,austronesisk
av,avarisk
ae,avestisk
awa,awadhi
ay,aymara
ban,balinesisk
bat,"baltisk språk"
bal,baluchi
bm,bambara
bai,"bamilekisk språk"
bad,banda
bnt,bantu
bas,basa
ba,basjkirsk
eu,baskisk
btk,batak
bej,beja
bem,bemba
bn,bengali
ber,berbisk
bho,bhojpuri
bh,bihari
bik,bikol
bin,bini
bi,bislama
byn,blin
zbl,blissymboler
bs,bosnisk
bra,braj
pt_BR,"brasiliansk portugisisk"
br,bretonsk
en_GB,"britisk engelsk"
bug,buginesisk
bg,bulgarsk
bua,buriat
my,burmesisk
cad,caddo
en_CA,"canadisk engelsk"
fr_CA,"canadisk fransk"
ceb,cebuansk
chg,chagatai
ch,chamorro
chr,cherokee
chy,cheyenne
chb,chibcha
chn,chinook
chp,chipewiansk
cho,choctaw
chk,chuukesisk
cr,cree
mus,creek
dak,dakota
da,dansk
dar,dargwa
day,dayak
del,delaware
din,dinka
dv,divehi
doi,dogri
dgr,dogrib
dra,"dravidisk språk"
dua,duala
dyu,dyula
dz,dzongkha
efi,efik
eka,ekajuk
elx,elamittisk
smn,enaresamisk
en,engelsk
cpe,"engelskbasert kreol- eller pidginspråk"
myv,erzya
eo,esperanto
et,estisk
ee,ewe
ewo,ewondo
fan,fang
fat,fanti
fj,fijiansk
fil,filippinsk
phi,"filippinsk språk"
fi,finsk
fiu,"finsk-ugrisk språk"
nl_BE,flamsk
mul,"flere språk"
fon,fon
zh_Hans,"forenklet kinesisk"
fr,fransk
cpf,"franskbasert kreol- eller pidginspråk"
fur,friuliansk
ff,fulani
fo,færøysk
phn,fønikisk
gaa,ga
gl,galisisk
egy,gammelegyptisk
ang,gammelengelsk
fro,gammelfransk
grc,gammelgresk
goh,gammelhøytysk
sga,gammelirsk
non,gammelnorsk
peo,gammelpersisk
pro,gammelprovençalsk
lg,ganda
gay,gayo
gba,gbaya
ka,georgisk
gem,"germansk språk"
gez,ges
gon,gondi
gor,gorontalo
got,gotisk
grb,grebo
el,gresk
kl,grønlandsk
gn,guarani
gu,gujarati
gwi,gwichin
hai,haida
ht,haitisk
ha,hausa
haw,hawaiisk
he,hebraisk
hz,herero
hit,hettittisk
hil,hiligaynon
him,himachali
hi,hindi
ho,"hiri motu"
hmn,hmong
hup,hupa
be,hviterussisk
hsb,høysorbisk
iba,iban
pt_PT,"iberisk portugisisk"
es_ES,"iberisk spansk"
ig,ibo
io,ido
ijo,ijo
ilo,iloko
inc,"indisk språk"
ine,"indoeuropeisk språk"
id,indonesisk
inh,ingusjisk
ia,interlingua
ie,interlingue
iu,inuktitut
ik,inupiak
ira,iransk
iro,"irokansk språk"
ga,irsk
is,islandsk
it,italiensk
sah,jakutsk
ja,japansk
jv,javanesisk
yi,jiddisk
kaj,jju
yo,joruba
ypk,"jupisk språk"
jrb,jødearabisk
jpr,jødepersisk
kbd,kabardisk
kab,kabylsk
kac,kachin
xal,kalmyk
kam,kamba
cmc,"kamisk språk"
kn,kannada
kr,kanuri
krc,karachay-balkar
kaa,karakalpakisk
krl,karelsk
kar,karensk
car,karibisk
kk,kasakhisk
ks,kasjmiri
csb,kasjubisk
ca,katalansk
cau,"kaukasisk språk"
kaw,kawi
cel,"keltisk språk"
kha,khasi
km,khmer
khi,khoisanspråk
kho,khotanesisk
kg,kikongo
ki,kikuyu
kmb,kimbundu
zh,kinesisk
rw,kinjarwanda
ky,kirgisisk
gil,kiribatisk
cu,kirkeslavisk
nwc,"klassisk newari"
syc,"klassisk syrisk"
tlh,klingon
kv,komi
kok,konkani
cop,koptisk
ko,koreansk
kw,kornisk
kfo,koro
co,korsikansk
kos,kosraeansk
kpe,kpelle
crp,"kreol- eller pidginspråk"
crh,krimtatarisk
hr,kroatisk
kro,kru
kj,kuanyama
kum,kumyk
art,"kunstig språk"
ku,kurdisk
kru,kurukh
cus,"kusjitisk språk"
kut,kutenai
lad,ladinsk
lah,lahnda
lam,lamba
lo,laotisk
la,latin
es_419,"latinamerikansk spansk"
lv,latvisk
dsb,lavsorbisk
nds,lavtysk
lez,lezghian
li,limburgisk
ln,lingala
lt,litauisk
jbo,lojban
loz,lozi
lu,luba-katanga
lua,luba-lulua
lui,luiseno
smj,lulesamisk
lun,lunda
luo,luo
lus,lushai
lb,luxemburgsk
mg,madagassisk
mad,maduresisk
mag,magahi
mai,maithili
mak,makasar
mk,makedonsk
ml,malayalam
ms,malayisk
mt,maltesisk
mdr,mandar
man,mandingo
mnc,mandsju
mni,manipuri
mno,manobospråk
gv,manx
mi,maori
mr,marathi
chm,mari
mh,marshallesisk
mwr,marwari
mas,masai
myn,mayaspråk
enm,mellomengelsk
frm,mellomfransk
gmh,mellomhøytysk
mga,mellomirsk
dum,mellomnederlandsk
men,mende
mic,micmac
min,minangkabau
mwl,mirandesisk
moh,mohawk
mdf,moksha
mo,moldavisk
mkh,mon-khmerspråk
lol,mongo
mn,mongolsk
mos,mossi
mun,mundaspråk
nah,nahuatl
nap,napolitansk
na,nauru
nv,navajo
ng,ndonga
nl,nederlandsk
ne,nepalsk
new,newari
nia,nias
nic,"niger-kordofiansk språk"
ssa,nilo-saharaspråk
niu,niueansk
nqo,nkå
nog,nogai
nd,nord-ndebele
nso,nord-sotho
nai,"nordamerikansk indiansk språk"
frr,nordfrisisk
se,nordsamisk
no,norsk
nb,"norsk bokmål"
nn,"norsk nynorsk"
nub,"nubisk språk"
nym,nyamwezi
ny,nyanja
nyn,nyankole
tog,nyasa-tongansk
nyo,nyoro
nzi,nzima
oj,ojibwa
oc,oksitansk
or,oriya
om,oromo
osa,osage
os,ossetisk
oto,"otomisk språk"
ota,"ottomansk tyrkisk"
pal,pahlavi
pau,palauisk
pi,pali
pam,pampanga
pag,pangasinan
pa,panjabi
pap,papiamento
paa,"papuisk språk"
ps,pashto
fa,persisk
pl,polsk
pon,ponapisk
pt,portugisisk
cpp,"portugisiskbasert kreol- eller pidginspråk"
pra,prakritspråk
qu,quechua
raj,rajasthani
rap,rapanui
rar,rarotongansk
rm,retoromansk
rom,romani
roa,"romansk språk"
root,rot
ro,rumensk
rn,rundi
ru,russisk
sal,"salishansk språk"
sam,"samaritansk arameisk"
smi,"samisk språk"
sm,samoansk
sad,sandawe
sg,sango
sa,sanskrit
sat,santali
sc,sardinsk
sas,sasak
sel,selkupisk
sem,"semittisk språk"
cai,"sentralamerikansk indiansk språk"
sr,serbisk
sh,serbokroatisk
srr,serer
tn,setswana
shn,shan
sn,shona
ii,sichuan-yi
scn,siciliansk
sid,sidamo
bla,siksika
sd,sindhi
si,singalesisk
sit,"sino-tibetansk språk"
sio,siouxspråk
sms,skoltesamisk
sco,skotsk
gd,"skotsk gælisk"
den,slavisk
sla,"slavisk språk"
sk,slovakisk
sl,slovensk
sog,sogdisk
so,somali
son,songhai
snk,soninke
wen,"sorbisk språk"
es,spansk
srn,"sranan tongo"
suk,sukuma
sux,sumerisk
su,sundanesisk
sus,susu
gsw,sveitsertysk
fr_CH,"sveitsisk fransk"
de_CH,"sveitsisk høytysk"
sv,svensk
sw,swahili
ss,swati
syr,syrisk
nr,sør-ndebele
st,sør-sotho
alt,søraltaisk
sai,"søramerikansk indiansk språk"
sma,sørsamisk
tg,tadsjikisk
tl,tagalog
ty,tahitisk
tai,taispråk
tmh,tamasjek
ta,tamil
tt,tatarisk
sgn,tegnspråk
te,telugu
tem,temne
ter,tereno
tet,tetum
th,thai
bo,tibetansk
ti,tigrinja
tig,tigré
tiv,tiv
tli,tlingit
tpi,"tok pisin"
tkl,tokelau
to,tongansk
zh_Hant,"tradisjonell kinesisk"
tsi,tsimshian
cs,tsjekkisk
ce,tsjetsjensk
cv,tsjuvansk
ts,tsonga
tum,tumbuka
tup,tupispråk
tk,turkmensk
tvl,tuvalu
tyv,tuvinisk
tw,twi
kcg,tyap
tr,tyrkisk
de,tysk
udm,udmurt
uga,ugaritisk
ug,uigurisk
und,"ukjent eller ugyldig språk"
uk,ukrainsk
umb,umbundu
hu,ungarsk
ur,urdu
uz,usbekisk
zxx,"uten språklig innhold"
vai,vai
wa,vallonsk
ve,venda
fy,vestfrisisk
vi,vietnamesisk
vo,volapyk
vot,votisk
wak,"wakasjansk språk"
wal,walamo
cy,walisisk
war,waray
was,washo
wo,wolof
xh,xhosa
yao,yao
yap,yapesisk
znd,zande
zap,zapotec
zza,zaza
zen,zenaga
za,zhuang
zu,zulu
zun,zuni
de_AT,"østerriksk tysk"
frs,østfrisisk
