Bislama (bi)
Gwichʼin (gwi)
abchaski (ab)
aceh (ace)
aczoli (ach)
adangme (ada)
adygejski (ady)
afar (aa)
afrihili (afh)
afrikaans (af)
afro-azjatycki (afa)
ajmara (ay)
ajnu (ain)
akadyjski (akk)
akan (ak)
albański (sq)
aleucki (ale)
amharski (am)
angielski (en)
angielski (USA) (en_US)
angielski kreolski lub pidżin (cpe)
angika (anp)
arabski (ar)
aragoński (an)
aramejski (arc)
arapaho (arp)
araukański (arn)
arawak (arw)
arumuński (rup)
asamski (as)
asturyjski (ast)
atsam (cch)
austriacki niemiecki (de_AT)
austronezyjski (map)
awadhi (awa)
awarski (av)
awestyjski (ae)
azande (znd)
azerski (az)
ałtajski (tut)
balijski (ban)
bambara (bm)
bantu (bnt)
basa (bas)
baskijski (eu)
baszkirski (ba)
batak (btk)
bałtycki (bat)
bedża (bej)
beludżi (bal)
bemba (bem)
bengalski (bn)
berberski (ber)
bhodźpuri (bho)
białoruski (be)
biharski (bh)
bikol (bik)
bini (bin)
birmański (my)
blin (byn)
bliss (zbl)
bośniacki (bs)
bradź (bra)
brak treści o charakterze lingwistycznym (zxx)
brazylyjski portugalski (pt_BR)
bretoński (br)
brytyjski angielski (en_GB)
bugiński (bug)
buriacki (bua)
bułgarski (bg)
cebuano (ceb)
celtycki (cel)
chamorro (ch)
chipewyan (chp)
chiński (zh)
chiński (tradycyjny) (zh_Hant)
chiński (uproszczony) (zh_Hans)
chińsko-tybetański (sit)
choctaw (cho)
chorwacki (hr)
chotański (kho)
creek (mus)
cygański (rom)
czagatajski (chg)
czam (cmc)
czeczeński (ce)
czeski (cs)
czibcza (chb)
czirokezki (chr)
czuang (za)
czuwaski (cv)
dajak (day)
dakota (dak)
dargwijski (dar)
delaware (del)
dinka (din)
dogri (doi)
dogrib (dgr)
dolnosaksoński (nds)
dolnołużycki (dsb)
drawidyjski (dra)
duala (dua)
duński (da)
dyula (dyu)
dzongkha (dz)
efik (efi)
ekajuk (eka)
elamicki (elx)
erzya (myv)
esperanto (eo)
estoński (et)
ewe (ee)
ewondo (ewo)
fang (fan)
fanti (fat)
farerski (fo)
fenicki (phn)
fidżijski (fj)
filipino (fil)
filipiński (phi)
fiński (fi)
flamandzki (Belgia) (nl_BE)
fon (fon)
francuski (fr)
francuski kreolski lub pidżin (cpf)
friulijski (fur)
fryzyjski (fy)
fryzyjski wschodni (frs)
fulani (ff)
ga (gaa)
galisyjski (gl)
ganda (lg)
gayo (gay)
gbaya (gba)
germański (gem)
gilbertański (gil)
gocki (got)
gondi (gon)
gorontalo (gor)
grebo (grb)
grecki (el)
grenlandzki (kl)
gruziński (ka)
guarani (gn)
gudźaracki (gu)
gyyz (gez)
górnołużycki (hsb)
haida (hai)
haitański (ht)
hausa (ha)
hawajski (haw)
hebrajski (he)
herero (hz)
hetycki (hit)
hiligajnon (hil)
himachali (him)
hindi (hi)
hiri motu (ho)
hiszpański (es)
hiszpański (Ameryka Łacińska) (es_419)
hmongijski (hmn)
hupa (hup)
ibanag (iba)
ido (io)
igbo (ig)
ijo (ijo)
ilokano (ilo)
indoaryjski (inc)
indoeuropejski (ine)
indonezyjski (id)
inguski (inh)
inny język (mis)
interlingua (ia)
interlingue (ie)
inuktitut (iu)
inupiak (ik)
irański (ira)
irlandzki (ga)
irokeski (iro)
islandzki (is)
jakucki (sah)
japoński (ja)
japski (yap)
jawajski (jv)
jidysz (yi)
jju (kaj)
joruba (yo)
judeoarabski (jrb)
judeoperski (jpr)
jupik (ypk)
język Apaczów (apa)
język Atapasków (ath)
język Czejenów (chy)
język Indian południowoamerykańskich (sai)
język Indian północnoamerykańskich (nai)
język Indian środkowoamerykańskich (cai)
język Majów (myn)
język australijski (aus)
język bamileke (bai)
język banda (bad)
język rdzenny (root)
języki algonkin (alg)
kabardyjski (kbd)
kabylski (kab)
kaczin (kac)
kaddo (cad)
kamba (kam)
kanadyjski angielski (en_CA)
kanadyjski francuski (fr_CA)
kannada (kn)
kanuri (kr)
karaczajsko-bałkarski (krc)
karakałpacki (kaa)
karelski (krl)
kareński (kar)
karibi (car)
kaszmirski (ks)
kaszubski (csb)
kataloński (ca)
kaukaski (cau)
kawi (kaw)
kazachski (kk)
kałmucki (xal)
keczua (qu)
khasi (kha)
khmerski (km)
khoisan (khi)
khosa (xh)
kikuju (ki)
kimbundu (kmb)
kinya-ruanda (rw)
kirgiski (ky)
klingoński (tlh)
komi (kv)
kongo (kg)
konkani (kok)
koptyjski (cop)
koreański (ko)
kornijski (kw)
koro (kfo)
korsykański (co)
kosrae (kos)
kpelle (kpe)
kreolski lub pidżin (crp)
kri (cr)
kru (kro)
krymski turecki (crh)
kumycki (kum)
kurdyjski (ku)
kurukh (kru)
kuszycki (cus)
kutenai (kut)
kwanyama (kj)
ladyński (lad)
lahnda (lah)
lamba (lam)
laotański (lo)
lapoński (smi)
lapoński Inari (smn)
lapoński Lule (smj)
lapoński Skolt (sms)
lapoński południowy (sma)
lapoński północny (se)
lezgijski (lez)
limburgijski (li)
lingala (ln)
litewski (lt)
lojban (jbo)
lozi (loz)
luba-katanga (lu)
luba-lulua (lua)
luiseno (lui)
luksemburski (lb)
lunda (lun)
luo (luo)
lushai (lus)
macedoński (mk)
madurajski (mad)
magahi (mag)
maithili (mai)
makasar (mak)
malajalam (ml)
malajski (ms)
malediwski (dv)
malgaski (mg)
maltański (mt)
manchu (mnc)
mandar (mdr)
mandingo (man)
manipuryjski (mni)
manobo (mno)
manx (gv)
maoryjski (mi)
marathi (mr)
marshall (mh)
marwari (mwr)
maryjski (chm)
masajski (mas)
mende (men)
micmac (mic)
migowy (sgn)
minangkabu (min)
mirandese (mwl)
mohawk (moh)
moksha (mdf)
mon-khmer (mkh)
mongo (lol)
mongolski (mn)
mossi (mos)
mołdawski (mo)
mundajski (mun)
nahuatl (nah)
nauru (na)
nawaho (nv)
ndebele południowy (nr)
ndebele północny (nd)
ndonga (ng)
neapolitański (nap)
nepalski (ne)
newarski (new)
newarski klasyczny (nwc)
niamwezi (nym)
nias (nia)
niderlandzki (nl)
niemiecki (de)
nieznany lub niepoprawny język (und)
nigrokordofański (nic)
nilosaharyjski (ssa)
niue (niu)
njandża (ny)
nogajski (nog)
norweski (no)
norweski Bokmål (nb)
norweski Nynorsk (nn)
nubijski (nub)
nyankole (nyn)
nyoro (nyo)
nzema (nzi)
n’ko (nqo)
odżibwa (oj)
orija (or)
ormiański (hy)
oromski (om)
osage (osa)
osetyjski (os)
osmańsko-turecki (ota)
otomi (oto)
pahlavi (pal)
palau (pau)
palijski (pi)
pampango (pam)
pangasino (pag)
papiamento (pap)
papuaski (paa)
paszto (ps)
pendżabski (pa)
perski (fa)
polski (pl)
ponpejski (pon)
portugalski (pt)
portugalski kreolski lub pidżin (cpp)
południowoałtajski (alt)
prakryty (pra)
prowansalski (oc)
północnofryzyjski (frr)
radźasthani (raj)
rapanui (rap)
