آسا نا جبة (ie)
أذربائجاني (az)
أيسلېنډي (is)
ائيرلېنډي (ga)
اردو (ur)
ارمني (hy)
ازبکي (uz)
اسمائى ژبه (as)
اسپرانتو (eo)
افريکاني (af)
الباني (sq)
الماني (de)
امهاري (am)
انټرلنګوا (ia)
انډونېشيايي (id)
انګلیسي (en)
اوريا (or)
اويگور (ug)
اوکرانايي (uk)
اوکسيټاني (oc)
ایټالوي (it)
باسکي (eu)
برېتون (br)
بلغاري (bg)
بلوڅي (bal)
بنګالي (bn)
بوسني (bs)
بيهاري (bh)
بېلاروسي (be)
تاتار (tt)
تاجک (tg)
تامل (ta)
تايلېنډي (th)
ترکمني (tk)
ترکي (tr)
توی (tw)
تيګريني (ti)
تګالوګ (fil)
تېليګو (te)
جاوايې (jv)
جاپانی (ja)
جورجيائي (ka)
حبشي (et)
خوسا (xh)
روسي (ru)
روماني (ro)
زولو (zu)
سرب-کروشيايي (sh)
سربيائي (sr)
سلوواني (sl)
سلوواکي (sk)
سندهي (sd)
سنسکریټ (sa)
سواهېلي (sw)
سومالي (so)
سوډاني (su)
سویډنی (sv)
سيسوتو (st)
سينهالي (si)
سکاټلېنډي ګېلک (gd)
عبري (he)
عربي (ar)
فارسي (fa)
فاروئې (fo)
فرانسوي (fr)
فريزي (fy)
فینلنډي (fi)
لاتیني (la)
لويتين (lo)
ليتواني (lt)
لېټواني (lv)
مالايالم (ml)
مالټايي (mt)
مراټهي (mr)
مغولي (mn)
مقدوني (mk)
ملایا (ms)
ملغاسي (mg)
ناروېئي (نائنورسک) (nn)
ناروېئې (no)
نېپالي (ne)
هالېنډي (nl)
هسپانوي (es)
هند و اروپایي (ine)
هندي (hi)
هنګري (hu)
ويلشي (cy)
وېتنامي (vi)
يديش (yi)
پرتګالي (پرتګال) (pt_PT)
پرتگال (برازيل) (pt_BR)
پنجابي (pa)
پورتګالي (pt)
پولنډي (pl)
پښتو (ps)
چیني (zh)
چېک (cs)
ډېنش (da)
کردي (ku)
کروواتي (hr)
کرګيز (ky)
کلينګاني (tlh)
کمبوډيايې يا د کمبوډيا (km)
کنأډه (kn)
کوريائي (ko)
کټلاني (ca)
ګجراتي (gu)
ګلېشيايي (gl)
ګوراني (gn)
یوناني (el)
