Icyalubaniya (sq)
Icyarabu (ar)
Icyasamizi (as)
Icyesipanyolo (es)
Icyesiperanto (eo)
Icyesitoniya (et)
Icyongereza (en)
Igiceke (cs)
Igifaransa (fr)
Igifinilande (fi)
Igifiriziyani (fy)
Igiheburayo (he)
Igihindi (hi)
Igihongiriya (hu)
Igikambodiya (km)
Igikanada (kn)
Igikatalani (ca)
Igikoreya (ko)
Igikorowasiya (hr)
Igipolone (pl)
Igiporutugali (pt)
Igipunjabi (pa)
Igisansikiri (sa)
Igiseribe (sr)
Igisilande (is)
Igisilovaki (sk)
Igisindi (sd)
Igisomali (so)
Igisuweduwa (sv)
Igiswahili (sw)
Igitaliyani (it)
Igitamili (ta)
Igitayi (th)
Igitelugu (te)
Igiturukiya (tr)
Ikibasiki (eu)
Ikibelarusiya (be)
Ikibengali (bn)
Ikidage (de)
Ikidaninwa (da)
Ikigalisiya (gl)
Ikigaluwa (cy)
Ikigaluwa cy'Igisweduwa (gd)
Ikigereki (el)
Ikilatini (la)
Ikilawotiyani (lo)
Ikilituwaniya (lt)
Ikimalayalami (ml)
Ikimalayi (ms)
Ikimaliteze (mt)
Ikimarati (mr)
Ikimasedoniyani (mk)
Ikimongoli (mn)
Ikinepali (ne)
Ikinerilande (nl)
Ikinoruveji (no)
Ikinyafilipine (fil)
Ikinyafurikaneri (af)
Ikinyaletoviyani (lv)
Ikinyarumaniya (ro)
Ikinyarumeniya (hy)
Ikinyasiloveniya (sl)
Ikinyaviyetinamu (vi)
Ikinyayukereni (uk)
Ikinyendoziya (id)
Ikirilandi (ga)
Ikirusiya (ru)
Ikiwiguri (ug)
Ikiyapani (ja)
Ilingala (ln)
Impashito (ps)
Inkerigizi (ky)
Inyaguwarani (gn)
Inyamuhariki (am)
Inyatigirinya (ti)
Inyazeribayijani (az)
Inyebihari (bh)
Inyebiritoni (br)
Inyebosiniya (bs)
Inyefaroyizi (fo)
Inyegujarati (gu)
Inyehawusa (xh)
Inyejava (jv)
Inyejeworujiya (ka)
Inyekilingoni (tlh)
Inyekuridishi (ku)
Inyenoruveji (Nyonorusiki) (nn)
Inyeperisi (fa)
Inyeporutigali (Brezili) (pt_BR)
Inyeporutigali (Igiporutigali) (pt_PT)
Inyeseribiya na Korowasiya (sh)
Inyesesoto (st)
Inyesimpaleze (si)
Inyesudani (su)
Inyeturukimeni (tk)
Inyetuwi (tw)
Inyeyidishi (yi)
Inyeyurudu (ur)
Inyeyuzubeki (uz)
Inyezulu (zu)
Inyogusitani (oc)
Inyoriya (or)
Uruhuzandimi (ie)
Urunyabuligariya (bg)
Ururimi Gahuzamiryango (ia)
