acehgiella (ace)
afrikánsagiella (af)
albánagiella (sq)
ang (ang)
apa (apa)
aragoniagiella (an)
armeenagiella (hy)
arábagiella (ar)
asturiagiella (ast)
be (be)
bengalgiella (bn)
bosniagiella (bs)
bretonagiella (br)
bulgáriagiella (bg)
corsicagiella (co)
cs (cs)
da (da)
de (de)
el (el)
en (en)
ersagiella (myv)
es (es)
et (et)
fi (fi)
fiu (fiu)
fo (fo)
fr (fr)
gem (gem)
gujaratagiella (gu)
gárjilgiella (krl)
hindigiella (hi)
hollánddagiella (nl)
iirragiella (ga)
is (is)
itáliagiella (it)
japánagiella (ja)
katalánagiella (ca)
kelttalaš gielat (cel)
kiinnágiella (zh)
komigiella (kv)
kornagiella (kw)
kroátiagiella (hr)
liettuvagiella (lt)
luxemburggagiella (lb)
láhtengiella (la)
látviagiella (lv)
makedoniagiella (mk)
manksgiella (gv)
marigiella (chm)
mokšagiella (mdf)
nb (nb)
nn (nn)
no (no)
oarjifriisagiella (fy)
oksitánagiella (oc)
persijagiella (fa)
polskkagiella (pl)
portugálagiella (pt)
retorománagiella (rm)
románalaš gielat (roa)
romániagiella (ro)
ru (ru)
sardigiella (sc)
se (se)
selkupagiella (sel)
serbiagiella (sr)
sisiliagiella (scn)
slovenagiella (sl)
slovákiagiella (sk)
sma (sma)
smi (smi)
smj (smj)
smn (smn)
sms (sms)
sorbigiella (wen)
sv (sv)
udmurtagiella (udm)
ukrainagiella (uk)
vallonagiella (wa)
