iso,name
ace,acehgiella
af,afrikánsagiella
sq,albánagiella
smn,anárašgiella
apa,"apacheš giella"
an,aragoniagiella
hy,armeenagiella
ar,arábagiella
ast,asturiagiella
bn,bengalgiella
ang,"boares eaŋgalasgiella"
bs,bosniagiella
br,bretonagiella
bg,bulgáriagiella
co,corsicagiella
se,davvisámegiella
de,duiskkagiella
da,dánskkagiella
no,dárogiella
en,eaŋgalsgiella
myv,ersagiella
et,esttegiella
fo,fearagiella
fiu,"fenno-ugrálaš giella"
fr,fránskkagiella
gem,"germánalaš gielat"
nb,girjedárogiella
el,greikkagiella
gu,gujaratagiella
krl,gárjilgiella
hi,hindigiella
nl,hollánddagiella
ga,iirragiella
is,islánddagiella
it,itáliagiella
ja,japánagiella
smj,julevsámegiella
ca,katalánagiella
cel,"kelttalaš gielat"
zh,kiinnágiella
kv,komigiella
kw,kornagiella
hr,kroátiagiella
lt,liettuvagiella
sma,lullisámegiella
lb,luxemburggagiella
la,láhtengiella
lv,látviagiella
mk,makedoniagiella
gv,manksgiella
chm,marigiella
mdf,mokšagiella
sms,nuortalašgiella
fy,oarjifriisagiella
oc,oksitánagiella
nn,ođđadárogiella
fa,persijagiella
pl,polskkagiella
pt,portugálagiella
rm,retorománagiella
roa,"románalaš gielat"
ro,romániagiella
ru,ruoššagiella
sv,ruoŧagiella
sc,sardigiella
sel,selkupagiella
sr,serbiagiella
scn,sisiliagiella
sl,slovenagiella
sk,slovákiagiella
wen,sorbigiella
es,spánskkagiella
fi,suomagiella
smi,sámegielat
udm,udmurtagiella
uk,ukrainagiella
wa,vallonagiella
be,vilges-ruoššagiella
cs,čeahkagiella
