acehgiella (ace)
afrikánsagiella (af)
albánagiella (sq)
anárašgiella (smn)
apacheš giella (apa)
aragoniagiella (an)
armeenagiella (hy)
arábagiella (ar)
asturiagiella (ast)
bengalgiella (bn)
boares eaŋgalasgiella (ang)
bosniagiella (bs)
bretonagiella (br)
bulgáriagiella (bg)
corsicagiella (co)
davvisámegiella (se)
duiskkagiella (de)
dánskkagiella (da)
dárogiella (no)
eaŋgalsgiella (en)
ersagiella (myv)
esttegiella (et)
fearagiella (fo)
fenno-ugrálaš giella (fiu)
fránskkagiella (fr)
germánalaš gielat (gem)
girjedárogiella (nb)
greikkagiella (el)
gujaratagiella (gu)
gárjilgiella (krl)
hindigiella (hi)
hollánddagiella (nl)
iirragiella (ga)
islánddagiella (is)
itáliagiella (it)
japánagiella (ja)
julevsámegiella (smj)
katalánagiella (ca)
kelttalaš gielat (cel)
kiinnágiella (zh)
komigiella (kv)
kornagiella (kw)
kroátiagiella (hr)
liettuvagiella (lt)
lullisámegiella (sma)
luxemburggagiella (lb)
láhtengiella (la)
látviagiella (lv)
makedoniagiella (mk)
manksgiella (gv)
marigiella (chm)
mokšagiella (mdf)
nuortalašgiella (sms)
oarjifriisagiella (fy)
oksitánagiella (oc)
ođđadárogiella (nn)
persijagiella (fa)
polskkagiella (pl)
portugálagiella (pt)
retorománagiella (rm)
románalaš gielat (roa)
romániagiella (ro)
ruoššagiella (ru)
ruoŧagiella (sv)
sardigiella (sc)
selkupagiella (sel)
serbiagiella (sr)
sisiliagiella (scn)
slovenagiella (sl)
slovákiagiella (sk)
sorbigiella (wen)
spánskkagiella (es)
suomagiella (fi)
sámegielat (smi)
udmurtagiella (udm)
ukrainagiella (uk)
vallonagiella (wa)
vilges-ruoššagiella (be)
čeahkagiella (cs)
