iso,name
ab,Abkazijski
ada,Adangmejski
ady,Adigejski
aa,Afarski
afh,Afrihili
af,Afrikanerski
afa,Afro-azijatski
ain,Ainu
ay,Ajmara
akk,Akadijski
ak,Akan
ach,Akoli
sq,Albanski
alg,"Algonkvijanski jezik"
ale,Aljut
tut,"Altaički jezik"
am,Amharski
anp,Angika
apa,"Apački jezik"
an,Aragonežanski
arp,Arapaho
ar,Arapski
arw,Aravak
arc,Armajski
arn,Arokanijski
rup,Aromanijski
as,Asemijski
ast,Asturijski
ath,Atapaskan
cch,Atsam
en_AU,"Australijski engleski"
aus,"Australijski jezik"
de_AT,"Austrijski nemački"
map,Austronežanski
awa,Avadhi
av,Avarski
ae,Avestanski
az,Azerbejdžanski
ace,Ačineski
ban,Balinezijski
bat,"Baltički jezik"
bal,Baluči
bm,Bambara
bai,Bamileke
bad,Banda
bnt,Bantu
bas,Basa
eu,Baskijski
btk,Batak
ba,Baškir
bej,Beja
be,Beloruski
bem,Bemba
bn,Bengalski
ber,Berber
zxx,"Bez lingvističkog sadržaja"
bh,Biharski
bik,Bikol
bin,Bini
bi,Bislama
byn,Blin
zbl,Blisimboli
bho,Bojpuri
bs,Bosanski
bra,Braj
pt_BR,"Brazilski portugalski"
br,Bretonski
en_GB,"Britanski engleski"
bg,Bugarski
bug,Buginežanskii
bua,Buriat
my,Burmanski
ceb,Cebuano
day,Dajaški
dak,Dakota
da,Danski
dar,Dargva
del,Delaver
din,Dinka
dv,Divehijski
doi,Dogri
dgr,Dogrib
dra,"Dravidijski jezik"
dua,Duala
gez,Džiz
dz,Džonga
efi,Efikski
eka,Ekajuk
elx,Elamitski
en,Engleski
en_US,"Engleski (SAD)"
myv,Erzija
eo,Esperanto
et,Estonski
ee,Eve
ewo,Evondo
fan,Fang
fat,Fanti
fo,Farski
phn,Feničanski
fj,Fidžijski
fil,Filipinski
phi,"Filipinski jezik"
fi,Finski
nl_BE,Flamanski
fon,Fon
fr,Francuski
fur,Friulijski
fy,Frizijski
ff,Fulah
gaa,Ga
gay,Gajo
gl,Galski
lg,Ganda
gba,Gbaja
gem,"Germanski jezik"
gil,Gilbertški
gon,Gondi
hsb,"Gornji sorbijski"
gor,Gorontalo
got,Gotski
grb,Grebo
ka,Gruzijski
el,Grčki
gu,Gudžarati
gn,Gvarani
gwi,Gvich'in
hai,Haida
ht,Haićanski
ha,Hausa
haw,Havajski
he,Hebrejski
hz,Herero
hil,Hiligajnon
him,Himačali
hi,Hindi
ho,"Hiri Motu"
hit,Hitite
hmn,Hmong
nl,Holandski
hr,Hrvatski
hup,Hupa
iba,Iban
pt_PT,"Iberijski portugalski"
es_ES,"Iberijski španski"
io,Ido
ig,Igbo
ijo,Ijo
ilo,Iloko
smn,"Inari sami"
inc,Indik
ine,"Indo-evropski jezik"
id,Indonezijski
inh,Ingušetski
ia,Interlingva
ie,Interlingve
iu,Inuktitut
ik,Inupiak
ira,"Iranski jezik"
iro,Irokvojanski
ga,Irski
is,Islandski
frs,"Istočni frizijski"
it,Italijanski
sah,Jakut
yao,Jao
ja,Japanski
yap,Japeški
jv,Javanski
hy,Jermenski
cai,"Jezik centralno-američkih Indijanaca"
sai,"Jezik južno-američkih Indijanaca"
nai,"Jezik severno-američkih Indijanaca"
sgn,"Jezik znakova"
yi,Jidiš
yo,Jorubanski
jrb,Judeo-arapski
jpr,Judeo-persijski
ypk,Jupik
alt,"Južni altai"
nr,"Južni ndebele"
sma,"Južni sami"
kbd,Kabardijski
kab,Kabile
cad,Kado
kl,Kalalisutski
xal,Kalmik
kam,Kamba
kn,Kanada
en_CA,"Kanadski engleski"
fr_CA,"Kanadski francuski"
kr,Kanuri
kaa,Kara-kalpaški
krc,Karačaj-balkar
krl,Karelijski
kar,Karenski
car,Karipski
kha,Kasi
ca,Katalonski
kaw,Kavi
cau,Kavkaski
kac,Kačin
ks,Kašmiri
csb,Kašubijanski
cel,"Keltski jezik"
xh,Khosa
ki,Kikuju
kmb,Kimbundu
zh,Kineski
zh_Hans,"Kineski (pojednostavljen)"
zh_Hant,"Kineski (tradicionalni)"
rw,Kinjarvanda
ky,Kirgiski
nwc,"Klasični nevari"
syc,"Klasični sirijski"
tlh,Klingonski
km,Kmerski
khi,"Koisanski jezik"
kv,Komi
kg,Kongo
kok,Konkani
cop,Koptski
ko,Korejski
kw,Korniški
kfo,Koro
co,Korzikanski
kos,Kosreanski
kho,Kotanizijski
kk,Kozački
kpe,Kpele
cpp,"Kreolski ili pidžin baziran na portugalskom"
cpe,"Kreolski ili pidžin zasnovan na engleskom"
cpf,"Kreolski ili pidžin zasnovan na francuskom"
cr,Kri
crh,"Krimeanski turski"
mus,Kriški
kro,Kru
kj,Kuanjama
kum,Kumik
ku,Kurdski
kru,Kurukh
kut,Kutenai
cus,"Kušitički jezik"
qu,Kvenča
lad,Ladino
lam,Lamba
lah,Landa
lo,Laoški
es_419,"Latino-američki španski"
la,Latinski
lv,Letonski
lez,Lezgian
li,Limburgiš
ln,Lingala
lt,Litvanski
jbo,Lojban
loz,Lozi
lu,Luba-katanga
lua,Luba-lulua
lui,Luiseno
lb,Luksemburški
smj,"Lule sami"
lun,Lunda
luo,Luo
lus,Lušai
mad,Madureški
mag,Magahi
moh,Mahavski
mai,Maitili
myn,"Majanski jezik"
mak,Makasar
mk,Makedonski
mg,Malagazijski
ml,Malajalam
ms,Malajski
mdr,Mandar
man,Mandingo
mni,Manipuri
gv,Manks
mno,"Manobo jezik"
mnc,Manču
mi,Maorski
mr,Marati
chm,Mari
mwr,Marvari
mh,Maršalski
mas,Masai
hu,Mađarski
mt,Melteški
men,Mende
mic,Mikmak
min,Minangkabau
mwl,Mirandeški
mdf,Mokša
mo,Moldavski
mkh,"Mon-kmerski jezik"
lol,Mongo
mn,Mongolski
mos,Mosi
mun,"Munda jezik"
nah,Nahuatl
na,Nauru
nv,Navaho
ng,Ndonga
nap,Neapolitanski
de,Nemački
ne,Nepalski
und,"Nepoznat ili nevažeći jezik"
new,Nevari
nia,Nias
nic,"Niger-kordofanijski jezik"
ssa,"Nilo-saharski jezik"
dsb,"Niski Sorbijanski"
nds,"Niski nemački"
niu,Niuean
nym,Njamvezi
ny,Njanja
nyn,Njankole
tog,"Njasa tonga"
nyo,Njoro
nog,Nogai
no,Norveški
nb,"Norveški bokmål"
nn,"Norveški njorsk"
nub,"Nubijski jezik"
nzi,Nzima
nqo,N’ko
oj,Ojibva
or,Orijski
om,Oromo
osa,Osage
os,Osetski
oto,"Otomanski jezik"
ota,"Otomanski turski"
pal,Pahlavi
pau,Palauanski
pi,Pali
pam,Pampanga
pa,Pandžabski
pag,Pangasinski
pap,Papiamento
paa,"Papuanski jezik"
ps,Paštunski
fa,Persijski
pl,Poljski
pon,Ponpejski
pt,Portugalski
pra,"Prakritski jezik"
oc,Provansalski
rap,Rapanui
rar,Rarotongan
mis,"Razni jezici"
raj,Rađastani
rm,Reto-Romanski
rom,Romani
roa,"Romanski jezik"
ro,Rumunski
root,Run
rn,Rundi
ru,Ruski
sal,"Sališanski jezik"
sam,"Samaritanski aramejski"
smi,"Sami jezik"
sm,Samoanski
sad,Sandave
sg,Sango
sa,Sanskrit
sat,Santali
sc,Sardinijski
sas,Sasak
sel,Selkap
sem,"Semitski jezik"
srr,Serer
st,Sesoto
nd,"Severni ndebele"
se,"Severni sami"
nso,"Severni soto"
frr,Severno-frizijski
scn,Sicilijanski
sid,Sidamo
bla,Siksika
sd,Sindi
si,Singaleski
sit,"Sino-tibetanski jezik"
syr,Sirijski
sio,"Siuanski jezik"
ii,"Sičuan ji"
sms,"Skoltski jezik"
den,Slavski
sk,Slovački
sl,Slovenački
sla,"Slovenski jezik"
sog,Sodžijenski
so,Somalski
son,Songai
snk,Soninke
wen,"Sorbijanski jezik"
srn,"Srananski tongo"
enm,"Srednji engleski"
frm,"Srednji francuski"
dum,"Srednji holandski"
mga,"Srednji irski"
gmh,"Srednji visoki nemački"
sr,Srpski
sh,Srpskohrvatski
non,"Stari norski"
egy,Staroegipatski
ang,Staroengleski
fro,Starofrancuski
grc,Starogrčki
sga,Staroirski
goh,Staronemački
peo,Staropersijski
pro,Staroprovansalski
cu,Staroslovenski
