iso,name
ab,abhaščina
ada,adangmejščina
ady,adigejščina
aa,afarščina
afh,afrihili
af,afrikanščina
afa,"afroazijski jezik"
ain,ainujščina
ay,ajmarščina
akk,akadščina
ak,akanščina
sq,albanščina
ale,aleutščina
alg,"algonkinski jezik"
tut,"altajski jezik"
am,amharščina
oj,anašinabščina
anp,angikaščina
cpe,"angleška kreolščina ali pidžinščina"
en,angleščina
en_GB,"angleščina (VB)"
en_US,"angleščina (ZDA)"
apa,"apaški jezik"
ar,arabščina
an,aragonščina
arc,aramejščina
arp,arapaščina
arw,aravaščina
arn,aravkanščina
hy,armenščina
rup,aromunščina
as,asamščina
ast,asturijščina
ath,"atabaški jezik"
awa,avadščina
av,avarščina
ae,avestijščina
aus,"avstralski jezik"
map,"avstronezijski jezik"
az,azerbajdžanščina
ace,ačejščina
ach,ačolijščina
ban,balijščina
bat,"baltski jezik"
bm,bambarščina
bai,"bamilekejski jezik"
bad,"bandaški jezik"
bnt,bantujščina
bas,basa
eu,baskovščina
btk,"bataški jezik"
ba,baškirščina
bej,bedža
be,beloruščina
bal,beludžijščina
bem,bemba
bn,bengalščina
ber,berberščina
bh,biharščina
bik,"bikolski jezik"
bi,bislamščina
byn,blinščina
bho,bodžpuri
bg,bolgarščina
bs,bosanščina
bra,bradžbakanščina
pt_BR,"brazilska portugalščina"
br,bretonščina
zxx,"brez jezikoslovne vsebine"
bug,buginščina
bua,burjatščina
my,burmanščina
cmc,"camski jezik"
tn,cvanščina
day,dajaščina
dak,dakotščina
da,danščina
dar,darginščina
del,delavarščina
din,dinka
dyu,diula
dv,diveščina
doi,dogri
dgr,dogrib
dsb,"dolnja lužiška srbščina"
dra,"dravidski jezik"
mis,"drugi jeziki"
dua,duala
dz,dzonka
bin,edo
efi,efiščina
eka,ekajuk
elx,elamščina
myv,erzjanščina
eo,esperanto
et,estonščina
gez,etiopščina
ee,evenščina
ewo,evondovščina
fan,fangijščina
fat,fantijščina
phn,feničanščina
fo,ferščina
fj,fidžijščina
phi,"filipinski jezik"
fil,filipinščina
fi,finščina
nl_BE,flamščina
fon,fonščina
cpf,"francoska kreolščina ali pidžinščina"
fr,francoščina
fy,frizijščina
ff,fulščina
fur,furlanščina
gaa,ga
gay,gajščina
gl,galicijščina
lg,ganda
gba,gbajščina
gem,"germanski jezik"
gon,gondi
hsb,"gornja lužiška srbščina"
gor,gorontalščina
got,gotščina
grb,grebščina
kl,grenlandščina
ka,gruzinščina
el,grščina
gu,gudžaratščina
gn,gvaranijščina
gwi,gwi
hai,haidščina
ht,"haitijska kreolščina"
haw,havajščina
ha,havščina
he,hebrejščina
hz,herero
hit,hetitščina
hil,hiligajnonščina
him,himačalščina
hi,hindujščina
ho,"hiri motu"
hmn,hmonščina
hr,hrvaščina
hup,hupa
iba,ibanščina
pt_PT,"iberska portugalščina"
es_ES,"iberska španščina"
io,ido
ig,igboščina
ii,ii
ijo,ijo
ilo,ilokanščina
smn,"inarska samijščina"
inc,"indijski jezik"
ine,"indoevropski jezik"
id,indonezijščina
inh,inguščina
ia,interlingva
ie,interlingve
iu,inuktitutščina
ik,inupiaščina
ira,"iranski jezik"
iro,"irokeški jezik"
ga,irščina
is,islandščina
it,italijanščina
sah,jakutščina
yao,jaojščina
ja,japonščina
yap,japščina
jv,javanščina
kro,"jezik kru"
yi,jidiš
yo,jorubščina
jrb,"judovska arabščina"
jpr,"judovska perzijščina"
ypk,"jupiški jezik"
alt,"južna altajščina"
nr,"južna ndebelščina"
sma,"južna samijščina"
kbd,kabardinščina
kab,kabilščina
cad,kadoščina
kaj,kaj
xal,kalmiščina
kam,kamba
kn,kanada
kr,kanurščina
kaa,karakalpaščina
krc,karačaj-balkarščina
krl,karelščina
kar,karenščina
car,"karibski jezik"
kha,kasi
ca,katalonščina
kaw,kavi
cau,"kavkaški jezik"
kk,kazaščina
kac,kačinščina
ks,kašmirščina
csb,kašubščina
cel,"keltski jezik"
qu,kečuanščina
kfo,kfo
ki,kikujščina
kmb,kimbundu
ky,kirgiščina
gil,kiribatščina
sit,"kitajsko-tibetanski jezik"
zh,kitajščina
nwc,"klasična nevarščina"
syc,"klasična sirščina"
tlh,klingonščina
km,kmerščina
nb,"knjižna norveščina"
khi,"koisanski jezik"
kv,komijščina
kg,kongovščina
kok,konkanščina
cop,koptščina
