Af Noorwiijiyaan (no)
Af aan la aqoon ama aan sax ahayn (und)
Afrikaanays (af)
Albaaniyaan (sq)
Amhari (am)
Armeeniyaan (hy)
Asaamiis (as)
Ayrish (ga)
Ayslandays (is)
Azerbaijan (az)
Bangaali (bn)
Bashtuu (ps)
Basquu (eu)
Beleruusiyaan (be)
Bereton (br)
Bixaari (bh)
Boolish (pl)
Boortaqiis (pt)
Boortaqiis (Boortuqaal) (pt_PT)
Boortaqiiska Baraasiil (pt_BR)
Boosniya (bs)
Bulgeeriyaan (bg)
Bunjaabi (pa)
Carabi (ar)
Cibri (he)
Danmarkays (da)
Faarisi (fa)
Faransiis (fr)
Faransiis (Iswiiserlaand) (fr_CH)
Farowsi (fo)
Fiinlaandees (fi)
Fiitnaamays (vi)
Firiisiyan Galbeed (fy)
Galiisiyaan (gl)
Giriik (el)
Gujaraati (gu)
Guraani (gn)
Hangariyaan (hu)
Hindi (hi)
Holandays (nl)
Hoosta (xh)
Indunuusiyaan (id)
Ingiriisi (en)
Ingiriisi (Boqortooyada Midowday) (en_GB)
Ingiriisi (Maraykan) (en_US)
Interlingue (ie)
Interlinguwa (ia)
Isbaanish (es)
Isbaanish (Isbayn) (es_ES)
Isbaanishka Laatiin Ameerika (es_419)
Isberento (eo)
Iskot Giilik (gd)
Islofeeniyaan (sl)
Isloofaak (sk)
Istooniyaan (et)
Jabbaaniis (ja)
Jafaaniis (jv)
Jarmal (de)
Jarmal (Iswiiserlaand) (de_CH)
Jayniis (zh)
Jeeg (cs)
Joorijiyaan (ka)
Kamboodhian (km)
Kannadays (kn)
Katalaan (ca)
Kiligoon (tlh)
Kirgiis (ky)
Koro'eeshiyaan (hr)
Kurdishka (ku)
Kuuriyaan (ko)
Laatfiyaan (lv)
Laatiin (la)
Laothian (lo)
Lingala (ln)
Lituwaanays (lt)
Maarati (mr)
Malaay (ms)
Malayalam (ml)
Maltiis (mt)
Mangooli (mn)
Masadooniyaan (mk)
Nebaali (ne)
Nowrwejiyan (naynoroski) (nn)
Okitaan (oc)
Oriya (or)
Romanka (ro)
Ruush (ru)
SINDHI (sd)
Sanskrit (sa)
Sawaaxili (sw)
Seerbiyaan (sr)
Serbiyaan (sh)
Sesooto (st)
Sinhaleys (si)
Soomaali (so)
Suudaaniis (su)
Swiidhis (sv)
Taaylandays (th)
Tagalog (fil)
Talyaani (it)
Tamiil (ta)
Teluugu (te)
Tigrinya (ti)
Tiwiyan (tw)
Turkish (tr)
Turkumaanish (tk)
UIGHUR (ug)
Urduu (ur)
Usbakis (uz)
Welsh (cy)
Yadhish (yi)
Yukreeniyaan (uk)
Zuulu (zu)
