Afrikanisht (af)
Amharike (am)
Anglisht (en)
Arabisht (ar)
Armen (hy)
Asamezisht (as)
Azerbajxhanisht (az)
Baskisht (eu)
Bengalisht (bn)
Bihari (bh)
Bjellorusisht (be)
Boshnjakisht (bs)
Breton (br)
Bullgarisht (bg)
Danisht (da)
Esperanto (eo)
Estonisht (et)
Faroisht (fo)
Finlandisht (fi)
Frengjisht (fr)
Frizianisht (fy)
Galicianisht (gl)
Galisht (gd)
Gjeorgjisht (ka)
Gjermanisht (de)
Gjuha nderkombtare (ie)
Greqisht (el)
Guarani (gn)
Guxharati (gu)
Hebraisht (he)
Hindi (hi)
Holandisht (nl)
Hungarisht (hu)
Indonezisht (id)
Interlingua (ia)
Irlandisht (ga)
Islandisht (is)
Italisht (it)
Japanisht (ja)
Javanisht (jv)
Jiden (yi)
Kamboxhiane (km)
Kanada (kn)
Katalonisht (ca)
Kineze (zh)
Klingon (tlh)
Koreançe (ko)
Kroatisht (hr)
Kurd (ku)
Kyrgyz (ky)
Laosisht (lo)
Latinisht (la)
Letonisht (lv)
Lingala (ln)
Lituanisht (lt)
Malajalam (ml)
Malajzisht (ms)
Maltisht (mt)
Maqedonisht (mk)
Marati (mr)
Mongolisht (mn)
Nepalisht (ne)
Norvegjisht (no)
Norvegjisht (Nynorsk) (nn)
Oksitanisht (oc)
Orija (or)
Pashto (ps)
Persisht (fa)
Polonisht (pl)
Portugalisht (Brazil) (pt_BR)
Portugalisht (Portugali) (pt_PT)
Portugeze (pt)
Punxhabi (pa)
Rumanisht (ro)
Rusisht (ru)
Sanskritisht (sa)
Serbisht (sr)
Serbo-Kroatisht (sh)
Sesotho (st)
Si'ndi (sd)
Sinhalezisht (si)
Sllovakisht (sk)
Sllovenisht (sl)
Somalisht (so)
Spanjisht (es)
Suahilisht (sw)
Suedisht (sv)
Sundanisht (su)
Tagalogisht (fil)
Tajlandisht (th)
Tamil (ta)
Telugu (te)
Tigrinja (ti)
Turk (tk)
Turqisht (tr)
Twi (tw)
Uellsisht (cy)
Ujgur (ug)
Ukrainisht (uk)
Unknown or Invalid Language (und)
Urdu (ur)
Uzbekistanisht (uz)
Vietnamisht (vi)
Xhosa (xh)
Zulu (zu)
shqipe (sq)
Çekisht (cs)
