iso,name
sw,Kiswahili
gn,guarani
af,kiafrikans
ga,kiairish
is,kiaislandi
fa,kiajemi
sq,kialbania
am,kiamhariki
ar,kiarabu
az,kiazabaijani
eu,kibaski
be,kibelarusi
bn,"kibengali; kibangla"
bh,kibihari
bs,kibosnia
br,kibreton
bg,kibulgaria
km,kicambodia
cs,kicheki
zh,kichina
da,kidenmarki
eo,kiesperanto
et,kiestonia
fr,kifaransa
fo,kifaroe
fi,kifinlandi
fy,kifrisia
gl,kigalisia
el,kigiriki
gu,kigujarati
hi,kihindi
es,kihispania
nl,kiholanzi
hu,kihungari
id,kiindonesia
en,kiingereza
ia,kiinterlingua
it,kiitaliano
ja,kijapani
jv,kijava
de,kijerumani
ka,kijiojia
kn,kikannada
ca,kikatalan
xh,kikhosa
tlh,kiklingon
ko,kikorea
hr,kikroeshia
ku,kikurdi
lo,kilaosi
lv,kilatvia
ln,kilingala
lt,kilithuania
ml,kimalayalam
ms,kimalaysia
mt,kimalta
mr,kimarathi
mk,kimasedonia
mn,kimongolia
ne,kinepali
no,kinorwei
su,kinubi
or,kioriya
oc,kiositani
ps,kipashto
pl,kipolandi
pa,kipunjabi
pt,kireno
pt_BR,"kireno (brazil)"
pt_PT,"kireno (ureno)"
ro,kiromania
la,kirumi
ru,kirusi
sa,kisanskriti
sr,kiserbia
sh,kiserbia-kroeshia
si,kisinhali
gd,kiskotlandi
sk,kislovakia
sl,kislovenia
so,kisomali
sv,kisweden
fil,kitagalog
ta,kitamil
te,kitelugu
th,kithailand
ti,kitigrinya
tr,kituruki
tw,kitwii
uk,kiukrania
ur,kiurdu
uz,kiuzbeki
vi,kivietnam
cy,kiwelsh
he,kiyahudi
yi,kiyidish
zu,kizulu
as,kubafu
ky,kugizi
ie,"lugha ya kisayansi"
sd,msindhi
hy,muarmeni
ug,ombwa
st,sesotho
tk,"wataki weume"
