Kiswahili (sw)
guarani (gn)
kiafrikans (af)
kiairish (ga)
kiaislandi (is)
kiajemi (fa)
kialbania (sq)
kiamhariki (am)
kiarabu (ar)
kiazabaijani (az)
kibaski (eu)
kibelarusi (be)
kibengali; kibangla (bn)
kibihari (bh)
kibosnia (bs)
kibreton (br)
kibulgaria (bg)
kicambodia (km)
kicheki (cs)
kichina (zh)
kidenmarki (da)
kiesperanto (eo)
kiestonia (et)
kifaransa (fr)
kifaroe (fo)
kifinlandi (fi)
kifrisia (fy)
kigalisia (gl)
kigiriki (el)
kigujarati (gu)
kihindi (hi)
kihispania (es)
kiholanzi (nl)
kihungari (hu)
kiindonesia (id)
kiingereza (en)
kiinterlingua (ia)
kiitaliano (it)
kijapani (ja)
kijava (jv)
kijerumani (de)
kijiojia (ka)
kikannada (kn)
kikatalan (ca)
kikhosa (xh)
kiklingon (tlh)
kikorea (ko)
kikroeshia (hr)
kikurdi (ku)
kilaosi (lo)
kilatvia (lv)
kilingala (ln)
kilithuania (lt)
kimalayalam (ml)
kimalaysia (ms)
kimalta (mt)
kimarathi (mr)
kimasedonia (mk)
kimongolia (mn)
kinepali (ne)
kinorwei (no)
kinubi (su)
kioriya (or)
kiositani (oc)
kipashto (ps)
kipolandi (pl)
kipunjabi (pa)
kireno (pt)
kireno (brazil) (pt_BR)
kireno (ureno) (pt_PT)
kiromania (ro)
kirumi (la)
kirusi (ru)
kisanskriti (sa)
kiserbia (sr)
kiserbia-kroeshia (sh)
kisinhali (si)
kiskotlandi (gd)
kislovakia (sk)
kislovenia (sl)
kisomali (so)
kisweden (sv)
kitagalog (fil)
kitamil (ta)
kitelugu (te)
kithailand (th)
kitigrinya (ti)
kituruki (tr)
kitwii (tw)
kiukrania (uk)
kiurdu (ur)
kiuzbeki (uz)
kivietnam (vi)
kiwelsh (cy)
kiyahudi (he)
kiyidish (yi)
kizulu (zu)
kubafu (as)
kugizi (ky)
lugha ya kisayansi (ie)
msindhi (sd)
muarmeni (hy)
ombwa (ug)
sesotho (st)
wataki weume (tk)
