Англисӣ (en)
Байни забонӣ (ia)
Баскӣ (eu)
Белорусӣ (be)
Бенгалӣ (bn)
Биҳарӣ (bh)
Босниягӣ (bs)
Бретонӣ (br)
Булғорӣ (bg)
Галисианӣ (gl)
Горанӣ (gn)
Гурҷӣ (ka)
Гуҷаратӣ (gu)
Даниягӣ (da)
Зулу (zu)
Индонезӣ (id)
Ирландӣ (ga)
Исландӣ (is)
Испанӣ (es)
Каталанӣ (ca)
Лаосӣ (lo)
Латвиягӣ (lv)
Лаҳистонӣ (pl)
Литвонӣ (lt)
Лотинӣ (la)
Маҷорӣ (hu)
Немисӣ (de)
Норвегӣ (no)
Португалӣ (pt)
Португалӣ (Бразилия) (pt_BR)
Руминӣ (ro)
Русӣ (ru)
Украинӣ (uk)
Урду (ur)
Урисоӣ (or)
Фарозӣ (fo)
Фаронсавӣ (fr)
Филиппинӣ (fil)
Финнӣ (fi)
Форсӣ (fa)
Фрисианӣ (fy)
Чехӣ (cs)
Чинӣ (zh)
Шведӣ (sv)
Шотландӣ-Галикӣ (gd)
Эсперанто (eo)
Эстонӣ (et)
Юнонӣ (el)
Яҳудии Аврупои шарқӣ (yi)
Яҳудӣ (he)
Қирғизӣ (ky)
Ҳиндӣ (hi)
Ҳолландӣ (nl)
Ҷаванизӣ (jv)
Ҷопонӣ (ja)
Ӯзбекӣ (uz)
Ӯйғурӣ (ug)
