กบายา (gba)
กรีก (el)
กรีกโบราณ (grc)
กรีนแลนด์ (kl)
กวนยามา (kj)
กวารานี (gn)
กวิชอิน (gwi)
กวี (kaw)
กอนกานี (kok)
กอนดิ (gon)
กอรอนทาโล (gor)
กะฉิ่น (kac)
กะเหรี่ยง (kar)
กันนาดา (kn)
กัศมีร์ (ks)
กา (gaa)
กาตาลัง (ca)
การา-กาลพาก (kaa)
กาลิเซีย (gl)
กาสี (kha)
กาแปล (kpe)
กาโย (gay)
กาไบล (kab)
กิลเบอร์ต (gil)
กีกูยู (ki)
กีซ (gez)
กุรุข (kru)
คจู (kaj)
ครี (cr)
ครีก (mus)
ครีโอลหรือพิดจิ้น (crp)
ครีโอลหรือพิดจิ้นที่มาจากภาษาฝรั่งเศส (cpf)
ครีโอลหรือพิดจิ้นที่มาจากภาษาอังกฤษ (cpe)
ครีโอลหรือพิดจิ้นที่มาจากภาษาโปรตุเกส (cpp)
ครู (kro)
คลิงกอน (tlh)
ควิชัว (qu)
คองโก (kg)
คอปติก (cop)
คอร์ซิกา (co)
คอร์นิช (kw)
คะห์โอซา (xh)
คัดโด (cad)
คัมบา (kam)
คัลมืยค์ (xal)
คาซัค (kk)
คาซูเบียน (csb)
คานูรี (kr)
คาราไช-บัลคาร์ (krc)
คาริบ (car)
คาร์บาเดีย (kbd)
คิมบุนดู (kmb)
คีร์กีซ (ky)
คุชราต (gu)
คูมืยค์ (kum)
คูสไร (kos)
คูเทไน (kut)
จอร์เจีย (ka)
จีน (zh)
จีนดั้งเดิม (zh_Hant)
จีนประยุกต์ (zh_Hans)
จ้วง (za)
ชวา (jv)
ชะกะไต (chg)
ชามอร์โร (ch)
ชินุกจาร์กอน (chn)
ชิบชา (chb)
ชิพิวยัน (chp)
ชูก (chk)
ชูวัช (cv)
ช็อกทอว์ (cho)
ซอกดีน (sog)
ซองคา (dz)
ซองไฮ (son)
ซอร์บส์ตอนบน (hsb)
ซอร์บส์ตอนล่าง (dsb)
ซันดาเว (sad)
ซันเด (znd)
ซาซัก (sas)
ซาซา (zza)
ซามัว (sm)
ซามิลูเล (smj)
ซามิสคอลต์ (sms)
ซามิอีนารี (smn)
ซามิเหนือ (se)
ซามิใต้ (sma)
ซาร์เดญา (sc)
ซาโปเตก (zap)
ซิซิลี (scn)
ซิดาโม (sid)
ซิมชีแอน (tsi)
ซิิตซองกา (ts)
ซีเรีย (syr)
ซีเรียแบบดั้งเดิม (syc)
ซุนดา (su)
ซูคูมา (suk)
ซูซู (sus)
ซูนิ (zun)
ซูรินาเม (srn)
ซูลู (zu)
ซูเมอ (sux)
ญี่ปุ่น (ja)
ดองกา (ng)
ดัตช์ (nl)
ดัตช์กลาง (dum)
ดัวลา (dua)
ดายัก (day)
ดาร์กิน (dar)
ดาโกทา (dak)
ดิงกา (din)
ดิวลา (dyu)
ตองกา (to)
ตากาล็อก (tl)
ตาตาร์ (tt)
ตาฮิตี (ty)
ติกริญญา (ti)
ตีเกร (tig)
ตุรกี (tr)
ตุรกีออตโตมัน (ota)
ตุรกีไครเมีย (crh)
ตูวา (tyv)
ตูวาลู (tvl)
ทมิฬ (ta)
ทลิงกิต (tli)
ทวิ (tw)
ทาจิก (tg)
ทามาเชก (tmh)
ทิฟ (tiv)
ทิมเน (tem)
ทิเบต (bo)
ทีแยป (kcg)
ทุมบูกา (tum)
ท็อกพิซิน (tpi)
ธิเวหิ (dv)
นซิมา (nzi)
นอร์สโบราณ (non)
นอร์เวย์ (no)
นอร์เวย์นีนอสก์ (nn)
นอร์เวย์บุคมอล (nb)
นาวาโฮ (nv)
นาอูรู (na)
นาฮัว (nah)
นาโปลี (nap)
นิโอโร (nyo)
นีอัส (nia)
นีอู (niu)
บลิน (byn)
บลิสซิมโบลส์ (zbl)
บอตสวานา (tn)
บอสเนีย (bs)
บัชคีร์ (ba)
บันดา (bad)
บันตู (bnt)
บัมบารา (bm)
บัลแกเรีย (bg)
บัสเก (eu)
