ሀንጋሪኛ (hu)
ሊቱአኒየን (lt)
ላቲቪያን (lv)
ላቲንኛ (la)
ሕንደኛ (hi)
ማላያላምኛ (ml)
ማላይኛ (ms)
ማልቲስኛ (mt)
ማራቲኛ (mr)
ማክዶኒኛ (mk)
ራሽኛ (ru)
ሮማኒያን (ro)
ሰርቢኛ (sr)
ሰርቦ- ክሮዊታን (sh)
ሰሴቶ (st)
ሰዋሂሊኛ (sw)
ሱዳንኛ (su)
ስሎቨክኛ (sk)
ስቁቪኛ (sl)
ስንሃልኛ (si)
ስዊድንኛ (sv)
ስፓኒሽ (es)
በንጋሊኛ (bn)
ቡልጋሪኛ (bg)
ቢሃሪ (bh)
ባስክኛ (eu)
ቤላራሻኛ (be)
ብሬቶን (br)
ቦስኒያን (bs)
ቪትናምኛ (vi)
ተሉጉኛ (te)
ቱርከኛ (tr)
ታሚልኛ (ta)
ታይኛ (th)
ታጋሎገኛ (fil)
ትዊ (tw)
ትግርኛ (ti)
ቼክኛ (cs)
ናይ ቱርኪ ሰብዓይ (ቱርካዊ) (tk)
ኔፖሊኛ (ne)
ኖርዌይኛ (ናይ ኝኖርስክ) (nn)
ኖርዌጂያን (no)
አልቤኒኛ (sq)
አምሐረኛ (am)
አዜርባይጃንኛ (az)
አይሪሽ (ga)
አይስላንደኛ (is)
አፍሪቃንሰኛ (af)
ኡርዱኛ (ur)
ኡዝበክኛ (uz)
ኢንቴር ቋንቋ (ia)
ኤስቶኒአን (et)
ኤስፐራንቶ (eo)
እስኮትስ ጌልክኛ (gd)
እንዶኑሲኛ (id)
እንግሊዝኛ (en)
ኦሪያ (or)
ኦኪታንኛ (oc)
ኩርድሽ (ku)
ኪሩጋዚ (ky)
ካማደኛ (kn)
ካታላን (ca)
ክሊንግኦንኛ (tlh)
ክሮሽያንኛ (hr)
ኮሪያኛ (ko)
ወልሽ (cy)
ዓረበኛ (ar)
ዕብራስጥ (he)
ዙሉኛ (zu)
ዞሳኛ (xh)
ዩክረኒኛ (uk)
ዪዲሽ (yi)
ደች (nl)
ዴኒሽ (da)
ጀርመን (de)
ጃቫንኛ (jv)
ጃፓንኛ (ja)
ጉጃራቲኛ (gu)
ጊዮርጊያኛ (ka)
ጋለቪኛ (gl)
ግሪከኛ (el)
ጓራኒ (gn)
ጣሊያንኛ (it)
ፈረንሳይኛ (fr)
ፊኒሽ (fi)
ፋሮኛ (fo)
ፍሪሰኛ (fy)
ፐርሲያኛ (fa)
ፑንጃቢኛ (pa)
ፓሽቶ (ps)
ፖሊሽ (pl)
ፖርቱጋሊኛ (pt)
ፖርቱጋልኛ (ናይ ብራዚል) (pt_BR)
ፖርቱጋልኛ (ናይ ፖርቱጋል) (pt_PT)
