آئيرِش (ga)
آزربائیجانی (az)
آسامی (as)
آکيٹانی (oc)
اردو (ur)
ارمینی (hy)
ازبک (uz)
اسٹونين (et)
اطالوی (it)
البانی (sq)
امریکہ کی انگریزی (en_US)
امہاری (am)
انٹرلنگوی (ia)
انڈونيثيائی (id)
انگريزی (en)
اورِیا (or)
ايسپرانٹو (eo)
ايفريکانز (af)
اُئِیگُور (ug)
باسکی (eu)
برطانوی انگریزی (en_GB)
برفستانی (is)
برِیٹن (br)
بلغاری (bg)
بنگالی (bn)
بوسنی (bs)
بيلاروسی (be)
بِہاری (bh)
تامِل (ta)
ترکمانی (tk)
ترکی (tr)
تهائی (th)
توی (tw)
تيلوگو (te)
تگرینی (ti)
جارجی (ka)
جاوی (jv)
جاپانی (ja)
جرمن (de)
خوسہ (xh)
روسی (ru)
رومنی (ro)
زُولُو (zu)
سربو-کروئیشین (sh)
سلاواکی (sk)
سلوينی (sl)
سندھی (sd)
سنہالی (si)
سواہیلی (sw)
سومالی (so)
سويڈش (sv)
سَنسکرِت (sa)
سُوڈانی (su)
سکاٹ گيلِک (gd)
سیسوتھو (st)
صربی (sr)
عبرانی (he)
عربی (ar)
فارسی (fa)
فرانسيسی (fr)
فريژين (fy)
فنّنِش (fi)
فیروئیز (fo)
كردش (ku)
لاؤشِیَن (lo)
لاطينی (la)
لتھُواینین (lt)
ليٹوين (lv)
لِنگَلا (ln)
مالائی (ms)
مالايالم (ml)
مالٹی (mt)
مراٹهی (mr)
مقدونيائی (mk)
منگؤلی (mn)
نارويجين (no)
نورویجینی (نینورسک) (nn)
نيپالی (ne)
ويتنامی (vi)
ويلش (cy)
يادش (yi)
يونانی (el)
يُوکرينی (uk)
ٹيگالاگی (fil)
ٹیگا لوگ (tl)
پرتگالی (پرتگال) (pt_PT)
پرتگالی (ﺑﺮﺍﺯﻳﻞ) (pt_BR)
پشتو (ps)
پنجابی (pa)
پولستانی (pl)
پُرتگالی (pt)
چيک (cs)
چینی (آسان کردہ) (zh_Hans)
چینی (روایتی) (zh_Hant)
ڈينش (da)
ڈچ (nl)
کاٹالانين (ca)
کراتی (hr)
کرغیزی (ky)
کلنگان (tlh)
کمبوڈیَن (km)
کنّاڈا (kn)
کورين (ko)
گاليشيائی (gl)
گجراتی (gu)
گُارانی (gn)
ہسپانوی (es)
ہندی (hi)
ہنگیرین (hu)
