iso,name
br,Bretoni
km,Cambodian
af,"Ede Afrikani"
sq,"Ede Albania"
am,"Ede Amharic"
ar,"Ede Arabia"
az,"Ede Azerbaijani"
eu,"Ede Baski"
be,"Ede Belarusi"
bn,"Ede Bengali"
bh,"Ede Bihari"
bs,"Ede Bosnia"
bg,"Ede Bulgaria"
ca,"Ede Catala"
nl,"Ede Dutch"
eo,"Ede Esperanto"
et,"Ede Estonia"
fo,"Ede Faroesi"
fy,"Ede Frisia"
gd,"Ede Gaelik ti Ilu Scotland"
gl,"Ede Galicia"
ka,"Ede Georgia"
gu,"Ede Gujarati"
hi,"Ede Hindi"
hu,"Ede Hungaria"
is,"Ede Icelandic"
id,"Ede Indonesia"
ga,"Ede Ireland"
jv,"Ede Javana"
kn,"Ede Kannada"
tlh,"Ede Klingoni"
hr,"Ede Kroatia"
la,"Ede Latini"
lv,"Ede Latvianu"
lt,"Ede Lithuania"
mk,"Ede Macedonia"
ms,"Ede Malaya"
ml,"Ede Malayalami"
mt,"Ede Malta"
ne,"Ede Nepali"
no,"Ede Norway"
oc,"Ede Occitani"
fa,"Ede Persia"
pt_PT,"Ede Portugal"
pt,"Ede Portugi"
pa,"Ede Punjabi"
ro,"Ede Romania"
ru,"Ede Roosia"
sr,"Ede Serbia"
si,"Ede Sinhalese"
sk,"Ede Slovaki"
sl,"Ede Slovenia"
su,"Ede Sudani"
sw,"Ede Swahili"
fil,"Ede Tagalogi"
ta,"Ede Tamili"
te,"Ede Telugu"
th,"Ede Thai"
ti,"Ede Tigrinya"
tr,"Ede Turkey"
uk,"Ede Ukrani"
ur,"Ede Urdu"
uz,"Ede Uzbek"
vi,"Ede Vietnamu"
cy,"Ede Welshi"
xh,"Ede Xhosa"
zu,"Ede Zulu"
mr,"Ede marathi"
ia,"Ede pipo"
fi,Finisi
gn,Guarani
he,Heberu
hy,"Ile Armenia"
ie,"Iru Ede"
it,Italiani
ja,Japanisi
ko,Korean
ku,Kurdish
ky,Kyrgyz
cs,"Orile-ede Tseki"
or,Oriya
es,Panyan
ps,Pashto
sh,Serbo-Croatiani
st,Sesoto
sd,Sindhi
ln,Ta
as,"Ti Assam"
tk,Turkmen
tw,Twi
ug,Uighur
yi,Yiddishi
yo,Yorùbá
lo,"ara Laos"
mn,"ara Mangoli"
so,"ara Somalia"
sa,"ede awon ara Indo"
el,giriki
sv,suwidiisi
fr,"Èdè Faransé"
en,"Èdè Gẹ̀ẹ́sì"
da,"Èdè Ilẹ̀ Denmark"
de,"Èdè Ilẹ̀ Germany"
pl,"Èdè Ilẹ̀ Polandi"
