iso,name
srn,"Sranan Tongo（源于克里奥尔语）"
cch,cch
kaj,kaj
kcg,kcg
din,丁卡文
hsb,上索布文
dsb,下索布文
dz,不丹文
eo,世界文
frs,东弗里西亚文
frm,中古法文
mga,中古爱尔兰文
enm,中古英文
dum,中古荷兰文
gmh,中古高地德文
zh,中文
zh_Hans,中文（简体）
zh_Hant,中文（繁体）
fon,丰文
da,丹麦文
uk,乌克兰文
uz,乌兹别克文
uga,乌加里特文
ur,乌尔都文
udm,乌德穆尔特文
cho,乔克托文
hy,亚美尼亚文
rup,亚美尼亚语
ace,亚齐文
ijo,伊乔文
iu,伊努伊特文
io,伊多文
ira,伊朗文
ig,伊格博文
ilo,伊洛干诺文
iro,伊洛魁语系
iba,伊班文
smn,伊纳里萨米语
nds,低地德文；低地撒克逊文
chp,佩瓦扬文
pt_PT,依伯利亚葡萄牙文
yi,依地文
ik,依奴皮维克文
ru,俄文
myv,俄日亚文
bg,保加利亚文
sd,信德文
bal,俾路支文
tai,傣语诸语言（其他）
si,僧伽罗文
ks,克什米尔文
kpe,克佩列文
tlh,克林贡文
hr,克罗地亚文
mus,克里克文
cr,克里族文
crh,克里米亚土耳其文；克里米亚塔塔文
kro,克鲁文
lam,兰巴文
cai,其他中美印第安语系
afa,其他亚非语系
art,其他人工语系
cpf,其他以法文为基础的克里奥尔混合语系
cpe,其他以英文为基础的克里奥尔混合语系
cpp,其他以葡萄牙文为基础的克里奥尔混合语系
crp,其他克里奥尔混合语系
cel,其他凯尔特语系
nai,其他北美印第安语系
sai,其他南美印第安文
inc,其他印度语系
ine,其他印欧语系
mkh,其他孟高棉语系
nic,其他尼日尔科尔多凡语系
paa,其他巴布亚文
cus,其他库施特语系
dra,其他德拉维语系
roa,其他拉丁语系
sla,其他斯拉夫语系
gem,其他日尔曼语系
sit,其他汉藏语系
bat,其他波罗的语系
khi,其他科伊桑语系
fiu,其他芬兰乌戈尔语系
phi,其他菲律宾语系
smi,其他萨米文
sem,其他闪族语系
alg,其他阿尔贡语系
cau,其他高加索语系
is,冰岛文
kw,凯尔特文
rm,列托－罗曼文
kok,刚卡尼文
kg,刚果文
bem,别姆巴文
bej,别札文
gl,加利西亚文
fr_CA,加拿大法语
en_CA,加拿大英语
gaa,加文
ca,加泰罗尼亚文
nub,努比亚语系
hu,匈牙利文
frr,北弗里西亚语
nd,北恩德贝勒文
nso,北索托文
se,北萨米文
sma,南萨米文
nr,南部恩德贝勒文
