Sranan Tongo（源于克里奥尔语） (srn)
cch (cch)
kaj (kaj)
kcg (kcg)
丁卡文 (din)
上索布文 (hsb)
下索布文 (dsb)
不丹文 (dz)
世界文 (eo)
东弗里西亚文 (frs)
中古法文 (frm)
中古爱尔兰文 (mga)
中古英文 (enm)
中古荷兰文 (dum)
中古高地德文 (gmh)
中文 (zh)
中文（简体） (zh_Hans)
中文（繁体） (zh_Hant)
丰文 (fon)
丹麦文 (da)
乌克兰文 (uk)
乌兹别克文 (uz)
乌加里特文 (uga)
乌尔都文 (ur)
乌德穆尔特文 (udm)
乔克托文 (cho)
亚美尼亚文 (hy)
亚美尼亚语 (rup)
亚齐文 (ace)
伊乔文 (ijo)
伊努伊特文 (iu)
伊多文 (io)
伊朗文 (ira)
伊格博文 (ig)
伊洛干诺文 (ilo)
伊洛魁语系 (iro)
伊班文 (iba)
伊纳里萨米语 (smn)
低地德文；低地撒克逊文 (nds)
佩瓦扬文 (chp)
依伯利亚葡萄牙文 (pt_PT)
依地文 (yi)
依奴皮维克文 (ik)
俄文 (ru)
俄日亚文 (myv)
保加利亚文 (bg)
信德文 (sd)
俾路支文 (bal)
傣语诸语言（其他） (tai)
僧伽罗文 (si)
克什米尔文 (ks)
克佩列文 (kpe)
克林贡文 (tlh)
克罗地亚文 (hr)
克里克文 (mus)
克里族文 (cr)
克里米亚土耳其文；克里米亚塔塔文 (crh)
克鲁文 (kro)
兰巴文 (lam)
其他中美印第安语系 (cai)
其他亚非语系 (afa)
其他人工语系 (art)
其他以法文为基础的克里奥尔混合语系 (cpf)
其他以英文为基础的克里奥尔混合语系 (cpe)
其他以葡萄牙文为基础的克里奥尔混合语系 (cpp)
其他克里奥尔混合语系 (crp)
其他凯尔特语系 (cel)
其他北美印第安语系 (nai)
其他南美印第安文 (sai)
其他印度语系 (inc)
其他印欧语系 (ine)
其他孟高棉语系 (mkh)
其他尼日尔科尔多凡语系 (nic)
其他巴布亚文 (paa)
其他库施特语系 (cus)
其他德拉维语系 (dra)
其他拉丁语系 (roa)
其他斯拉夫语系 (sla)
其他日尔曼语系 (gem)
其他汉藏语系 (sit)
其他波罗的语系 (bat)
其他科伊桑语系 (khi)
其他芬兰乌戈尔语系 (fiu)
其他菲律宾语系 (phi)
其他萨米文 (smi)
其他闪族语系 (sem)
其他阿尔贡语系 (alg)
其他高加索语系 (cau)
冰岛文 (is)
凯尔特文 (kw)
列托－罗曼文 (rm)
刚卡尼文 (kok)
刚果文 (kg)
别姆巴文 (bem)
别札文 (bej)
加利西亚文 (gl)
加拿大法语 (fr_CA)
加拿大英语 (en_CA)
加文 (gaa)
加泰罗尼亚文 (ca)
努比亚语系 (nub)
匈牙利文 (hu)
北弗里西亚语 (frr)
北恩德贝勒文 (nd)
北索托文 (nso)
北萨米文 (se)
南萨米文 (sma)
南部恩德贝勒文 (nr)
南阿尔泰文 (alt)
南非荷兰文 (af)
博杰普尔文 (bho)
卡努里文 (kr)
卡多文 (cad)
卡姆巴文 (kam)
卡威文 (kaw)
卡尔梅克文 (xal)
卡巴尔达文 (kbd)
卡拉卡尔帕克文 (kaa)
卡拉恰伊巴尔卡尔文 (krc)
卡比尔文 (kab)
卡琴文 (kac)
卡累利阿文 (krl)
卡舒文 (csb)
卡西文 (kha)
卢奥文 (luo)
卢干达文 (lg)
卢旺达文 (rw)
卢晒文 (lus)
卢森堡文 (lb)
印古什文 (inh)
印地文 (hi)
印度尼西亚文 (id)
叙利亚文 (syr)
古加拉提文 (gu)
古埃及文 (egy)
古希腊文 (grc)
古法文 (fro)
古爱尔兰文 (sga)
古粟特语 (sog)
古老波斯语 (peo)
古英文 (ang)
古诺尔斯文 (non)
古高地德文 (goh)
司克司卡文 (bla)
司雷夫文 (den)
各种不同语系 (mis)
吉兹文 (gez)
吉尔伯特斯文 (gil)
吉尔吉斯文 (ky)
吉库尤文 (ki)
吉普赛文 (rom)
吉维克琴文 (gwi)
和田文 (kho)
哈萨克文 (kk)
哥特文 (got)
喀伦文 (kar)
四川话 (ii)
国际语 (ia)
国际语E (ie)
图瓦卢文 (tvl)
图瓦文 (tyv)
图皮语系 (tup)
土库曼文 (tk)
土耳其文 (tr)
坎纳达文 (kn)
埃克丘克文 (eka)
埃维文 (ee)
埃菲克文 (efi)
基隆迪文 (rn)
塔加洛语 (tl)
塔吉克文 (tg)
塔塔尔文 (tt)
塔西提文 (ty)
塔马奇克文 (tmh)
塞尔库普文 (sel)
塞尔维亚-克罗地亚文 (sh)
塞尔维亚文 (sr)
塞索托文 (st)
塞茨瓦纳文 (tn)
壮语 (za)
夏威夷文 (haw)
夏延文 (chy)
多格拉文 (doi)
多格里布文 (dgr)
多种语系 (mul)
夫拉文 (ff)
契努克文 (chn)
契布卡文 (chb)
奥克西唐语 (oc)
奥吉布瓦文 (oj)
奥地利德语 (de_AT)
奥塞梯文 (os)
奥托曼土耳其文 (ota)
奥托米语系 (oto)
奥洛莫文 (om)
奥萨格文 (osa)
威尔士文 (cy)
孟加拉文 (bn)
宗加文 (ts)
宗教斯拉夫文 (cu)
宽亚玛文 (kj)
宿务文 (ceb)
尤皮克诸语言 (ypk)
尼亚姆韦齐文 (nym)
尼亚斯文 (nia)
尼扬贾文；齐切瓦文；切瓦文 (ny)
尼昂科勒文 (nyn)
尼泊尔文 (ne)
尼瓦尔文 (new)
尼瓦尔文 Classical Newari (nwc)
尼约罗文 (nyo)
岗德文 (gon)
巴什客尔文 (ba)
巴利文 (pi)
巴勒比文 (car)
巴塔克文 (btk)
巴斯克文 (eu)
巴米累克语系 (bai)
巴萨文 (bas)
