kaj (kaj)
kcg (kcg)
丁卡文 (din)
上索布文 (hsb)
下索布文 (dsb)
不丹文 (dz)
世界語 (eo)
中古愛爾蘭文 (mga)
中古法文 (frm)
中古英文 (enm)
中古荷蘭文 (dum)
中古高地日耳曼文 (gmh)
中文 (zh)
中美印第安諸語言 (cai)
丹麥文 (da)
亞塞拜然文 (az)
亞美尼亞文 (hy)
亞非諸語言 (afa)
亞齊文 (ace)
人工語言 (art)
伊喬文 (ijo)
伊布文 (ig)
伊朗文 (io)
伊朗諸語言 (ira)
伊洛闊文 (ilo)
伊班文 (iba)
伊納裡薩米文 (smn)
低地日耳曼文；低地薩克遜文 (nds)
佔語諸語言 (cmc)
依奴皮維克文 (ik)
依汪都文 (ewo)
俄文 (ru)
保加利亞文 (bg)
俾路支文 (bal)
傣語諸語言 (tai)
僧伽羅文 (si)
克什米爾文 (ks)
克佩列文 (kpe)
克倫文 (kar)
克林貢文 (tlh)
克羅埃西亞文 (hr)
克裡文 (cr)
克里克文 (mus)
克里奧爾文和皮欽文 (crp)
克里米亞半島的土耳其文；克里米亞半島的塔塔爾文 (crh)
克魯文 (kro)
冰島文 (is)
凱爾特諸語言 (cel)
列茲干文 (lez)
別姆巴文 (bem)
剛果文 (kg)
加勒比文 (car)
加拿大法语 (fr_CA)
加拿大英语 (en_CA)
加族文 (gaa)
加泰羅尼亞文 (ca)
加約文 (gay)
加里西亞文 (gl)
努比亞諸語言 (nub)
匈牙利文 (hu)
北印度文 (hi)
北地畢列文 (nd)
北弗里西亞文 (frr)
北方薩米文 (se)
北索托文 (nso)
北美印第安諸語言 (nai)
南地畢列文 (nr)
南島諸語言 (map)
南美印第安諸語言 (sai)
南薩米文 (sma)
南阿爾泰文 (alt)
南非荷蘭文 (af)
博傑普爾文 (bho)
卡努裡文 (kr)
卡多文 (cad)
卡姆巴文 (kam)
卡威文 (kaw)
卡巴爾達文 (kbd)
卡拉卡爾帕克文 (kaa)
卡拉柴-包爾卡爾文 (krc)
卡比爾文 (kab)
卡爾梅克文 (xal)
卡琴文 (kac)
卡累利阿文 (krl)
卡舒布文 (csb)
卡西文 (kha)
印古什文 (inh)
印尼文 (id)
印度語 (sd)
印度諸語言 (inc)
印歐諸語言 (ine)
厄爾茲亞文 (myv)
古埃及文 (egy)
古尼瓦爾文 (nwc)
古希臘文 (grc)
古愛爾蘭文（至 900） (sga)
古敘利亞文 (syc)
古普羅旺斯文 (pro)
古法文 (fro)
古波斯文 (ca.600-400 B.C.) (peo)
古英文 (ang)
古諾爾斯文 (non)
古高地日耳曼文 (goh)
史瓦希里文 (sw)
吉亞拉塔文 (gu)
吉庫尤文 (ki)
吉普賽文 (rom)
吉爾伯特群島文 (gil)
吉爾吉斯文 (ky)
吉茲文 (gez)
吐瓦魯文 (tvl)
和闐文 (kho)
哈薩克文 (kk)
哥德文 (got)
喬克托文 (cho)
喬治亞文 (ka)
四川彝文 (ii)
因紐特文 (iu)
國際文A (ia)
國際文E (ie)
圖姆布卡文 (tum)
圖皮諸語言 (tup)
