Armenian (hy)
Assamese (as)
Cambodian (km)
Gurani (gn)
I-Scots Gaelic (gd)
Ikhanada (kn)
Isi-Albania (sq)
Isi-Amaharikhi (am)
Isi-Azebhayijani (az)
Isi-Basque (eu)
Isi-Bulgaria (bg)
Isi-Croatia (hr)
Isi-Czech (cs)
Isi-Dutch (nl)
Isi-Esistoniya (et)
Isi-Esperanto (eo)
Isi-Galashiya (gl)
Isi-Icelandic (is)
Isi-Indonesia (id)
Isi-Irishi (ga)
Isi-Latvian (lv)
Isi-Lithuanian (lt)
Isi-Osithani (oc)
Isi-Sebhiya (sr)
Isi-Udu (ur)
Isi-Ukrain (uk)
Isi-Uzibheki (uz)
IsiBhelarashiyani (be)
IsiBhengali (bn)
IsiBhihari (bh)
IsiBhosiniyani (bs)
IsiDenishi (da)
IsiFriziyani (fy)
IsiGreki (el)
IsiGujarati (gu)
IsiHangari (hu)
IsiHebheru (he)
IsiJaphani (ja)
IsiJavanisi (jv)
IsiJojiyani (ka)
IsiKhathalani (ca)
IsiKlingoni (tlh)
IsiKoriya (ko)
IsiLathini (la)
IsiMakhedoniya (mk)
IsiMalayami (ml)
IsiMalayi (ms)
IsiMalithize (mt)
IsiMarathi (mr)
IsiNepali (ne)
IsiNowejiyani (Nynorsk) (nn)
IsiNoweyi (no)
IsiPheshiyani (fa)
IsiPholisi (pl)
IsiPhunjabi (pa)
IsiPotukezi (pt)
IsiPotukezi (Ephothugali) (pt_PT)
IsiRashiya (ru)
IsiRomani (ro)
IsiSinhalese (si)
IsiSlovaki (sk)
IsiSlovakiyani (sl)
IsiSundanizi (su)
IsiSwidishi (sv)
IsiThagalogi (fil)
IsiThamil (ta)
IsiThayi (th)
IsiThekishi (tr)
IsiThelugu (te)
IsiTigrinya (ti)
IsiVietnamise (vi)
IsiWelshi (cy)
Isifaro (fo)
Isiputukezi (Brazil) (pt_BR)
Izilimi ezihlangene (ia)
Izilimu (ie)
Kyrgyz (ky)
Laothian (lo)
Lingala (ln)
Mongolian (mn)
Oriya (or)
Pashto (ps)
Sanskrit (sa)
Serbo-Croatian (sh)
Sindhi (sd)
Somali (so)
Twi (tw)
Uighur (ug)
isItalian (it)
isi-Alabhu (ar)
isiBhunu (af)
isiFinnish (fi)
isiFulentshi (fr)
isiHindi (hi)
isiJalimani (de)
isiNgisi (en)
isiSpeyini (es)
isiSuthu (st)
isiSwahili (sw)
isiXhosa (xh)
isiZulu (zu)
isihlobo sase Britain (br)
ulimu lwama Kudishi (ku)
ulimu olwi Yidish (yi)
umuntu wase Turkmenistan. (tk)
