Aghem (agq)
Akan (ak)
Àlabì (ar)
Àmalì (am)
Bɛ̀làlusàn (be)
Bɨ̀ŋgalì (bn)
Bùugɨlìa (bg)
Bùumɛsɛ̀ (my)
Chàenê (zh)
Chɛ̂ (cs)
Dɔ̂s (nl)
Dzàbvànê (jv)
Dzàkpànê (ja)
Dzamɛ̀ (de)
Egbò (ig)
Endì (hi)
Èndònɛshìa (id)
Ètalìa (it)
Gɨ̀lêʔ (el)
Hɔŋgalìa (hu)
Kɨ̀fàlàŋsi (fr)
Kɨmɛ̀ (km)
Kɨŋgele (en)
Kɨtsɔŋkaŋ (ha)
Kpɛɛshìa (fa)
Kpotùwgîi (pt)
Kpɔlìs (pl)
Kpuwndzabì (pa)
kùulîa (ko)
Lùmanyìa (ro)
Lushìa (ru)
Lùwandà (rw)
Màlae (ms)
Nɛ̀kpalì (ne)
Sɨ̀kpanìs (es)
Sòmalì (so)
Suedìs (sv)
Tàe (th)
Tamì (ta)
Tʉʉkìs (tr)
Ùkɛlɛnìa (uk)
Uudùw (ur)
Vìyɛtnàmê (vi)
Yulùba (yo)
Zulù (zu)
