iso,name
ab,абхазская
av,аварская
ady,адыгейская
az,азербайджанская
ay,аймара
akk,акадзкая
sq,албанская
ale,алеуцкая
tut,"алтайская мова"
am,амхарская
en,англійская
en_AU,"англійская (аўстрал.)"
en_GB,"англійская (Вялікабрытанія)"
en_US,"англійская (ЗША)"
en_CA,"англійская (канад.)"
ar,арабская
an,арагонская
arc,арамейская
hy,армянская
as,асамская
ast,астурыйская
aus,аўстралійская
map,аўстранезійская
afa,"афра-азіяцкая мова"
af,афрыкаанс
bg,балгарская
eu,баскская
bs,баснійская
ba,башкірская
be,беларуская
bn,бенгальская
bh,біхары
br,брэтонская
bua,бурацкая
vi,в'етнамская
cy,валійская
hu,венгерская
nl,галандская
gl,галісійская
ka,грузінская
el,грэцкая
gn,гуарані
gu,гуяраці
da,дацкая
sgn,"знакавая мова"
zu,зулу
yi,ідыш
id,інданезійская
ia,інтэрлінгва
ie,інтэрлінгве
ga,ірландская
is,ісландская
es,іспанская
es_419,"іспанская (лацінаамер.)"
it,італьянская
he,іўрыт
kk,казахская
kn,каннада
ko,карэйская
ca,каталонская
cau,"каўказская мова"
cel,"кельцкая мова"
zh,кітайская
tlh,клінгон
cop,копцкая
ku,курдская
lo,лаоская
lv,латышская
la,лацінская
ln,лінгала
lt,літоўская
mk,македонская
ms,малайская
ml,малаяламская
mo,малдаўская
mt,мальтыйская
mn,мангольская
mr,маратхі
cai,"мова індзейцаў Цэнтральнай Амерыкі"
no,нарвежская
nn,"нарвежская (нюнорск)"
nb,"нарвэская букмал"
und,"невядомая мова"
ne,непальская
de,нямецкая
de_AT,"нямецкая (аўстр.)"
de_CH,"нямецкая (швейц.)"
pa,панджабі
pt,партугальская
pt_BR,"партугальская (бразіл.)"
pl,польская
oc,правансальская
ps,пушту
ro,румынская
ru,руская
so,самалійская
sa,санскрыт
sh,сербска-харвацкая
sr,сербская
si,сінгальская
sd,сіндхі
sk,славацкая
sl,славенская
sla,"славянская мова"
zh_Hans,"спрошчаная кітайская"
ang,стараанглійская
grc,старагрэцкая
fro,старафранцузская
egy,стараэгіпецкая
sw,суахілі
su,суданская
fil,тагальская
th,тайская
ta,тамільская
tt,татарская
zh_Hant,"традыцыйная кітайская"
tk,туркменская
tr,турэцкая
ti,тыгрынья
te,тэлугу
uz,узбекская
ug,уйгурская
uk,украінская
ur,урду
fa,фарсі
fo,фарэрская
fi,фінская
nl_BE,фламандская
fr,французская
fr_CA,"французская (канад.)"
fr_CH,"французская (швейц.)"
fy,фрызская
hr,харвацкая
hi,хіндзі
xh,хоса
ce,чачэнская
cv,чувашская
cs,чэшская
gd,"шатландская гэльская"
sv,шведская
art,"штучная мова"
eo,эсперанта
et,эстонская
jv,яванская
sah,якуцкая
ja,японская
