akankan (ak)
alimaɲikan (de)
amarikikan (am)
angilɛkan (en)
awusakan (ha)
bamanakan (bm)
bɛngalikan (bn)
birimanikan (my)
biyelorisikan (be)
buligarikan (bg)
cɛkikan (cs)
esipaɲolkan (es)
Ɛndonezikan (id)
gɛrɛsikan (el)
igibokan (ig)
inidikan (hi)
irisikan (ru)
italikan (it)
javanekan (jv)
kambojikan (km)
korekan (ko)
larabukan (ar)
malɛzikan (ms)
nepalekan (ne)
olandekan (nl)
oŋirikan (hu)
perisanikan (fa)
pɛnijabikan (pa)
polonekan (pl)
pɔritigalikan (pt)
rumanikan (ro)
ruwandakan (rw)
siniwakan (zh)
somalikan (so)
suwɛdikan (sv)
tamulikan (ta)
tayikan (th)
tubabukan (fr)
turikikan (tr)
ukɛrɛnikan (uk)
urudukan (ur)
wiyɛtinamukan (vi)
yorubakan (yo)
zapɔnekan (ja)
zulukan (zu)
