abkazijski (ab)
ačineski (ace)
adangmejski (ada)
adigejski (ady)
afarski (aa)
afrihili (afh)
afrikanerski (af)
afro-azijatski (afa)
ainu (ain)
ajmara (ay)
akadijski (akk)
akan (ak)
akoli (ach)
albanski (sq)
algonkvijanski jezik (alg)
altaički jezik (tut)
aljut (ale)
amharski (am)
angika (anp)
apački jezik (apa)
aragonežanski (an)
arapaho (arp)
arapski (ar)
aravak (arw)
armajski (arc)
arokanijski (arn)
aromanijski (rup)
asemijski (as)
asturijski (ast)
atapaskan (ath)
atsam (cch)
australijski jezik (aus)
austronežanski (map)
avadhi (awa)
avarski (av)
avestanski (ae)
azerbejdžanski (az)
balinezijski (ban)
baltički jezik (bat)
baluči (bal)
bambara (bm)
bamileke (bai)
banda (bad)
bantu (bnt)
basa (bas)
baskijski (eu)
baškir (ba)
batak (btk)
beja (bej)
beloruski (be)
bemba (bem)
bengalski (bn)
berber (ber)
bez lingvističkog sadržaja (zxx)
biharski (bh)
bikol (bik)
bini (bin)
bislama (bi)
blin (byn)
blisimboli (zbl)
bojpuri (bho)
bosanski (bs)
braj (bra)
bretonski (br)
bugarski (bg)
buginežanskii (bug)
buriat (bua)
burmanski (my)
cebuano (ceb)
čagatai (chg)
čamoro (ch)
čamski jezik (cmc)
čečenski (ce)
čejenski (chy)
čeroki (chr)
češki (cs)
čibča (chb)
činukski (chn)
čipvijanski (chp)
čoktavski (cho)
čukeski (chk)
čuvaški (cv)
dajaški (day)
dakota (dak)
danski (da)
dargva (dar)
delaver (del)
dinka (din)
divehijski (dv)
dogri (doi)
dogrib (dgr)
dravidijski jezik (dra)
duala (dua)
džiz (gez)
džonga (dz)
đula (dyu)
efikski (efi)
ekajuk (eka)
elamitski (elx)
engleski (en)
erzija (myv)
esperanto (eo)
estonski (et)
eve (ee)
evondo (ewo)
fang (fan)
fanti (fat)
farski (fo)
feničanski (phn)
fidžijski (fj)
filipinski (fil)
filipinski jezik (phi)
finski (fi)
flamanski (nl_BE)
fon (fon)
francuski (fr)
friulijski (fur)
frizijski (fy)
fulah (ff)
ga (gaa)
gajo (gay)
galski (gl)
ganda (lg)
gbaja (gba)
germanski jezik (gem)
gilbertški (gil)
gondi (gon)
gornji sorbijski (hsb)
gorontalo (gor)
gotski (got)
grčki (el)
grebo (grb)
gruzijski (ka)
gudžarati (gu)
gvarani (gn)
haićanski (ht)
haida (hai)
hausa (ha)
havajski (haw)
hebrejski (he)
herero (hz)
hiligajnon (hil)
himačali (him)
hindi (hi)
hiri motu (ho)
hitite (hit)
hmong (hmn)
holandski (nl)
hrvatski (hr)
hupa (hup)
iban (iba)
ido (io)
igbo (ig)
ijo (ijo)
iloko (ilo)
inari sami (smn)
indik (inc)
indo-evropski jezik (ine)
indonezijski (id)
ingušetski (inh)
interlingva (ia)
interlingve (ie)
inuktitut (iu)
inupiak (ik)
iranski jezik (ira)
irokvojanski (iro)
irski (ga)
islandski (is)
istočni frizijski (frs)
jakut (sah)
jao (yao)
japanski (ja)
japeški (yap)
javanski (jv)
jermenski (hy)
jezik centralno-američkih indijanaca (cai)
jezik južno-američkih indijanaca (sai)
jezik severno-američkih indijanaca (nai)
jezik znakova (sgn)
jidiš (yi)
jorubanski (yo)
judeo-arapski (jrb)
judeo-persijski (jpr)
jupik (ypk)
južni altai (alt)
južni ndebele (nr)
južni sami (sma)
kabardijski (kbd)
kabile (kab)
kačin (kac)
kado (cad)
kalalisutski (kl)
kalmik (xal)
kamba (kam)
kanada (kn)
kanuri (kr)
kara-kalpaški (kaa)
karačaj-balkar (krc)
karelijski (krl)
karenski (kar)
karipski (car)
kasi (kha)
kašmiri (ks)
kašubijanski (csb)
katalonski (ca)
kavi (kaw)
kavkaski (cau)
keltski jezik (cel)
khosa (xh)
kikuju (ki)
kimbundu (kmb)
kineski (zh)
kineski (pojednostavljen) (zh_Hans)
kineski (tradicionalni) (zh_Hant)
kinjarvanda (rw)
kirgiski (ky)
klasični nevari (nwc)
klasični sirijski (syc)
klingonski (tlh)
kmerski (km)
koisanski jezik (khi)
komi (kv)
kongo (kg)
konkani (kok)
koptski (cop)
korejski (ko)
korniški (kw)
koro (kfo)
korzikanski (co)
kosreanski (kos)
kotanizijski (kho)
kozački (kk)
kpele (kpe)
kreolski ili pidžin (crp)
kreolski ili pidžin baziran na portugalskom (cpp)
kreolski ili pidžin zasnovan na engleskom (cpe)
kreolski ili pidžin zasnovan na francuskom (cpf)
kri (cr)
krimeanski turski (crh)
kriški (mus)
kru (kro)
kuanjama (kj)
kumik (kum)
kurdski (ku)
kurukh (kru)
kušitički jezik (cus)
kutenai (kut)
kvenča (qu)
ladino (lad)
lamba (lam)
landa (lah)
laoški (lo)
latinski (la)
letonski (lv)
lezgian (lez)
limburgiš (li)
lingala (ln)
litvanski (lt)
lojban (jbo)
lozi (loz)
luba-katanga (lu)
luba-lulua (lua)
luiseno (lui)
luksemburški (lb)
lule sami (smj)
lunda (lun)
luo (luo)
lušai (lus)
madureški (mad)
mađarski (hu)
magahi (mag)
mahavski (moh)
maitili (mai)
majanski jezik (myn)
makasar (mak)
makedonski (mk)
malagazijski (mg)
malajalam (ml)
malajski (ms)
manču (mnc)
mandar (mdr)
mandingo (man)
manipuri (mni)
manks (gv)
manobo jezik (mno)
maorski (mi)
marati (mr)
mari (chm)
maršalski (mh)
marvari (mwr)
masai (mas)
melteški (mt)
mende (men)
mikmak (mic)
