iso,name
ab,abcházština
ace,acehština
ach,ačoli
ada,adangme
ady,adygejština
aa,afarština
afh,afrihili
af,afrikánština
afa,"afroasijské jazyky"
ain,ainština
ay,ajmarština
ak,akanština
akk,akkadština
sq,albánština
ale,aleutština
alg,"algonkinské jazyky"
tut,"altajské jazyky"
en_US,"americká angličtina"
am,amharština
anp,angika
cpe,"anglická kreolština či pidgin"
en_CA,"anglicky (Kanada)"
en,angličtina
apa,"apačské jazyky"
ar,arabština
an,aragonština
arc,aramejština
arp,arapažština
arn,araukánština
arw,"arawacké jazyky"
hy,arménština
as,asámština
ath,"athapaskánské jazyky"
en_AU,"australská angličtina"
aus,"australské jazyky"
map,"austronéské jazyky"
av,avarština
ae,avestánština
awa,awadhština
az,ázerbájdžánština
ban,balijština
bat,"baltské jazyky"
bal,balúčština
bm,bambarština
bai,bamilek
bad,banda
bnt,"bantuské jazyky"
my,barmština
bas,basa
eu,baskičtina
ba,baškirština
btk,batačtina
bej,bedža
be,běloruština
bem,bembština
bn,bengálština
ber,"berberské jazyky"
bho,bhojpurština
bh,biharština
bik,bikolština
bin,bini
bi,bislamština
bs,bosenština
bra,bradžština
pt_BR,"brazilská portugalština"
br,bretaňština
en_GB,"britská angličtina"
bug,bugiština
bg,bulharština
bua,burjatština
cad,caddo
ceb,cebuánština
chg,čagatajština
ch,čamoro
cmc,čamština
ce,čečenština
chy,čejenština
chr,čerokézština
cs,čeština
chb,čibča
zh,čínština
zh_Hans,"čínština (zjednodušená)"
chn,"činuk pidžin"
chp,čipevajština
cho,čoktština
za,čuangština
chk,čukština
cv,čuvaština
day,dajáčtina
dak,dakotština
da,dánština
del,delawarština
din,dinkština
dv,divehi
dyu,djula
dgr,dogrib
dra,"drávidské jazyky"
dua,dualština
dz,dzongkä
efi,efikština
egy,"egyptština stará"
eka,ekajuk
elx,elamitština
ebu,embu
eo,esperanto
et,estonština
ee,eweština
ewo,ewondo
fo,faerština
fan,fang
fat,fantština
phn,féničtina
fj,fidžijština
phi,"filipínské jazyky"
fil,filipínština
fi,finština
cpf,"francouzská kreolština či pidgin"
fr,francouzština
fy,fríština
ff,fulahština
fur,furlandština
gl,galicijština
gem,"germánské jazyky"
gon,góndština
gor,gorontalo
got,gótština
grb,grebo
kl,grónština
ka,gruzínština
gn,guaranština
gu,gudžarátština
hai,haidština
ht,haitština
ha,hauština
haw,havajština
he,hebrejština
hz,hererština
hil,hiligaynonština
him,himáčalština
hi,hindština
ho,"hiri motu"
hmn,hmongština
goh,"hornoněmčina (stará)"
gmh,"hornoněmčina (středověká)"
hup,hupa
hit,chetitština
hr,chorvatština
kho,chotánština
iba,ibanština
pt_PT,"iberská portugalština"
es_ES,"iberská španělština"
ig,igboština
ilo,ilokánština
inc,"indické jazyky"
ine,"indoevropské jazyky"
id,indonéština
inh,inguština
ia,interlingua
ie,interlingue
iu,inuktitutština
ik,inupiakština
ira,"íránské jazyky"
iro,"irokézské jazyky"
ga,irština
is,islandština
it,italština
yao,jaoština
ja,japonština
jv,javánština
yi,jidiš
yo,jorubština
kbd,kabardinština
kab,kabylština
kac,kačijština
xal,kalmyčtina
km,kambodžština
kam,kambština
kn,kannadština
yue,kantonština
kea,kapverdština
kaa,karakalpačtina
kar,karenština
car,karibština
ks,kašmírština
ca,katalánština
cau,"kavkazské jazyky"
kaw,kawi
kk,kazachština
qu,kečuánština
cel,"keltské jazyky"
kha,khásí
ki,kikujština
rw,kinyarwandština
gil,kiribatština
rn,kirundština
tlh,klingonština
khi,"kojsanské jazyky"
swb,komorština
kok,konkánština
kg,konžština
cop,koptština
ko,korejština
kw,kornština
co,korsičtina
kos,kosrajština
crp,"kreolština či pidgin"
cr,kríjština
crh,"krymská turečtina"
kj,kuaňamština
kum,kumykština
ku,kurdština
kru,kuruchština
cus,"kúšitské jazyky"
ky,kyrgyzština
lam,lambština
lo,laoština
la,latina
es_419,"latinskoamerická španělština"
lez,lezginština
ln,lingalština
lt,litevština
lv,lotyština
lua,luba-luluaština
lu,lubu-katanžština
lb,lucemburština
luy,luhja
lui,luiseňo
lun,lundština
luo,luoština
wen,"lužickosrbské jazyky"
hu,maďarština
mad,madurština
mag,magahijština
mai,maithiliština
mk,makedonština
ml,malabarština
ms,malajština
mg,malgaština
mt,maltština
mnc,mandžuština
mni,manipurština
gv,manština
mi,maorština
mr,maráthština
chm,marijština
mh,maršálština
mas,masajština
mo,moldavština
mn,mongolština
lol,mongština
nah,nahuatl
nym,ňamwežština
ny,ňandžština
na,naurština
nv,navažština
nr,"ndebele (Jižní Afrika)"
nd,"ndebele (Zimbabwe)"
de,němčina
gsw,"němčina (Švýcarsko)"
wae,"němčina (walser)"
ne,nepálština
und,"neznámý nebo neplatný jazyk"
ssa,"nilosaharské jazyky"
niu,niueština
nl,nizozemština
no,norština
nb,"norština (bokmål)"
nn,"norština (nynorsk)"
nub,"núbijské jazyky"
oj,odžibvejština
oc,okcitánština
om,"oromština (Afan)"
os,osetština
ota,"osmanská turečtina"
pau,palauština
pi,pálí
pa,paňdžábština
pag,pangasinanština
pap,papiamento
paa,"papuánské jazyky"
ps,paštština
fa,perština
pon,pohnpeiština
pl,polština
cpp,"portugalská kreolština či pidgin"
pt,portugalština
pra,"prákrtské jazyky"
raj,rádžastánština
rar,rarotongaština
rm,rétorománština
rof,rombo
rom,romština
ro,rumunština
ru,ruština
mis,"různé jazyky"
rwk,rwa
el,řečtina
sal,"sališské jazyky"
sam,samarština
sm,samojština
smi,"sámské jazyky"
sg,sangština
sa,sanskrt
sat,santálština
sc,sardština
sas,sasakština
srr,sererština
st,sesotho
tn,setswanština
se,"severní sámština"
nso,"severní sotština"
nai,"severoamerické indiánské jazyky"
sd,sindhština
si,sinhálština
ss,siswatština
gd,"skotská gaelština"
sco,skotština
sla,"slovanský jazyk"
sk,slovenština
sl,slovinština
so,somálština
son,songhajština
sh,srbochorvatština
sr,srbština
ang,staroangličtina
grc,starořečtina
cai,"středoamerické indiánské jazyky"
sux,sumerština
su,sundanština
sw,svahilština
syr,syrština
sn,šonština
es,španělština
sv,švédština
fr_CH,"švýcarská francouzština"
de_CH,"švýcarská standardní němčina"
tg,tádžičtina
tl,tagalog
ty,tahitština
ta,tamilština
tt,tatarština
te,telugština
tet,tetumština
th,thajština
sit,"tibetočínské jazyky"
bo,tibetština
tig,tigrejština
ti,tigrinijština
tpi,"tok pisin"
tkl,tokelauština
to,tonga
tsi,"tsimšijské jazyky"
ts,tsonga
tum,tumbukština
tr,turečtina
tk,turkmenština
tvl,tuvalština
tyv,tuvinština
tw,twi
udm,udmurtština
uga,ugaritština
fiu,"ugrofinské jazyky"
ug,ujgurština
uk,ukrajinština
art,"umělé jazyky"
ur,urdština
or,urijština
uz,uzbečtina
wa,valonština
cy,velština
ve,venda
vi,vietnamština
nl_BE,vlámština
vo,volapuk
wak,"wakašské jazyky"
wal,walamština
was,waština
wo,wolofština
xh,xhoština
zap,zapotéčtina
zu,zuluština
zun,zunijština
zxx,"žádný jazykový obsah"
