Abchasisch (ab)
Aceh-Sprache (ace)
Acholi-Sprache (ach)
Adangme (ada)
Adygeisch (ady)
Afar (aa)
Afrihili (afh)
Afrikaans (af)
Afroasiatisch (afa)
Ägyptisch (egy)
Ainu-Sprache (ain)
Akan (ak)
Akkadisch (akk)
Albanisch (sq)
Aleutisch (ale)
Algonkin-Sprache (alg)
Alt-Newari (nwc)
Altaisch (tut)
Altenglisch (ang)
Altfranzösisch (fro)
Altgriechisch (grc)
Althochdeutsch (goh)
Altirisch (sga)
Altnordisch (non)
Altpersisch (peo)
Altprovenzalisch (pro)
Altsyrisch (syc)
Amerikanisches Englisch (en_US)
Amharisch (am)
Andere Sprache (mis)
Angika (anp)
Apache-Sprache (apa)
Arabisch (ar)
Aragonesisch (an)
Aramäisch (arc)
Arapaho-Sprache (arp)
Araukanisch (arn)
Arawak-Sprache (arw)
Armenisch (hy)
Aromunisch (rup)
Aserbaidschanisch (az)
Assamesisch (as)
Asturianisch (ast)
Athapaskisch (ath)
Atsam (cch)
Australisch (aus)
Australisches Englisch (en_AU)
Austronesisch (map)
Avestisch (ae)
Awadhi (awa)
Awarisch (av)
Aymara (ay)
Balinesisch (ban)
Baltisch (bat)
Bambara-Sprache (bm)
Bamileke-Sprache (bai)
Banda-Sprache (bad)
Bantusprache (bnt)
Basaa-Sprache (bas)
Baschkirisch (ba)
Baskisch (eu)
Batak (btk)
Bedauye (bej)
Belutschisch (bal)
Bemba-Sprache (bem)
Bengalisch (bn)
Berbersprache (ber)
Bhodschpuri (bho)
Bhutanisch (dz)
Biharisch (bh)
Bikol-Sprache (bik)
Bini-Sprache (bin)
Birmanisch (my)
Bislama (bi)
Blackfoot-Sprache (bla)
Blin (byn)
Bliss-Symbole (zbl)
Bosnisch (bs)
Braj-Bhakha (bra)
Brasilianisches Portugiesisch (pt_BR)
Bretonisch (br)
Britisches Englisch (en_GB)
Buginesisch (bug)
Bulgarisch (bg)
Burjatisch (bua)
Caddo (cad)
Cebuano (ceb)
Cham-Sprache (cmc)
Chamorro-Sprache (ch)
Cherokee (chr)
Cheyenne (chy)
Chibcha-Sprache (chb)
Chinesisch (zh)
Chinesisch (traditionell) (zh_Hant)
Chinesisch (vereinfacht) (zh_Hans)
Chinook (chn)
Chipewyan (chp)
Choctaw (cho)
Cree (cr)
Dajak (day)
Dakota-Sprache (dak)
Dänisch (da)
Darginisch (dar)
Delaware-Sprache (del)
Deutsch (de)
Dinka-Sprache (din)
Dogri (doi)
Dogrib (dgr)
Drawidisch (dra)
Duala (dua)
Dyula-Sprache (dyu)
Efik (efi)
Ekajuk (eka)
Elamisch (elx)
Elliceanisch (tvl)
Englisch (en)
Ersja-Mordwinisch (myv)
Esperanto (eo)
Estnisch (et)
Ewe-Sprache (ee)
Ewondo (ewo)
Fanti-Sprache (fat)
Färöisch (fo)
Fidschianisch (fj)
Filipino (fil)
Finnisch (fi)
Finnougrisch (fiu)
Flämisch (nl_BE)
Fon-Sprache (fon)
Französisch (fr)
Friesisch (fy)
Friulisch (fur)
Ful (ff)
Ga-Sprache (gaa)
Galizisch (gl)
Ganda-Sprache (lg)
Gayo (gay)
Gbaya-Sprache (gba)
Gebärdensprache (sgn)
Geez (gez)
Georgisch (ka)
Germanisch (gem)
Gilbertesisch (gil)
Gondi-Sprache (gon)
Gotisch (got)
Grebo-Sprache (grb)
Griechisch (el)
Grönländisch (kl)
Guarani (gn)
Gujarati (gu)
Haida-Sprache (hai)
Haitianisch (ht)
Hausa (ha)
Hawaiisch (haw)
Hebräisch (he)
Herero-Sprache (hz)
Hethitisch (hit)
Hiligaynon-Sprache (hil)
Himachali (him)
Hindi (hi)
Hiri-Motu (ho)
Hupa (hup)
Iban (iba)
Iberisches Portugiesisch (pt_PT)
Iberisches Spanisch (es_ES)
Ido-Sprache (io)
Igbo-Sprache (ig)
Ijo-Sprache (ijo)
Ilokano-Sprache (ilo)
Inari-Lappisch (smn)
Indoarisch (inc)
Indogermanisch (ine)
Indonesisch (id)
Inguschisch (inh)
Interlingua (ia)
Interlingue (ie)
Inukitut (iu)
Inupiak (ik)
Iranische Sprache (ira)
Irisch (ga)
Irokesische Sprache (iro)
Isländisch (is)
Italienisch (it)
Jakutisch (sah)
Japanisch (ja)
Javanisch (jv)
Jiddisch (yi)
Jju (kaj)
Jüdisch-Arabisch (jrb)
Jüdisch-Persisch (jpr)
Kabardinisch (kbd)
Kabuverdianu (kea)
Kabylisch (kab)
Kachin-Sprache (kac)
Kalmückisch (xal)
Kamba (kam)
Kambodschanisch (km)
Kanadisches Englisch (en_CA)
Kanadisches Französisch (fr_CA)
Kannada (kn)
Kantonesisch (yue)
Kanuri-Sprache (kr)
Karakalpakisch (kaa)
Karatschaiisch-Balkarisch (krc)
Karelisch (krl)
Karenisch (kar)
Karibisch (car)
Kasachisch (kk)
Kaschmirisch (ks)
Kaschubisch (csb)
Katalanisch (ca)
Kaukasisch (cau)
Kawi (kaw)
Keine Sprachinhalte (zxx)
Keltisch (cel)
Khasi-Sprache (kha)
Khoisan-Sprache (khi)
Khotta (mag)
Kiembu (ebu)
Kikuyu-Sprache (ki)
Kimbundu-Sprache (kmb)
Kirchenslawisch (cu)
Kirgisisch (ky)
Klingonisch (tlh)
Komi-Sprache (kv)
Komorisch (swb)
Kongolesisch (kg)
Konkani (kok)
Koptisch (cop)
Koreanisch (ko)
Kornisch (kw)
Koro (kfo)
Korsisch (co)
Kosraeanisch (kos)
Kpelle-Sprache (kpe)
Kreolisch-Englische Sprache (cpe)
Kreolisch-Französische Sprache (cpf)
Kreolisch-Portugiesische Sprache (cpp)
Kreolische Sprache (crp)
Krimtatarisch (crh)
Kroatisch (hr)
Kru-Sprache (kro)
Kumükisch (kum)
Kunstsprache (art)
Kurdisch (ku)
Kuschitisch (cus)
Kutchin-Sprache (gwi)
Kutenai-Sprache (kut)
Kwanyama (kj)
Ladino (lad)
Lahnda (lah)
Lamba-Sprache (lam)
Laotisch (lo)
Lappisch (smi)
Latein (la)
Lateinamerikanisches Spanisch (es_419)
Lesgisch (lez)
Lettisch (lv)
Limburgisch (li)
Lingala (ln)
Litauisch (lt)
Lojban (jbo)
Luba-Katanga (lu)
Luba-Lulua (lua)
Luiseno-Sprache (lui)
Lule-Lappisch (smj)
Lunda-Sprache (lun)
Luo-Sprache (luo)
Lushai-Sprache (lus)
Luxemburgisch (lb)
Maduresisch (mad)
Maithili (mai)
Makassarisch (mak)
Malagassi-Sprache (mg)
Malaiisch (ms)
Malayalam (ml)
Maledivisch (dv)
Maltesisch (mt)
Mandaresisch (mdr)
Manding-Sprache (man)
Mandschurisch (mnc)
Manobo-Sprache (mno)
Manx (gv)
Maori (mi)
Marathi (mr)
Marschallesisch (mh)
Marwari (mwr)
Massai-Sprache (mas)
Maya-Sprache (myn)
Mazedonisch (mk)
Mbundu-Sprache (umb)
Meithei-Sprache (mni)
Mende-Sprache (men)
Miao-Sprache (hmn)
Micmac-Sprache (mic)
Minangkabau-Sprache (min)
Mirandesisch (mwl)
Mittelenglisch (enm)
Mittelfranzösisch (frm)
Mittelhochdeutsch (gmh)
Mittelirisch (mga)
Mittelniederländisch (dum)
Mittelpersisch (pal)
Mohawk-Sprache (moh)
Moksha (mdf)
Moldauisch (mo)
Mon-Khmer-Sprache (mkh)
Mongo (lol)
Mongolisch (mn)
Mongondou (gor)
Mossi-Sprache (mos)
Munda-Sprache (mun)
Muskogee-Sprache (mus)
N’Ko (nqo)
Nahuatl (nah)
Nauruisch (na)
Navajo (nv)
Ndonga (ng)
Neapolitanisch (nap)
Nepalesisch (ne)
Neumelanesisch (tpi)
Newari (new)
Nias-Sprache (nia)
Niederdeutsch (nds)
Niederländisch (nl)
Niedersorbisch (dsb)
Nigerkordofanisch (nic)
Nilosaharanisch (ssa)
Niue-Sprache (niu)
Nogai (nog)
Nord-Ndebele-Sprache (nd)
Nord-Samisch (se)
Nord-Sotho-Sprache (nso)
Nordamerikanische Indianersprache (nai)
Nordfriesisch (frr)
Norwegisch (no)
Norwegisch Bokmål (nb)
Norwegisch Nynorsk (nn)
Nubisch (nub)
Nyamwezi-Sprache (nym)
Nyanja-Sprache (ny)
