akan (ak)
alman (de)
amharik (am)
angle (en)
arab (ar)
belarus (be)
bengali (bn)
birmani (my)
bulgaari (bg)
endu (hi)
español (es)
franse (fr)
greek (el)
hausa (ha)
igbo (ig)
indoneesi (id)
italien (it)
joola (dyo)
kmeer (km)
koree (ko)
maleesi (ms)
neerlande (nl)
nepalees (ne)
ongrua (hu)
penjabi (pa)
persan (fa)
polonees (pl)
portugees (pt)
ruanda (rw)
rumeen (ro)
rus (ru)
saponee (ja)
savanee (jv)
sek (cs)
sinua (zh)
somali (so)
suedi (sv)
sulu (zu)
tamil (ta)
tay (th)
turki (tr)
ukrain (uk)
urdu (ur)
vietnam (vi)
yoruba (yo)
