Kĩakan (ak)
Kĩamhari (am)
Kĩanjemi (fa)
Kĩarabu (ar)
Kĩbangla (bn)
Kĩbulgaria (bg)
Kĩburma (my)
Kĩcheki (cs)
Kĩchina (zh)
Kĩembu (ebu)
Kĩfaransa (fr)
Kĩhausa (ha)
Kĩhindĩ (hi)
Kĩhispania (es)
Kĩholanzi (nl)
Kĩhungari (hu)
Kĩigbo (ig)
Kĩindonesia (id)
Kĩitaliano (it)
Kĩjava (jv)
Kĩkambodia (km)
Kĩkorea (ko)
Kĩmalesia (ms)
Kĩmbelarusi (be)
Kĩnepali (ne)
Kĩngriki (el)
Kĩnjapani (ja)
Kĩnjeremani (de)
Kĩnyarwanda (rw)
Kĩpolandi (pl)
Kĩpunjabi (pa)
Kĩreno (pt)
Kĩromania (ro)
Kĩrusi (ru)
Kĩsomali (so)
Kĩswidi (sv)
Kĩtailandi (th)
Kĩtamil (ta)
Kĩthungu (en)
Kĩturuki (tr)
Kĩukrania (uk)
Kĩurdu (ur)
Kĩvietinamu (vi)
Kĩyoruba (yo)
Kĩzulu (zu)
