iso,name
ab,abkhaziagbe
af,afrikaangbe
sq,albaniagbe
am,amhariagbe
st,"anyiehe sothogbe"
ar,arabiagbe
hy,armeniagbe
asa,asagbe
as,assamegbe
en_AU,"australiatɔwo ƒe yevugbe"
de_AT,"austriatɔwo ƒe germaniagbe"
ay,aymargbe
az,azerbaijangbe
bm,bambaragbe
eu,basqugbe
be,belarusiagbe
bem,bembagbe
bez,benagbe
bn,bengalgbe
zh_Hant,"blema tsainagbe"
ak,blugbe
brx,bodogbe
bs,bosniagbe
pt_BR,"braziltɔwo ƒe portugalgbe"
br,bretongbe
en_GB,"britaintɔwo ƒe yevugbe"
bg,bulgariagbe
my,burmagbe
yue,cantongbe
kea,"cape verdegbe"
da,denmarkgbe
dv,divehgbe
ja,dzapangbe
jv,dzavangbe
nd,"dziehe ndebelegbe"
se,"dziehe samigbe"
nso,"dziehe sothogbe"
dz,dzongkhagbe
efi,efigbe
ebu,embugbe
eo,esperantogbe
et,estoniagbe
ee,eʋegbe
fj,fidzigbe
fil,filipingbe
fi,finlanɖgbe
nl_BE,flemiagbe
fr,fransegbe
gl,galatagbe
zxx,"gbegbɔgblɔ manɔmee"
und,"gbegbɔgblɔ manya"
de,germaniagbe
ka,gɔgiagbe
el,grisigbe
gn,guarangbe
gu,gujarati
ht,haitigbe
ha,hausagbe
haw,hawaigbe
he,hebrigbe
hi,hindigbe
nl,hɔlandgbe
hu,hungarigbe
pt_PT,"iberiatɔwo ƒe portugalgbe"
es_ES,"iberiatɔwo ƒe spaniagbe"
is,icelanɖgbe
ig,igbogbe
id,indonesiagbe
ga,irelanɖgbe
it,italiagbe
fr_CA,"kanadatɔwo ƒe fransegbe"
en_CA,"kanadatɔwo ƒe yevugbe"
kn,kannadagbe
ks,kashmirgbe
ca,katalagbe
kk,kazakhstangbe
km,khmergbe
zh,kinagbe
ky,kirghistangbe
swb,komorogbe
ko,koreagbe
hr,kroatiagbe
ku,kurdiagbe
qu,kwetsuagbe
lah,lahndagbe
lb,laksembɔggbe
lo,laogbe
la,latin
es_419,"latin amerikatɔwo ƒe spaniagbe"
lv,latviagbe
ln,lingala
lt,lithuaniagbe
luy,luyiagbe
mk,makedoniagbe
mg,malagasegbe
ml,malayagbe
ms,malaygbe
mt,maltagbe
mi,maorgbe
mr,marathiagbe
mn,mongoliagbe
ne,nepalgbe
no,nɔweigbe
nb,"nɔweigbe bokmål"
nn,"nɔweigbe ninɔsk"
ny,nyanjagbe
or,oriyagbe
os,ossetiagbe
ps,pashtogbe
fa,persiagbe
pl,polandgbe
pt,pɔtugalgbe
pa,pundzabgbe
ro,romaniagbe
rm,romanshgbe
rof,rombogbe
ru,rɔtsiagbe
rn,rundigbe
rw,ruwandagbe
rwk,rwagbe
sah,sakagbe
sm,samoagbe
sg,sangogbe
sa,sanskrigbe
sr,serbiagbe
sh,serbo-croatiagbe
sn,shonagbe
sd,sindhgbe
si,sinhalgbe
sk,slovakiagbe
sl,sloveniagbe
so,somaliagbe
es,spaniagbe
su,sudangbe
sw,swahili
ss,swatgbe
sv,swedengbe
de_CH,"swizerlanɖ germaniagbe kɔkɔtɔ"
fr_CH,"swizerlanɖtɔwo ƒe fransegbe"
gsw,"swizerlanɖtɔwo ƒe germaniagbe"
tg,tadzikistangbe
tl,tagalogbe
ty,tahitigbe
th,tailandgbe
ta,tamilgbe
te,telegugbe
tet,tetumgbe
tr,tɛkigbe
tk,tɛkmengbe
bo,tibetagbe
ti,tigrinyagbe
tpi,"tok pisigbe"
to,tongagbe
zh_Hans,tsainagbe
cs,tsɛkgbe
ts,tsongagbe
tn,tswanagbe
en_US,"u.s.dukɔmetɔwo ƒe yevugbe"
ug,uighurgbe
uk,ukraingbe
ur,urdugbe
uz,uzbekistangbe
ve,vendagbe
vi,vietnamgbe
cy,walesgbe
wae,walsegbe
wo,wolofgbe
xh,xhosagbe
en,yevugbe
yo,yorubagbe
zu,zulugbe
