abĥaza (ab)
afara (aa)
afrikansa (af)
ajmara (ay)
akana (tw)
albana (sq)
amhara (am)
angla (en)
araba (ar)
armena (hy)
asama (as)
azerbajĝana (az)
baŝkira (ba)
belorusa (be)
bengala (bn)
bihara (bh)
birma (my)
bislamo (bi)
bosnia (bs)
brazilportugala (pt_BR)
bretona (br)
bulgara (bg)
burunda (rn)
conga (ts)
cvana (tn)
ĉeĥa (cs)
ĉina (zh)
ĉina simpligita (zh_Hans)
ĉina tradicia (zh_Hant)
dana (da)
dannorvega (nb)
dzonko (dz)
eskima (ik)
esperanto (eo)
estona (et)
eŭska (eu)
feroa (fo)
fiĝia (fj)
filipina (fil)
finna (fi)
franca (fr)
frisa (fy)
gaela (gd)
galega (gl)
germana (de)
greka (el)
gronlanda (kl)
guĝarata (gu)
gvarania (gn)
ĝuanga (za)
haitia kreola (ht)
haŭsa (ha)
havaja (haw)
hebrea (he)
hinda (hi)
hispana (es)
hungara (hu)
ibibioefika (efi)
indonezia (id)
interlingvao (ia)
inuita (iu)
irlanda (ga)
islanda (is)
itala (it)
japana (ja)
java (jv)
jida (yi)
joruba (yo)
kanara (kn)
kartvela (ka)
kaŝmira (ks)
kataluna (ca)
kazaĥa (kk)
keĉua (qu)
kimra (cy)
kirgiza (ky)
klingona (tlh)
kmera (km)
korea (ko)
korsika (co)
kroata (hr)
ksosa (xh)
kurda (ku)
latino (la)
latva (lv)
laŭa (lo)
lingala (ln)
litova (lt)
luksemburga (lb)
mahla (dv)
makedona (mk)
malagasa (mg)
malaja (ms)
malajalama (ml)
malta (mt)
maoria (mi)
marata (mr)
mongola (mn)
naura (na)
nederlanda (nl)
nekonata aŭ nevalida lingvo (und)
nelingvaĵo (zxx)
nepala (ne)
norvega (no)
novnorvega (nn)
okcidentalo (ie)
okcitana (oc)
orijo (or)
oroma (om)
panĝaba (pa)
paŝtoa (ps)
persa (fa)
pola (pl)
portugala (pt)
portugalportugala (pt_PT)
romanĉa (rm)
ruanda (rw)
rumana (ro)
rusa (ru)
samoa (sm)
sangoa (sg)
sanskrito (sa)
serba (sr)
serbo-Kroata (sh)
sinda (sd)
sinhala (si)
slovaka (sk)
slovena (sl)
somala (so)
sota (st)
sunda (su)
svahila (sw)
svazia (ss)
sveda (sv)
ŝona (sn)
tagaloga (tl)
taĝika (tg)
taja (th)
tamila (ta)
tatara (tt)
telugua (te)
tibeta (bo)
tigraja (ti)
tongaa (to)
turka (tr)
turkmena (tk)
ujgura (ug)
ukraina (uk)
urduo (ur)
uzbeka (uz)
vjetnama (vi)
volapuko (vo)
volofa (wo)
zulua (zu)
